,UKF255,ZH8811Abulk
DCN,2.566639618842888e-06,0.06445974449810012
RARRES2,-0.01007195376511154,-0.023972382008813686
SEMA4A,-0.016609197175481608,-0.03393238680822679
GDF11,-0.04349640572241308,0.039275032128858585
GPC3,-0.005398303082258681,0.08756459899732122
OSTN,-0.019061510313309712,
GRN,-0.04755764597393992,-0.051034566940741787
CALM1,0.02904351026961182,0.08066436317747076
ANGPTL4,0.02186130610746123,-0.09819839635228722
BMP8B,-0.02866479072330454,-0.0791621345866396
TNFSF4,-0.01298616418268347,0.019163722715882646
RBP4,-0.0206610856612782,-0.007360624898126608
DKK3,-0.01629484484444903,0.020415758784948862
COL11A1,-0.05687869638087686,0.028096337569298795
COL5A1,-0.05030439389253011,-0.05771892153094235
KISS1,,0.017274649299731187
MEGF10,0.06975852574599797,0.03865737985843979
CEACAM1,,0.07289540218803364
EFEMP2,0.01780510669542976,-0.04369510399862982
IGF1,-0.0294149753545423,0.03917313683082986
COL6A3,-0.014403164251873405,0.0368887441228583
RLN2,0.14912898468515431,-0.01446701871849524
WIF1,0.08245144320080655,
PLAU,0.0037737120445848604,-0.03157495517794746
CXCL12,-0.0501519698608843,-0.0549153182187743
MMP9,-0.000577652878101975,-0.07805432872360928
TNFSF14,-0.020531409665340974,-0.019785882327604164
HBEGF,0.03872243471083576,-0.03167065677049262
NUCB2,0.04283228547680392,-0.09122144412805983
VCAN,-0.013680468153806235,0.05671053798709953
VEGFC,-0.033855569484479806,-0.02567658619189312
LMAN1,0.00018113988136064552,0.01863944527208943
IRAK4,0.06521622360713443,-0.03077280293979714
MICB,-0.030690927766161915,-0.013709577524730383
COL1A2,-0.00029635163509506143,0.05873528084221086
ICOSLG,-0.01625038382672178,-0.050142798517411546
GNAS,-0.03473936771456183,-0.012417167676899644
COL2A1,,-0.019467302592246424
GSTM2,0.08016440322067676,0.05978494102034867
NLGN1,-0.007631875995364066,0.05273734454806128
SCGB3A2,,-0.018053320810002695
LEFTY2,-0.033251312977185775,-0.016936664337933473
ACE,0.029218780968100128,0.026460876804616472
RPH3A,-0.033855561822568346,-0.013791021327605475
NCAM1,0.0019033265845323512,0.04283257455955823
EFNB2,0.019011801213168898,-0.040107107496934566
ICAM5,-0.002144079417391407,-0.031598534401671804
CCL5,,-0.015087937143379629
PSPN,0.03589494543332207,-0.04094858216044875
EGF,,-0.017688316398745837
FN1,0.01557957247314569,-0.09646394820207997
FGF2,0.10531423692071451,0.015053975384284405
GDF9,0.06959971360790768,-0.02966648375915264
CSF1,-0.001640156753605261,-0.033225360545500626
GZMB,-0.024716327698022508,-0.022602692292166233
WNT11,,0.10221236755796051
GDNF,0.1527328440630711,0.04713791210333563
SHBG,,-0.004806788957643712
EFNA5,-0.025458677737916664,-0.04434334652922253
THBS1,0.02910444631827298,0.08448917508868739
PODXL,-0.06308639723974488,-0.07006549292589678
LCN2,,-0.03150793936674157
C5,0.02855432286221128,-0.053136169178274
CXCL5,,-0.017430233763921783
BCAN,-0.014933491799975484,0.10208713148008754
RELN,-0.025641371078671045,
COL4A3,-0.036259264139869324,
GNB3,-0.04773181229886933,0.0013264037428592124
PYY,,-0.021079030787215475
MSTN,,-0.02044159973838051
COL18A1,0.0023689589395479004,-0.0028700024217296755
FABP5,-0.014088800170598572,0.024662137824548045
TGFB3,0.039565401506771965,0.021367050117492913
BSG,0.03303383646404213,-0.06111456977880467
