,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.04312857558680946,,,,,,
BMP1,0.016891787252945052,-0.02446653125531117,-0.02467194691932456,-0.04146268044645181,-0.03684270806944401,-0.28212382918672163,-0.0965528715219398,-0.030111931513872512,-0.10129359968117443,-0.16484657380160483,-0.0035474726535484253,0.017622792937183166
NDP,-0.016712012921034962,0.032747874711552515,-0.03492431486103971,0.18525471815432054,-0.002852339402870268,-0.07979087133900065,-0.0037238643201647206,-0.0082291547579202,-0.09460406111410509,-0.034157729972146424,0.05204186529127156,-0.029208713853917857
TNFSF18,-0.023852443859189047,0.010154502505508162,,,0.002915594220679893,-0.05792212892207559,-0.023002479086431837,,,,-0.03624119908929532,
IL36G,,,,,,,,,,-0.030118337225934474,,
RTN4,0.20479779399874562,0.05549907073627321,0.009113081946258572,0.12093018122050542,0.16500332498687428,0.38786072359096524,0.06255657056031395,0.09095030452406751,0.315130518177125,0.2733881373860023,0.2028017831137523,-0.0032467462959831894
HEBP1,-0.011792772713055222,0.03727580590515248,0.009743368492754069,-0.0033722600380241626,0.06891925038034599,-0.1558823651102472,0.01948268206560621,-0.07916441520697465,-0.1551758618962578,-0.026095313375366604,-0.018341442265746917,-0.15251566896206695
WNT7B,0.2141531403949574,-0.001403887385711712,-0.024342217986661793,0.04365844265379889,0.06356221911431781,0.27553472283759034,0.0474408994180605,0.01547197947439377,,0.14636548217594006,0.04818478478955732,0.09010139362797248
PTMA,-0.017247399964069248,-0.010536038887530493,0.07054489111362686,-0.11845902247208125,-0.09703730977428832,0.03667309369967059,0.06579965690457076,-0.00909918499775481,-0.3762636633767501,-0.27559664274239126,-0.014340745374777633,-0.15853426564002224
CEACAM1,,0.01529003126394518,0.026554553557754074,-0.022809671890314607,,-0.07948505946574444,0.012960458318697276,,,,,
