,UKF243,UKF259,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
DCN,0.02839482314482184,-0.03929049041377597,-0.020362463637330963,0.03409061096092445,0.03631167200129791,0.035238435194908276
RARRES2,-0.004043694477396587,0.03178024724619357,0.00861598136140093,0.01426642958665429,0.08068370792029056,-0.039322515568080994
SEMA4A,-0.05137359913159259,0.005103601219975632,-0.026296490304710162,0.016680189662548094,-0.02891571140770467,-0.012600231189144733
GDF11,-0.018647563849060998,0.09223895941018669,0.009281312769767907,0.07645531405408133,0.10545697773531862,0.00010352857132792779
GPC3,0.039604879913694276,-0.015420167547117669,0.029831146949450386,0.009923066697850267,0.07212758385423297,0.0615839678437409
OSTN,,0.054238464717611304,,-0.01916970329810858,,-0.016461763990415126
GRN,0.047072907288764794,-0.04052707108293412,0.016317614119286502,0.035734430550052806,0.040464766424880935,0.017641164922601392
CALM1,-0.111675144503698,0.030265471572823208,-0.03796108401284053,-0.005782612998300768,-0.010602793034120305,-0.08540795035176015
ANGPTL4,0.13562909446301305,-0.016743252505474596,0.042579627278968274,0.01653479056369097,-0.014325621017506712,0.024580851068452852
BMP8B,-0.03453434740422681,-0.015228931554593967,0.031010337275103498,-0.0007157835361239945,-0.04945381340166542,-0.00014438578976392282
TNFSF4,-0.06904335023156774,0.0021207818991771806,-0.025078198615666233,0.06321014896685655,0.07883452688899555,0.027938599147804694
RBP4,-0.04546688714454179,0.040107769852818054,,0.01287961865564674,-0.011816901321562212,-0.02863821105026193
DKK3,-0.12707397475640972,0.0010456489412718113,0.03432990474914677,-0.020065489997603624,0.014362061685214146,-0.042185793248432905
COL11A1,,0.021334631434305605,,0.0016355656509500548,0.032030486808757995,0.06476078528271491
COL5A1,0.10970459495464546,-0.00691073046166707,-0.06865529703269693,0.07674101910004044,-0.0231216128080228,0.03531747995952787
KISS1,,-0.015514983659269866,,,,
MEGF10,0.0012047769056593679,0.02322983205087878,-0.028970608967446125,0.006213207515866044,0.013368417903093186,-0.02326941293017846
CEACAM1,,0.04737300417589957,-0.030603842339149787,0.11875182059366632,-0.020640270488094598,
EFEMP2,0.007796170876363663,0.012327938399638525,-0.019866053115909072,0.10887067074969435,0.016069035917173322,0.057985222559334706
IGF1,0.02054647644770133,0.0043708989273284,-0.05888112867530786,0.025323172779119045,0.06872159014243989,0.026405219914291657
COL6A3,0.014338399717912788,-0.058998671097095085,-0.05759155728034259,0.06391195808344571,-0.015028309767766446,0.06262380035312624
RLN2,,-0.01261780060010167,,0.09718050139419654,-0.018592690764058197,-0.02583988196022744
