,UKF243,UKF248,UKF255,UKF266,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.02322821272898915,
BMP1,0.036295312462275214,-0.023401532069070283,-0.10945140043476329,-0.01789131123757734,0.026024105632741813,0.024038851301166675,0.0887166805273571,-0.05427338610709248,0.018625552086595085,0.09292621555357353,0.04924233587596059,-0.08803947038435533,-0.03042907553819905,0.078942977090705,0.04571006371320095
NDP,-0.00026356437230231245,-0.0349663433874563,0.0841199471915985,-0.0185356444783381,0.024005065288878222,0.011258866498154961,-0.06455436475432108,-0.06828325020083387,0.13387245701384165,0.05339806056849084,0.019901192223178495,0.07378980927867497,-0.05879733697903676,0.033731516396565825,0.028580815119191614
TNFSF18,-0.03998803246648097,-0.03608788351649326,,0.009207648475811724,,,-0.0001914406008648596,,-0.022504671944186285,,,,,0.014898827545827414,0.036601261518137335
RTN4,-0.09285221523530993,-0.014009159691034277,-0.06385098604557063,0.0009048436015541311,-0.035134341319778384,0.05334517864181311,-0.0400053256670473,0.06770486530756958,0.01166420025129793,-0.06538098860949661,0.025900777222239085,-0.059519713149011666,0.07690808480230915,0.02724261063775898,-0.050158651996019696
HEBP1,0.007975239812113965,0.009233944123599905,0.007395391560052088,0.0058037885259158055,0.02732994486103148,-0.04356559527040129,-0.044168805161580296,-0.022505952297124564,-0.08579244070357823,0.03668685656502112,0.03779975656470108,0.03604248973265597,0.04580526644884563,-0.01168541669352526,0.001852479080808557
WNT7B,-0.0339468075591382,0.024041130294407163,-0.023134605695228124,0.04871155132287186,-0.03051260753133162,-0.029507509177471324,0.021017265492434038,0.07615141297393462,,0.08122211201789008,0.03040325406583626,0.031143697123045985,0.002668733463067209,0.002422541691662411,0.04653893570233744
PTMA,0.08407037843028187,-0.03231259825455023,-0.18793136890742848,-0.01429865993603143,0.07879949520572901,-0.04534656600454322,-0.009330546183371084,-0.08071891388290356,-0.008735280731522313,-0.03966242596525486,-0.15384530413851605,-0.034789915212904796,0.022316730633106803,-0.024186300027594133,-0.005437984208099628
FASLG,,,,,,,,,,,,,,-0.020145820975433007,
CEACAM1,,-0.02296894884464509,,,,,,-0.013787254154449128,-0.05271524575835221,0.20524148199912834,0.04987184431324122,-0.010256989591313515,0.0003157684663701388,0.06241903851326813,
PDAP1,-0.026936505958609677,0.02622027893326983,0.026303115778979022,0.07119457454844978,0.026343115714574913,-0.015159661112180855,0.04885544310204036,-0.037732884974528924,0.021347134324683412,-0.020510465627776222,-0.043100505794693995,-0.0375101605313536,-0.006607518659623967,-0.02359133433683924,0.0006375947486635278
QDPR,-0.023291674227460438,0.03890284623569515,-0.050661834257182466,-0.003684056339986821,0.011970326817009406,-0.02203662314872906,-0.022150723310876766,-0.07043157441786516,-0.017789700466492024,-0.13799553404219192,0.0422131698381238,0.09464136485173036,-0.07627499340976181,0.036694928398675185,-0.03903005357436498
POMC,-0.06809420610351687,-0.02754603018593681,,-0.012529330959780895,0.027853364704141195,-0.03167059433973843,-0.0003202500223330513,-0.00917441729861637,-0.014905278935927389,0.012527436212008188,-0.02945392094027644,0.0777292122892816,-0.034887629510188194,-0.006574509756442916,0.0015235332472555878
CCL18,0.02479152073636481,-0.028663077959330405,,,,-0.05162412651280418,,-0.019461294437844643,,-0.023230425642425848,0.06059751019336243,0.004503937300880163,-0.07235428818046435,,
CCL17,,,,,-0.006733146097835631,,,,,,-0.035577129446597466,-0.00659543693941822,,0.07135116899400851,
VEGFD,0.057661919900621667,0.01954031880716352,,,-0.027701857760405915,-0.02139793377070914,,-0.00552242741231266,-0.041685835502225266,,,0.049525001213963436,,,
TNFSF13,,-0.021630085289450093,,-0.014919216706817022,,,,,,,0.039702084210207884,0.1161293178414409,-0.03233418435642771,0.027355630700366028,-0.027574670178610095
WNT5A,0.020745872270848224,0.024575572281413778,-0.049403370144188254,-0.014102194354098608,0.06830619479248726,-0.012955558355459895,-0.020105872152658855,0.05097163775697534,0.011534512892724082,0.0738810520387528,0.04235254692314298,0.010533713540564362,0.0679676372165529,0.0007953423575728502,0.005360599423060594
CXCL8,-0.06260395078280079,-0.05221939499178363,0.0709063270143825,-0.02122161811764949,0.040856865111238524,-0.037727335852883875,,0.07089547695200703,-0.07428042017781998,0.12593502088817649,-0.04651598089999902,-0.12978851130622365,-0.028087749247368638,0.010642193540037639,0.02251523917800969
GRN,0.03175297748047135,0.017763251625536228,-0.06700343433357729,-0.017835669926230594,0.06087633939702189,-0.06512335116737737,-0.07298929919710803,-0.06605366573129848,-0.08721928193914334,0.023582231849376783,0.02603276381063423,-0.07161818498130286,-0.07146925354573291,-0.020445886502231586,-0.03019636875672659
MIA,0.10242186564836837,-0.024037593902007343,0.11780813008797113,-0.026976821144150512,-0.031505029245538954,-0.0018934204377676865,-0.06288785779579652,-0.057897856617263946,0.03606382319367368,-0.05109294577002867,0.14820358952902496,0.18771409456179453,-0.08017866233762502,0.0347835639388368,-0.005358084845525643
COL4A4,0.02956715159103719,-0.02442675013545525,0.05679362820611882,-0.014194975559338045,-0.04148654872429514,,,,-0.056115279759918285,-0.005525472296751076,0.060303360299371896,0.024617716497908566,0.08965245043030397,0.020004727691405415,0.003166707920372477
TAC1,0.01575235691865488,0.07477637551707532,-0.0667035676273695,0.022547459908091844,-0.08087599399089108,,,,,,,,0.004694783571421209,-0.024004526770678734,0.012339922565084524
RARRES2,-0.021416846326648017,0.032052962709851696,0.10155054055392913,-0.07765011167730378,-0.004173607014480647,0.06003541658067286,0.04179150334378174,0.021048268156981336,0.00046779542858600996,0.06736123839276711,0.040833900648653554,-0.05848288327169369,0.07985608148897323,0.00716518143485876,0.07248234287588394
FGF7,-0.06965684949150931,,0.01651465156114961,0.06620064169967856,0.030508716651127452,0.02158595191386604,-0.04208973783850491,0.0001266140915020056,-0.055553652014309673,0.05445340416779865,0.015716048662812412,0.09361067998790946,0.097511695372575,0.09141339211777585,-0.009882480634852975
EFNA2,,,,,,,,,,,,0.008410465323191044,,,
HBEGF,-0.07021343480586248,-0.02390851673710739,0.037642757246365496,-0.03137427026802776,0.06739719086214821,-0.045536896914765264,0.1151610567409384,-0.025262259867289107,-0.011975485257516068,0.11482286431031011,-0.012095127002104087,-0.0025921850068522665,0.02188689520604993,0.04737325355004891,0.0542397335990942
CSF3,-0.040180111179407986,,0.12240044049176044,,,-0.0321466773693925,,,,,-0.021287541117109707,-0.06728274006398578,-0.06121709765536679,-0.01922488298654324,-0.0012147485936842505
PI3,-0.03021953630688819,-0.030154766498863193,0.00020864862222921843,,,,,0.06677688971276573,,,-0.03952683914365319,-0.16584668416112483,-0.042089341890661935,0.030769889894181404,0.001176567785790238
PCSK1N,-0.08569871957330703,0.018335328923053,-0.07096298559522668,-0.022939646333279856,-0.03255806378329282,-0.022624629340276713,0.014084141102117805,-0.04150648890139482,0.0028512730141565276,0.027631347529672542,0.036626433789750557,0.002918546958547898,0.055169448784265815,0.04681752682577651,-0.02232542147096113
NTS,,,,-0.017328839943421583,-0.0050995322199537665,,,,,,0.04050350012043176,0.04894394794870553,0.021038265620363043,-2.385729189589407e-06,
SFRP1,0.017607596778744,-0.0035012370590342557,,0.02089684503853482,-0.029744582916593827,0.010175407104451192,0.03716647936941171,0.07271978084728127,-0.032629921544968014,-0.0026423096017019706,0.029518611261696606,0.06385767028356859,0.03497275858017071,0.030672919627981358,-0.028199900383579963
CXCL13,,,-0.02191576438743103,,,0.08488101951993998,,,,,-0.021208506172096707,0.011488123956377896,-0.020981049339590527,,-0.026295340185181326
MICA,0.007186315834743835,0.005038465894630775,-0.028231375115084258,0.0028615991908241163,0.003181239562500508,0.04813751092339253,0.08432682439360979,-0.0007545818421757099,0.022965286787907123,0.07558077216649024,0.06104630137122219,0.027022161429078383,0.039208795128709624,0.024211450869158865,0.040242632274079204
TG,0.01415363885662526,0.013303584132038504,,-0.020002049406955782,-0.016020881969954236,0.07269622156719367,0.09243692542168218,-0.06254775086241558,-0.026921871947900425,0.03805993599925595,0.016225759790839827,0.00923466870577817,-0.021045831509404735,0.005544602738129195,0.05799091257963211
ADA,-0.003693445951505004,-0.05418340940552152,0.02482528636056288,0.009582980997908564,-0.037170249560900065,-0.003708191899223739,0.04396700255911219,-0.08987673977023586,-0.021877754335779837,0.06487159882639995,0.039773189684574675,-0.013499948548110619,0.0025235174753809758,0.029790464475477788,0.04796240843976474
LAMC3,-0.02607235732573066,-0.05209196920106189,-0.09520413538978022,0.07621742497143619,0.01478304438715158,-0.026275450973826157,0.01332021803398607,-0.16298220324259266,0.04477381014787526,0.10327748377638704,-0.016304804361571237,0.04216297654469981,0.066488834762482,0.016829861560733652,-0.04074086844398014
CCL7,,1.0746922161792848e-05,,,,,,,,,-0.05332191648998812,,,-0.020145813811819534,-0.0056138829976708415
NGF,-0.03504327988276425,-0.03130367722854959,,-0.019087320024396677,,-0.021621394280772536,,,-0.012210419220757617,0.17916455507515633,0.01721033073302954,0.027786477605584958,-0.03604093761100456,0.00215331458796836,0.07569496318367228
TNFSF15,-0.04335291073567731,,,0.04326217884722547,,-0.0009187964230410204,-0.009498940180695595,,0.010121995664872659,0.08940363038751745,-0.009528553847602077,,0.0004054441852259238,-0.035751398090477594,0.0676968063839521
HMGB1,-0.08606946010205938,0.010110007356729274,-0.11884931136222329,0.007019957354263167,-0.027163728907649454,-0.04216690984784802,-0.03482119367361666,-0.05537071032868729,-0.019824235735576394,-0.030134588045435798,-0.039133707145344414,-0.08788191239625061,0.022326425632573473,-0.009497921417132146,-0.006391792512554811
ITGB3BP,-0.03326739206219963,-0.04263301961924842,0.038498673769980354,-0.00676719698105421,-0.05749267585532984,-0.014246134969951226,0.0318172887350641,-0.005814001347507515,-0.07337457777296416,0.03265669431730726,0.04398817015933379,-0.025926527545688496,0.017430754149816926,0.051262100878059956,0.029796349059926744
AANAT,0.019599129476003656,-0.02645205982630405,,,-0.01111610071797454,,,-0.019696162717252094,,-0.024195462082828557,-0.035970255619219495,0.04611443386724647,,-0.021315111137222554,-0.019794344621458446
RELN,-0.039495353321849086,0.007915228078065526,0.03624276157216645,-0.02361264792169711,-0.005365130248969592,,,,-0.015332293800961854,,,,-0.013829059413356729,,0.042146947237278076
