,UKF269,UKF296,ZH1007nec,ZH881T1,ZH916T1
IGFL3,0.09335333680312359,,,,0.06336370630511816
BMP1,0.028760329167461067,0.012210663369467871,-0.0039021252889201133,0.022572581226655862,0.05645665059585245
NDP,0.00874812435741509,0.018719115753623856,0.04359840381890577,-0.008875490476510121,0.05005298540108169
TNFSF18,0.07463878117197964,,,,-0.03974596933932688
RTN4,-0.08429424594122842,-0.019206636913716428,0.04368229386650697,0.08684438641091927,-0.028801817613990817
HEBP1,-0.012226744168609464,0.06663643476364077,-0.021407796256362594,-0.019427332375223885,0.0675454370478164
WNT7B,-0.004067224498762966,0.06847579033004096,-0.01688277336232286,0.033238289039387976,-0.016700099452450462
PTMA,-0.006458233867437012,0.020811168841844,0.10913349905115713,0.006022425931025573,-0.06917975112140037
FASLG,,,,,-0.02043587386347493
CEACAM1,0.08787047800568845,,-0.01781749616366083,-0.017006895412731527,0.028947980134298272
PDAP1,0.07346301722515165,0.008006693310485659,0.023347685584314406,-0.006633762440327469,-0.010385848610416196
QDPR,-0.06413047908599075,-0.035768952339927364,0.1300482328572824,-0.04439083592676662,0.020424449750492072
POMC,-0.02400118396274414,-0.013953392564387103,-0.06262491558124406,-0.027821046773672534,0.011078403879080753
CCL18,,,-0.03815056577824226,-0.01885006939414962,
CCL17,,-0.01700780492018205,,,-0.018522824307675337
VEGFD,0.10745038507907315,-0.012475430591575987,-0.04298087687154845,,
TNFSF13,,,,-0.01909760370325018,0.024270461729988667
WNT5A,0.07382110370415416,0.0050685103006485165,-0.0609940250642817,0.048919104470385874,0.03623150106712295
CXCL8,-0.011596254838776406,0.012586143546996555,-0.03766318900601525,0.03665229043646373,-0.040541350039387775
GRN,0.07885014499319856,-0.0025654736990114737,-0.07679118355994441,-0.06829021546525706,-0.0034812486069084833
MIA,0.07432101637451842,0.06530491931754055,-0.009967152792851394,-0.0347479424483595,0.016679589145920506
COL4A4,0.18116823335000107,-0.012009537284103727,,0.07098991945471834,-0.015017113397958644
TAC1,-0.0055994852342871205,0.0390595769352539,,-0.029341739553714604,0.009786125277984078
