,MGH258,UKF248,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.018557933178424676,,,,,,,-0.015471717773318091
BMP1,-0.030785326644620564,0.07409485773919722,-0.019703658444024313,0.09947600061123753,0.011729642425946915,0.03483319251551253,-0.01449246977981003,-0.0157247265039187,0.02101411537445291,-0.0008106485724699823,-0.09460731958487799
NDP,-0.012098023897964315,0.029654890797438067,0.07215524423161543,0.022265080301203735,0.004418255748336777,0.027696193171914425,0.06699278073135612,0.02301599882453211,0.0795690078637991,-0.02036076247227682,0.03510675884205269
TNFSF18,-0.021153801817755953,0.010370740606236602,,0.014047920128898743,-0.012622089446573373,,,,,,0.03864950550462156
IL36G,,,,,,-0.01631018900900801,,,,,
RTN4,0.02356502291150206,0.007327090988439367,0.007219599182640911,-0.12783790322524852,0.038847355374800455,-0.04717711848197993,-0.06545531150523569,-0.03559299479532812,-0.033773727907476396,-0.0034660961298000293,0.04954661569274827
HEBP1,-0.054150792929015576,0.07071856677258159,-0.0019499395964504927,-0.02807321562909605,-0.01605872485249126,0.00595137487986703,-0.046416167616016885,0.01638588159299708,0.04630364906546161,0.030327929244591177,0.0747622900014405
WNT7B,0.031358826783448056,-0.03808514869905223,0.011375347489326513,-0.04164456191248657,-0.03618004443778265,-0.01792677732990707,-0.028092538549743945,0.07070719196091611,-0.011700576955551295,-0.019769039285930535,0.00858593109464063
PTMA,-0.023976968099945425,0.009462880122861747,-0.058740331773083826,-0.0062538477591538326,-0.01602030971592905,0.04646115043134974,0.1031905631930701,-0.054584435455980115,-0.05161466189336936,0.0113717838355759,-0.06461329971869179
FASLG,-0.0186358421142491,,,,,,,,,,-0.013418615546545993
CEACAM1,-0.00709269508850834,0.005747435931910823,0.05358286353407804,0.0084439488530431,-0.01985153968813039,,-0.00354148214315376,-0.010427496040715311,-0.009594553029383519,0.15579932505360852,-0.018670032697130627
PDAP1,-0.011860722591249932,0.04796533028907532,-0.004318832440481746,0.08047021270638599,-0.022032025505159952,0.038783347342700565,0.15205340341032594,-0.01219175973153512,0.015711422424315096,-0.05326039948848918,0.007536310204286456
QDPR,0.0038188207353467125,-0.010290491685761216,0.019691616133050042,-0.11447013096128046,-0.0586342322598363,-0.0019039735747623534,-0.05857098155324895,0.04789275439796053,0.0736213396454232,0.032571231011737624,0.05781990048387276
