,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.017842276188584937,,,,,,,,,,,,-0.04916404291630967,
BMP1,0.05014616256757454,0.049077039364972104,0.11617221384671983,-0.07775001116193796,0.028926048244562148,0.20816396458551512,0.11200828229518071,0.03481111661023551,0.04007975220273277,-0.02924377251673403,0.1513197293114462,-0.11792167402164423,0.035187160060029005,0.012363525600152891,0.11923099912302529,0.06113003215370771,0.08249697853629079,0.0881621886616672,0.12269581035248996,0.08787500922934109
NDP,-0.01837191676813893,-0.0036414843862955367,0.04786744608674065,0.0002932383562171327,-0.01985599354577904,0.016330875381567533,0.03938845181878775,0.01078528349061217,0.02969368343176002,0.05970972883519162,0.006131310652620048,-0.014601564965034291,0.02226915338313425,-0.027769155981804763,0.06036890507125634,0.05652996528734376,0.09053960876027918,-0.03569691222721347,-0.011256076138084034,-0.1011563002307852
TNFSF18,-0.026872411380300255,-0.019316261798883884,,,,0.06315374564495754,0.007108337093260261,-0.013506324708277803,,,,,,0.1375435338467089,,,,,0.0019093745819703624,0.036072692394371185
IL36G,,,,,,,,,,,,-0.020540514300738628,,,,,,,,
RTN4,0.08582184554792094,0.00787680433490875,0.08117730208655617,-0.006550531283579367,-0.0632874115259439,-0.35516279794784794,-0.1403350179053782,0.013666329413109857,-0.013401958894072478,0.035966109481537535,-0.04433844616846344,0.16475122405909082,-0.04429445537499634,-0.05280692703152135,-0.054276617453323114,0.01056453231458,-0.12797981324216398,0.00872445334477307,0.01565062033531361,-0.12762804174962658
HEBP1,0.010615373764688598,0.052957100515564855,0.019324136480366166,0.009797174455419803,0.025545281688145748,0.1533499559407818,-0.021839295994818802,-0.013964656125517033,0.02704651337485988,-0.10214488500052002,0.057478586586342875,-0.04242196472834606,-0.0009017620243903907,-0.004540961257198971,0.06121432870029513,0.06397855709289513,0.047503075229781935,0.06465902087774157,0.04566429333911436,0.05497207106443156
WNT7B,0.009925274245629471,0.07075479921339636,0.0019158991740018357,-0.011297674559727756,0.008228464701008784,-0.02960563287866283,-0.06383796873916474,-0.009617675666909546,-0.01796578677874956,,0.062045639465946545,0.08287787813361304,-0.001899418692601879,,0.017038808106283474,0.06197482398267396,0.06328597307697487,-0.02466398995184557,0.03256445276839197,0.09864168300040466
PTMA,-0.007843392244828957,0.025280943117760836,0.10830379596178075,0.023943490465626844,0.08096849421416909,0.43886837464803236,-0.030381936356599862,0.00838236647963785,-0.0036647368779149803,-0.055355797825966356,0.211849440136078,-0.16229249787272787,-0.12306213165241026,0.04714015799021541,-0.20776234432219776,-0.03393172680372504,-0.12755027949720543,-0.0015043339451587861,0.04305684668689942,0.15784880705339313
FASLG,,,,,,,,,,,,,,,,,,,0.038187740333628914,
CEACAM1,,0.008253961631005544,,0.014792106429252704,-0.0014064946718264104,,0.07557287537521971,-0.021242231099855034,,,,,0.002176406492505073,-0.04627532576017202,0.19205498666529155,-0.028190379462090895,0.02205648178612218,-0.015271608951833899,-0.010770822912868428,
PDAP1,-0.09510879165347788,0.013296313919781137,0.030940415732543722,0.0691536326054812,-0.012945285794153836,0.17298083646567183,0.06775750090216427,-0.009640580534072768,0.022539968008718957,0.049587195167224325,0.12933846519621386,-0.060632834648705995,-0.05800110507915426,0.06845800180723204,0.008207280426623907,-0.03986257023054879,-0.023226884486458963,0.018744995444050363,-0.0064450417221103675,0.058919766654361744
QDPR,0.016038803060910024,-0.005010290969671419,0.08142373501655349,-0.026191289451270233,-0.04954457506038737,-0.11569785277184058,-0.1298172517551615,0.02744139616909367,0.049236140392352405,-0.08189236968994734,0.14303088620746432,0.05926054045604939,-0.0017307902406058868,0.10865160739826196,-0.15981582265307614,0.004944017056924599,0.0516950930296622,-0.005191254485319405,0.03873029191961211,-0.19836424657687496
POMC,-0.038827458145701016,-0.004357608473114596,,0.018867890286380775,0.027458067003925484,0.02376606619389529,-0.02246311304880898,0.0537371485203033,0.05275785326910727,0.12969419378347039,0.025062075887069612,0.015955415831412537,-0.04749256227066036,-0.09236605083141539,0.05479839219257421,0.056009466366278585,0.09269166421472372,0.052950267938858236,0.0692555727341154,-0.021341776895579975
CCL18,0.010853492960596832,-0.008359018101669568,,,,,,,,-0.032965629615514226,0.16467792062282177,,-0.039815423489479175,,-0.02878741778208026,0.11746318156787497,0.047180734494280605,0.02268484708067206,,
CCL17,,,,-0.010464004937134008,,,,-0.01684501651187221,0.07117064057830136,,,0.05503758467585442,,,,-0.005480314336937624,0.0058686192312207295,,-0.03676871711845383,
VEGFD,-0.026819105395804562,0.015935418077717478,,0.027738046305047736,-0.032419759517042,,0.009450103022261768,-0.017946940322300795,-0.016310820679211274,0.05897735669714454,-0.009910643507619605,-0.0037622094738185476,-0.04485652518332609,0.0564260034479091,,,0.06587925063004843,,,
TNFSF13,,0.022676396391353954,,0.05072579880591709,,-0.02162107770438927,,,,,,,,,,-0.016975732131521405,0.06065729286499414,0.05213513477022137,0.011489563425016565,-0.027191998249697282
WNT5A,0.03695062724672828,0.04136662539669339,0.16855576630417327,-0.006954699375731967,0.08502087476235347,0.35737155463496156,0.0718121023477549,0.02444234875268934,0.017001733104530785,-0.02952163092566371,0.028000860605052795,-0.04324979531268643,0.03523829545993608,-0.02639933962806359,0.10959629499434204,-0.0011372580588573042,0.09329375019768651,0.049768741544462425,0.13440275960457843,0.1310380027861201
CXCL8,0.07754297387116026,0.030157861331198053,-0.1488732478483366,0.07779694035141926,-0.05103230883391688,0.03247218360527809,-0.017695780255221526,-0.031727681314298664,0.0956613981926734,-0.04872219605406729,-0.050427738542980924,-0.06046405998633753,0.04186285713594144,-0.0968682782900023,-0.05068478138948408,-0.06555889801219639,-0.065106871137722,-0.02275027281475702,0.050851669773493445,0.2479982473812838
GRN,0.04827105393781582,0.06063523073102903,0.13819531440086436,0.00035658160011338983,0.05735958782330307,0.15649328586651493,0.11454359863387736,0.037680608476392034,0.007678292282119838,-0.026653296363229582,-0.022853762763365773,0.04453346049895107,0.016634084754257466,0.004380217816646102,0.026932834946841965,0.013268491710951591,0.00043289290216012405,0.07701373670899447,0.1681246516530615,-0.10055247401690652
