,UKF251,UKF259,ZH1007inf,ZH916T1
IGFL3,,,,0.044532480764041545
BMP1,-0.028348023398228294,0.007614755842520558,0.06907964205549483,0.02364110550173616
NDP,0.03476017423691628,-0.015890469258643878,0.005597889955748808,-0.014775854003818216
TNFSF18,0.039543910018266105,,-0.024124923262153746,-0.009765138023171084
RTN4,-0.020122545924062124,-0.0007983955326168172,0.05270229886968722,0.12926675737823398
HEBP1,0.022864277019875742,-0.019282125064915154,0.07287199533653912,-0.006690435181679076
WNT7B,0.05281640310530548,0.002331332892450744,-0.02655918578860834,0.044413329593898404
PTMA,0.02292078595412299,0.01469978730069777,0.002495652610169644,-0.041314153333418875
FASLG,,,,0.13919047330007175
CEACAM1,-0.02111422637534022,0.017832178685513247,,0.016299912542867792
PDAP1,0.019522266785963256,0.02510215592163526,0.031754117071765994,-0.043754125375200154
QDPR,0.043385199439282214,-0.01564185285411012,0.008975255255756043,0.07662731685554403
POMC,0.12251542602433838,0.026802940744953384,0.048094607076538586,0.0025285574418874635
CCL17,,-0.015228933061595151,,0.07000256950392177
VEGFD,-0.00901857192979485,0.10610982408661772,,
TNFSF13,,-0.01050457719230214,,-0.03102241130178062
WNT5A,0.04787890773329442,-0.029371597597968105,0.017224081387863858,-0.03320234739756436
CXCL8,-0.028316716250383303,0.09242331256931774,,-0.026964489092215348
GRN,0.012753414093881917,-0.002517559916531725,-0.006565900876041949,-0.03571412157936724
MIA,-0.026895024865586332,0.049014376314689086,0.02299069588411377,-0.015325929153979753
COL4A4,-0.030003782661176256,-0.02800262567741706,,0.006612932799285493
TAC1,-0.01819811134188616,-0.008679191539749647,,-0.02502866106486716
RARRES2,0.02018589943057187,-0.025289577992171852,-0.0007753955703870768,-0.028549471748933453
FGF7,0.07276373093580403,-0.026994696835559745,0.04692601238435225,0.004520565297619526
HBEGF,0.0357435905489182,0.030836497245323502,-0.028059400630895535,0.057850855830845184
CSF3,,0.11013594281726642,,-0.020045097530090435
PI3,,0.11477708774640169,,0.004809319747613556
PCSK1N,0.0023722635415230273,-0.0693692208757337,0.04698394388380549,0.005097806610863796
NTS,,,,-0.029684056068160103
SFRP1,0.03925616230653551,-0.013287832749183917,0.025187800313777133,-0.0010199021171404176
CXCL13,-0.051056010832939265,,,
MICA,0.04554575831338642,-0.032328315922624036,-0.010676564886092305,0.07991399657332758
TG,-0.017248164451831336,-0.01433967678409954,-0.030917215654133783,0.002424658547915951
ADA,0.04192244095038456,0.07105587307496972,-0.036529387690260415,0.03291306261480872
LAMC3,0.050030530894186305,-0.022387295327339695,-0.043415049419295484,-0.0339854719458376
CCL7,,-0.01036756340398213,,-0.0014761292986117849
