,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0371589924398141,,,,,,,,,,-0.019136433024675117,,0.006347894488262321,,
BMP1,0.021334693716904243,-0.020162105644363788,0.02890307239393668,-0.04806821760870816,0.02463007991838951,0.04564976803759459,0.03985408066677529,-0.003055440663433946,0.06792278989714758,0.010894551281284168,0.015761599614336964,0.038524199137541584,0.06207694006278461,0.046758835208169466,0.05209378669972866,-0.011592456710754762,-0.07188609736021266,0.0707030563754622,0.09954918188712815,-0.004794950680735355,0.007389650042384905
NDP,0.07110698253040824,-0.15978915060991633,0.036110951582945444,-0.0503181991663972,-0.046874132719098176,0.01961238506443268,0.05171900265547478,-0.06978218446157367,-0.043759580699977915,0.040148572186310724,0.006444258500284,0.005412408770409074,0.08116168739025659,-0.08601304782533907,0.023960775928236477,0.04388663735617869,-0.055567236707700175,-0.0007094780062544847,-0.047063447263885935,0.026130611838070122,0.044807609112191976
TNFSF18,0.104221503491657,0.09032581500860559,0.017816790562799514,,,0.05550172079379924,-0.025678607000172472,-0.025752795589605883,,,,-0.053104749543356526,,-0.030349334074381642,,,-0.008607556454899395,0.03144900866552695,0.1018695106982006,0.08672852246235888,
IL36G,,,,,,,,,,,-0.034834072870458185,,,,,,,,,,
RTN4,0.0803462768469526,-0.0007628461047455258,0.018352155819109962,0.021067092494196,0.07503544359950307,-0.03490716272616571,-0.060948104363420616,-0.08496528616362509,0.020115814556951765,-0.11213270264967755,0.011903246459114192,0.04652118619479668,-0.06058450546286079,-0.09206801950183795,0.01641167734663855,-0.06907751799724081,0.1698907865592267,-0.057948295027051566,0.02225135385144977,-0.0890613203872203,0.1329629991048482
HEBP1,0.01298730692357163,0.01564447819162387,0.060750763314768794,0.05587860426226819,0.0037868275527056477,0.06934472691058483,0.03975021607676163,-0.017783328626233882,-0.01865442467522102,0.0675042958404348,0.02186311151727959,0.055288045012702715,0.06898529386778311,0.033445866313678255,0.028118959037001734,0.05761373189712984,0.021585739024589195,0.09506688491072408,0.040228275777886804,0.017193739786890497,0.1573323214199293
WNT7B,-0.006682464450512664,0.0834013721829251,0.05559302412025957,0.09600021775632027,0.02877583907837944,-0.031036868510280452,-0.12409504058862318,0.04100220416110702,-0.013333401711275476,,-0.03206130644889567,-0.045546410353896546,0.02152837593162889,,-0.029085250413433225,-0.04426211087630145,0.024845879716957,-0.06808288977640703,0.15030286797578674,0.053355919584066505,0.12679316698757181
PTMA,0.09727050289794979,0.055055473414784485,0.03633087505062229,0.08543207873394705,-0.03679459708369482,0.07856220368760333,0.13443332042637735,0.037457651639850785,0.039518959219336985,0.25338455047311165,0.07610191118441,-0.03833077239904981,0.04915151402153504,0.010960033196472006,-0.05073280550897516,-0.027843263581913538,0.12031080533572361,0.09197912782742784,0.025598355817910437,0.10640149774359665,0.05387716577516286
FASLG,0.05210989766902604,,,,,,,,,,,,,,,,,,0.02890593035453944,,
CEACAM1,0.01820229513441319,,0.07643016826897824,0.004071227892767837,-0.0025920862382444857,,-0.02964033274968201,0.04540305773218214,,,,,-0.0501262479531563,0.12703433687134233,0.011158377289476329,-0.0023695946561873146,-0.04223655709695582,,0.00019537321673961924,,
PDAP1,0.009006142971801445,-0.06134795036818084,0.07631117342304646,0.06452728484612487,-0.05007192780738957,-0.014034137350370075,0.006421023397800761,-0.03316339774120715,0.025158465836211907,0.026057948128405686,-0.00834900439745627,0.07951801010466722,-0.007642390620350832,0.000999099283983314,-0.027770347425632884,-0.035913603463834924,-0.034353256546476654,-0.06390396140906375,0.0631474117329546,-0.034380957765448764,0.027517148824568016
QDPR,0.11232162828243315,-0.1124567981448232,-0.013860043068585693,0.0013718299038001547,0.03169870699114045,0.01944266750704195,0.15993101028172205,-0.011171480807510226,0.12070013573622254,0.2658790196777772,0.08325971154907791,0.025157503076712343,0.14764973230051462,0.0017499793949533955,0.054537283534270134,0.04685708751562837,0.11884400876164197,0.05440421363184821,-0.022250309078962412,-0.08182779977757994,0.12638943848835713
