,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.17850690072650338,,,,,,,,,,,0.0621124684315558,,,0.05582596470506735,,
BMP1,0.007199047114031814,0.03830058164081018,0.031065720320764042,-0.017703845206630233,0.0657051633365685,-0.01606202214349262,0.02462399502966342,0.16189147062584222,-0.024856640764224374,-0.07468582391050914,0.10791650777018715,0.057451616357793445,-0.003073613181894393,0.11355157562620383,0.08326873680759558,0.07385299896227351,0.007723179966588451,0.029953379126635923,0.037401834480710425,0.050950038386688094,0.11968535565045094,0.1646898218621195,0.09679866648857678,0.07706714110275509
NDP,0.0508198607578702,0.14088031662068937,-0.013142478758776579,-0.02315434061159472,0.013131282029025295,-0.044443242838144215,0.04337072514395333,0.04947961632639951,0.04617224059228057,0.0036138731924675723,0.054052079973079425,0.06428077961090671,0.016385104051940935,0.02179841228014891,0.1317682927118429,0.08750133425457195,-0.026490872853861012,-0.052085763209151606,-0.03249835173973705,-0.0018535103719545985,-0.0054457205581505,0.009436430055712035,0.052512355931338066,0.07598080673691446
TNFSF18,-0.014824742489879434,0.04484853401133395,0.01661108832304945,0.11361133046273449,,,-0.016548999197033624,0.040242068918051675,-0.00023574332318583593,,,,,0.02060967114333736,0.07288732410272182,,,,-0.004588104317369633,,-0.007839941327546172,0.016293954667278766,-0.02043092900285379,
IL36G,,,,,,,,,,,,,0.09161663191050405,,,,,,,,,,,
RTN4,0.0420665100898833,-0.05038835992299705,-0.0078124130990409385,0.020281167672886992,0.01670680247134986,0.05285112384081922,0.006298444523374327,-0.17566095372955376,0.03159688970557352,0.004678768251307077,-0.04613491160397167,-0.07231452835638684,0.012874256948233862,0.0006918561027784512,-0.07509791572999851,-0.09801435399278006,0.012290191552912057,-0.05622750512940004,0.04876626089279982,0.07114751026486642,-0.16104846429044514,-0.021275108467204294,0.05685170688838119,0.04653923170449118
HEBP1,-0.08453373113337456,0.012759377349999839,0.06302751868579734,0.034210666010148716,-0.007092771427043632,-0.009575554708867989,0.07639311731370965,0.09029581499047463,0.002418929944477617,0.01696232905587429,0.07762908325273539,0.00044992489281802625,-0.0697994267009511,0.0184209026104398,0.012691292275093385,-0.017522220257512405,0.06460332124194272,-0.007629775327164067,0.050855504066372216,-0.019156037846188613,-0.04372771372439392,0.05281140391339763,0.031023939562375223,0.00044990761103099765
WNT7B,0.019595605986757338,-0.056490404117394005,-0.02176232792214455,-0.02710373279669822,0.01874834410687186,0.08061940763366483,0.03879933370725295,-0.046387065275030746,-0.017867289438207316,-0.01721959298358786,,0.0799706173510427,0.045520318719231095,0.1435290189800352,,0.04149954108817896,-0.03199836984573162,0.009193738503335913,-0.028738280089157645,-0.020659314220034808,-0.03597296744558947,0.06038991786029994,-0.041209842742090004,0.07723859385823065
PTMA,0.010466152488033236,-0.12213799221382268,0.03197007175760549,0.02744504322733407,-0.013634002328441301,0.058956640019362135,0.046252201047856316,-0.039980586105825576,0.062639369178966,-0.016448033512229447,0.10980928393852153,0.1501058293414623,0.034755047636581625,0.08498551483178655,-0.09817048559691413,-0.21730384337118888,-0.035100531925955004,-0.03290419537607936,0.0289092943059246,-0.007516938828174579,0.047305679844683673,0.1323037012734478,0.03571326048511813,0.015570989585551644
FASLG,0.021392921556045184,,,,,,,,,,,,,,,,,,,,,0.014621417851012473,,
