,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.028773857941054137,,,,,,,-0.02385784805019873,,,,
BMP1,0.004660731659997698,9.876735528568402e-05,0.021232285514225152,-0.07096015371218505,-0.044608825708492866,-0.21445820005517857,-0.04257975426638312,-0.019595554955139784,-0.11591382866358461,-0.14248389590178323,-0.04668742447907078,-0.03669115232451941,-0.0170876514235655,-0.009449463976914648,0.0828074276570932,-0.040774046787384124,0.025053110744395663
NDP,-0.04789616324715292,-0.007893456144041137,0.010708120547005437,0.12120986726109416,-0.013544722326822365,-0.01379297487247377,0.04999937933634935,-0.021909916839493525,0.005315916784930457,0.003875829540346577,-0.013950881117979498,0.037606558719996845,-0.002734668587002975,-0.04522235628855802,-0.05674309430562291,0.02831239376010253,-0.060429771374189964
TNFSF18,-0.03528329684247534,-0.03901933467589888,-0.02454885424078329,,-0.014157416474939975,-0.04272831522757886,-0.019943159241205613,,,,,,-0.02460417757842183,,-0.024925612429168513,-0.030210175007401228,
IL36G,,,,,,,,,,-0.021478691210106947,,,,,,,
RTN4,0.30625731895327607,0.053169397970674,0.09253585400916173,0.1974481660424624,0.16805241278305053,0.29023548640910396,0.04371613481121537,0.10292646557839877,0.15449110760103751,0.17677354488072822,0.02582531268304172,0.1208439238801601,0.02868414419609718,0.013998201613096943,0.08736632646787945,0.20752701955504887,-0.016300312495618904
HEBP1,-0.05577017272239002,-0.009352151536744126,-0.052179177788287595,-0.027487599737655573,-0.023389555644542162,-0.08500481662449703,-0.003055298313521576,-0.05767161078970198,-0.09961961337000025,-0.029109906321009304,-0.012050720400387694,0.03131378739121953,-0.04352827295451721,-0.003049426623423815,-0.01532962227965164,0.011591285371455946,-0.06749903515079586
WNT7B,0.3898338869789615,-0.051229021326029064,-0.015248987270419758,0.07271836876437687,0.07043168913925567,0.22175498240119193,0.013386709207980753,0.05312597784180562,,0.04932942896919363,-0.021756255180663882,0.04522600509603908,-0.02990330457738813,-0.011119867491006822,0.13532335867750636,0.03458759483677293,0.008748851599834824
PTMA,-0.012035337508369456,0.010117561991094863,0.01775140925632829,-0.1640718596897752,-0.1350667091225079,0.044326602324050675,0.028018056936544345,-0.10648166357973007,-0.30414019714453144,-0.17598365866183902,-0.01567006570071325,0.05390774770619088,0.04661012571853906,-0.0057747851381596505,-0.02808082781295715,-0.02082047494686757,-0.28878159223647765
CEACAM1,,-0.024834737169144375,-0.011702680565221724,-0.01077751238903391,,-0.05622802921662697,-0.014078525949422542,,,,0.10554716472887092,-0.010199670176952967,-0.0353536344692856,0.03640319033983995,,,
PDAP1,-0.14639287637995543,-0.023053404914325146,0.0476943204888918,-0.06858718128138594,-0.03218152205239359,-0.15779719013850785,-0.016244337218095397,-0.020954275261773462,-0.007353858666836012,-0.1427045386228745,-0.024090488376463968,0.06975010180831027,0.013915189294295228,0.01667533448394245,-0.018739562898607474,-0.031753095027808785,0.058890963872964296
QDPR,0.1783063825144448,0.04753846031262228,0.03871442090111619,0.1961689433132121,0.02242463581808811,0.11766049742396306,0.06156173699464337,-0.00650511176073599,-0.21642413964541976,0.03521172331400345,0.003767966846314511,0.05007591572012798,0.05671020176977905,6.950144031164965e-05,-0.05298287126392656,0.09604406082024393,-0.10541996659291511
POMC,0.14038209286553546,0.009378294265090462,0.07517997705403143,0.08423418944934115,0.04792118693609073,0.015759350508756452,0.025665194666291292,-0.003684296857739895,-0.11354693312190575,0.049180324504609144,-0.05122236232504746,0.05586032265977746,0.08229984179397817,-0.033646527010488626,,0.07299047873790428,-0.031151490222446444
CCL18,0.021586786524728806,-0.03099140550111077,,,,,,,-0.049799219108498965,,0.008524190661631468,-0.007418174810240246,,-0.014535627394810095,,,
CCL17,,,,,,,-0.0022501180438666644,-0.01084885585335809,,-0.0196213942002694,0.013120446230852463,0.007999078265155779,0.03511689145097576,,,,
VEGFD,-0.007705266933909084,-0.030991415342333566,-0.01676174200829646,0.03672870739166646,,-0.0482039304592435,0.016426418788405055,0.04346713994127202,0.05935907001136692,-0.021028855904478987,,-0.03530678611840028,-0.01743822984957419,,,,
TNFSF13,,0.006450921362513771,,,0.10967662011012759,,,,,,0.008902417761961557,0.10161309027774974,-0.018353302342677638,-0.031718841209645667,,-0.02771836502422661,
WNT5A,-0.10368778861698442,-0.02466451860344525,0.01265597491815746,-0.09791568672147923,-0.07039158222766974,-0.1072103116680388,-0.014357112531519162,-0.03708498531550218,0.0662166731555654,-0.040487171285108946,0.01043390389581122,0.06643811286536003,0.07519166116956642,0.046894947084021144,0.11056537524898112,-0.009872400394857334,0.09331325965807308
CXCL8,-0.136844313305431,-0.017758805723139003,-0.01569470171643545,-0.08178715148130902,-0.021153383063523632,-0.06517491278074135,-0.04075154295158419,-0.01272449502752965,-0.08909248389658053,-0.03952630848433331,-0.05082840820014612,-0.04934560857916557,-0.019482467826386657,0.030342699263721767,0.02903448108769503,-0.10757371269035798,0.06670752406666795
GRN,-0.10781448446739393,-0.030472180523975614,-0.02466008476124401,-0.08751380867971861,-0.06708462327664948,-0.23290628003043792,0.01597051327173366,-0.04065919597290256,-0.17399569284282093,0.01821308457508537,-0.08221515528472459,0.04606402787022445,0.0029731970356940045,-0.026141521927390294,0.020715162038974538,0.053610049310192996,-0.09156867920238612
MIA,-0.008628378831773992,-0.012546292477634438,-0.014906721146233828,-0.018551141736294973,0.008410012277198111,-0.08219518084428021,-0.04888821521067909,-0.01970044152989354,,-0.028799981862344958,0.047069290454133855,0.014027102873627224,-0.02617251540473622,0.013459931512584697,,-0.0015184137345971517,
COL4A4,-0.05366917377326628,0.04126070522855353,-0.025068665052730952,-0.07704183020594077,-0.0339209453117644,-0.028354501256494174,-0.014916891752723566,0.05803952243631098,,-0.027937050859835857,0.030403998919776912,0.03711841766582739,0.06430677630782797,0.06232230063341431,,-0.03104512486220866,
TAC1,0.3653184250906756,0.02623287983568924,0.002461849271930497,0.24947358594772315,0.14846167334360083,0.313621536487014,0.06848851588115333,0.06083666763240801,0.17570421499984168,0.16671598306291316,,,,-0.05408988009097379,0.02723206900695245,0.20972382135772075,0.14850001831073315
RARRES2,0.10659080061066259,-0.019207517220552858,-0.02935871315249523,-0.18055251873995834,-0.009695074049763296,-0.23358610267393046,0.08429472063497617,-0.02972810652542915,-0.05292608879108203,-0.08922213117572608,0.009705996763148294,0.01551985875943732,-0.05106613594413158,0.005081685349743343,0.061469142540237824,-0.11428560006232615,-0.007967392989094572
