,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,0.07501541440876042,
BMP1,-0.060212611670707496,0.007304853829830241,-0.01077435578443851,0.03067437263153357
NDP,-0.005563463435186559,0.015585808922535877,0.01580698586435543,-0.11397086932894357
TNFSF18,,,-0.021770471798189743,-0.031747215570708406
RTN4,-0.0687984015473521,0.03529140080966485,-0.03404315018110379,0.03681788578405762
HEBP1,-0.0682381436093271,-0.004830226696293512,0.00946744042081254,0.029595324495084438
WNT7B,-0.017643531237172924,-0.005825519919124542,-0.022608631203875146,0.09175678438783119
PTMA,0.04854413390953422,-0.012732649544523666,0.048818411578480325,0.07278079174341147
CEACAM1,-0.043157298064403195,-0.015399748901938029,-0.03128189510597977,
PDAP1,-0.05811618389083075,-0.039745425927396945,0.040974795615850226,0.03619041081949085
QDPR,-0.059395605863761976,-0.018219278498627988,-0.006052630259595138,-0.024309330121145115
POMC,-0.03965092851927969,0.13952805544348762,-0.015418456912498804,-0.06239976469614063
CCL18,-0.005860322988787492,-0.03760516705289974,,
CCL17,,-0.022230504327465695,-0.027832445230003094,
VEGFD,-0.04169041186014394,-0.015399748901938029,0.041587374557581845,
TNFSF13,,-0.024163798167192913,0.10649161803917452,-0.01982112237249539
WNT5A,0.0936616657667393,0.05255556587589767,0.06333704186410447,0.053546885128683656
CXCL8,0.133299594619827,-0.07472683022969974,-0.013358504831000664,0.05821753991516362
GRN,0.00015235702336553953,0.029552304191918434,0.018005019779032287,0.0538953947518171
MIA,0.001143040673370832,0.029844840484149884,0.04846799523728145,-0.03907734979768366
COL4A4,,0.057259685698161304,0.06850403680424721,0.017585856476905873
TAC1,,,,0.030873792101689734
RARRES2,-0.036319453392830686,-0.033852974975683944,0.02941781968837879,0.06780850223085551
FGF7,-0.07842352600238027,-0.01431108953955883,0.045244984977236696,-0.06017658490192368
EFNA2,,-0.014636430732707817,,
HBEGF,-0.14331108675826018,0.03263960378208463,-0.010857535059102193,0.035522105197382484
CSF3,,-0.056837745477712254,,0.13243914699697573
PI3,-0.03809362847621739,-0.07730417300372373,-0.02364820159215139,0.07129230432636073
