,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.1531044999631433,,,,,,,,,0.1026146838915132,
BMP1,0.06374496378988431,-0.025611580194348574,0.08509862606356802,0.02304848318804866,-0.028949958032436558,0.09260501068657567,0.1128393406764037,0.04346043060024717,0.04106825426538538,0.0030381791115464056,0.03830696877027765,-0.04259667448236136,0.026030974136765667,-0.031089193918691905,0.025277905422092628,0.021904062409332924,0.07345798305480405,0.011867712218855922
NDP,0.025471360936399373,-0.010794590404409145,0.0022140503933350607,0.0030244764933589773,-0.05055145119288412,0.009814663683687046,0.10883234392965607,-0.015612994827302882,0.015323426718223156,-0.012189196234736502,0.012146884305190692,0.09808038757921214,0.05179194954428432,0.08001605968429708,-0.018646471183200293,-0.018003943319126976,0.00530579893863882,0.05380805692128736
TNFSF18,-0.02115380653898456,-0.022596679619200463,-0.030927690373926,0.023028825924034498,,,-0.013800791134258833,-0.007187384521373301,-0.012622089446573373,,,,-0.042222341616977674,,,,-0.03918183889243407,-0.00594198087500381
IL36G,,,,,,,,,,,-0.015795204630495212,,,,,,,
RTN4,-0.008525075552790301,0.05225978788438915,0.026665040010684187,-0.027075802627378236,0.018573359699497825,0.03723952110685593,-0.024492842406324634,-0.03338715664788411,-0.027077697038660007,-0.08358085613373165,-0.006207561753980148,-0.008367447631770476,-0.10050757883267078,0.00877980650130421,-0.00571418206348485,0.016552973627935338,0.023693154562906923,-0.16553515066766333
HEBP1,-0.010881471906548873,-0.031155806686485005,0.06917398099334626,0.04273896676167483,0.04185017447718277,-0.00844191282445138,0.04118899044841567,0.026993611300833036,-0.028042993798194936,-0.03102377028595504,0.031590931891092654,0.007518085106978835,-0.02149109254425084,0.008527187408747363,0.03619899908898617,0.010132172876883325,0.06288393100354683,-0.00398409031910667
WNT7B,-0.018635841005200295,0.03992025640005779,-0.03376078024529668,0.0015036074804959867,-0.01803474621032902,-0.0008385033994059372,0.035463969327246166,-0.006171907919562386,0.0185513250777609,-0.011246854873331763,-0.017360750150401012,-0.03297920556731814,,0.007433893918473315,-0.028723357712348848,-0.03023628080666616,-0.03304069937753401,-0.012453329375407723
PTMA,-0.006281257789478868,-0.035785354708721615,0.0392834174752253,-0.033196289835394494,0.03199589025159909,0.003659789646460051,0.09107599747838067,-0.054918695526580574,-0.01623211424490063,-0.010534340926572253,0.042793980925461744,-0.09427548043660613,-0.06063857173450373,-0.05818546966547828,-0.036534783165564695,-0.07549217860675388,-0.016675718649110376,-0.10327641127616936
FASLG,-0.018635846273504803,,,,,,,,,,,,,,,,-0.02014581932846475,
CEACAM1,-0.025876035645858858,,-0.012289997291423521,-0.013221175199477332,-0.01682715278016467,0.07830591339514495,,-0.005704960079997427,-0.005427752637090647,,,-0.05130773164639885,-0.029689471894934507,-0.021798925924107367,-0.01901833929409714,-0.02006825931879502,0.031654196030187536,
