,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.024895920254285667,,,,,,,,,,,0.0027221156457568384,,,0.005631080890629364,,
BMP1,-0.0035702565963058185,0.07815434889137433,-0.016656200032992834,0.012697062322902037,-0.030559412504524586,0.10434451098312454,0.016089043519452086,-0.009754774657314391,0.006571297183963037,0.033182041722370444,0.10776843150641306,0.09848464198260484,-0.04646555863209038,-0.02386628531745101,0.07312824436949443,0.029162053971465384,-0.015265343585142473,-0.05457525317156049,-0.00040123812295178926,0.09598580300058092,0.04789497529683501,0.026104334700966392,0.04023672264876967,0.03978793874302287
NDP,0.05668104219533772,0.012713826163429268,-0.03745523724682643,-0.017702764214824758,0.03183393779518714,-0.04909495436031498,0.10981359127150025,0.022801225867579204,-0.02764888213249893,0.029168788450170118,-0.03835369387374501,0.14697440737843154,0.06403865257685608,0.035074387768025364,0.03693160917690092,0.003543098668310264,0.0114749493640243,0.03634182950703255,-0.06458915444864763,-0.17471604195005552,-0.06317752238615824,0.017618348578473206,0.004595799782210538,-0.023020533129095317
TNFSF18,0.08329867953879039,0.030129873961080834,-0.02904320527175519,,,,-0.012498028287027958,-0.015457012559534428,-0.013233239623254896,,,,,-0.047134426849285184,,,,,0.04409704128262705,,-0.0480364740865373,0.006493833023271377,-0.0035243019833265297,
IL36G,,,,,,,,,,,,,-0.028403389944224026,,,,,,,,,,,
RTN4,-0.022709912946645986,0.03965031720411911,-0.03244191315884185,0.0326709797176459,0.06084333723836456,-0.10587242920053411,0.10947475560546654,-0.005197376311913152,-0.01310047684064726,-0.009735871627184728,0.031185820070172673,-0.08365569103797095,0.08034529079273672,0.11405151628314832,0.013275913559609859,-0.0033130612641295593,0.09050929144454305,0.022021522608460003,-0.004591776435058723,0.008244517006397202,0.019197372147920742,0.05273036081887076,0.1239038796739738,0.0008636211305094913
HEBP1,0.04482528854454834,0.05052059782408039,-0.05507665097163075,0.0800251889290942,0.016771166883087177,0.0865767665485211,0.05487887478057162,-0.02831692826252368,0.023882807155809198,-0.005126646302076769,0.06964856796557357,0.012042021858202231,0.0016703055418575822,0.02863426826528321,0.14131333399857526,0.001234105565211813,0.018585531068318555,-0.029619262826042686,-0.017549164083383285,-0.06345440308766309,-0.03393199871329055,-0.033027273079078795,-0.0017673094173923118,0.06899282394609282
WNT7B,-0.025449851262111137,0.0415249624990082,-0.00022100410876648373,-0.023428448404455397,0.02001441042467391,0.07220893366300946,0.037478050241762415,-0.017526361575738093,0.018325269447521407,0.012112054165737194,,0.05540752183911278,-0.0312185987951095,0.0583906885127359,0.0296204063384995,-0.03772055524027507,-0.0024172937090336548,-0.005025587915785734,-0.011843172863268124,-0.06380702298654883,-0.04803642427632216,0.06011891768356961,0.08739223502232273,0.0030981313964875867
PTMA,-0.08781445460392147,-0.025343329467415684,-0.0029171691901140775,0.03823862214419178,0.006163567357760426,0.03899347177725506,-0.06404158748790202,0.026583676801449074,0.004569852315662571,0.07447622781597531,-0.03213988872570617,0.14553405186338944,-0.02106986860152543,0.05902511055711823,-0.05899678683978986,-0.0403268242726744,0.10141118906013602,0.010223901421595872,0.05793363891859162,0.13181810220218015,-0.04509856938858586,-0.09117234220225943,-0.012401070660943259,-0.01833784321998116
FASLG,,,,,,,,,,,,,,,,,,,,,,0.04733669460996385,,
