,UKF248,UKF251,UKF260,UKF269,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,0.10600005535669328,,,,,,,,-0.03915050765796672,,,-0.03562597039441839,,
BMP1,0.04917666032736145,0.03471080841506595,0.02324198003998823,0.08827053559899568,0.01293967264403234,0.03684268235834938,0.028865446590297918,0.05803658725474664,0.09137518340382213,0.01909132548661899,-0.0037044887190918166,0.022828363109505128,0.006162521911585541,0.0443398125258938,0.059928509065652905,0.056364267587784414,0.16248108655680407
NDP,-0.01705611648097329,0.028424360699104062,0.014585427641788239,0.00959063644780696,0.05397191336008474,0.048580054687529343,0.0008547928149386501,0.12544795659737798,-0.03867104698012638,0.023343865490895455,0.019193535492998872,-0.08795560544095062,-0.05935963266541218,0.003454849693262289,-0.04429767902480497,0.032727928472056085,-0.006870160125144696
TNFSF18,-0.01740363300096439,0.0014238144554303395,,0.06599585724343157,-0.012224650389903996,,-0.020387358958487412,,,,,0.011636188091689821,,-0.03112850835415595,-0.005095306129775264,-0.013278989562709719,
RTN4,-0.02412809937283265,0.03754619102397046,0.07233626056384534,-0.1318266456982284,0.053659435289748335,-0.006353016893475946,-0.03878846759609396,-0.0576869539110606,-0.007134840266672278,-0.02435952208774295,-0.023921282954435276,-0.00218591352291525,-0.004282853546528226,0.1216775302412596,0.02505210697194678,0.00510947901902699,0.040217989207685816
HEBP1,0.03765016255623273,0.01752335732779461,0.05005067914213575,0.07872618391963816,0.03286268863874907,0.02458876274018906,-0.0785391599264958,0.013921057141920695,-0.01357210549310957,0.06717504857287779,0.004444132097701119,-0.030813320300356786,-0.007584762722518781,-0.06978168819465223,-0.02371547588980406,0.021865464413443027,0.019465470392918877
WNT7B,-0.003988725810115845,-0.015480750617120726,0.03555571092164903,-0.00024301756519390957,0.013093789569378705,,-0.04329193456830183,0.010301519458969172,-0.03447726677583056,0.04076806163776752,0.007447086741394669,0.03625805995799707,-0.023395452114464158,-0.031128476076231155,-0.019101785491193343,0.019351979562955812,-0.04128130623137922
PTMA,0.007453914458974044,-0.026290328777103526,-0.08728229364196265,-0.03059415817969743,-0.03494827314153438,0.014027061462081731,-0.06796884334567777,-0.012204649709163271,-0.04494553916606124,0.0073591096409123605,0.006963159446122419,-0.011104880860231302,0.07842561515322757,0.036166016946631005,0.08217262259802484,-0.009926989751644839,0.05108834979518593
FASLG,,,,,,,,,,,,,,,-0.030898391969103642,,
CEACAM1,-0.023447904930223102,-0.011880544994188062,0.09626175865201157,-0.005024121320454106,-0.01922646273550056,,,-0.06411174670308127,0.15504273408070426,0.017722573166779526,0.054743350938006016,0.03315320096127978,-0.01552790182481724,,-0.04299057427727059,,
PDAP1,0.02325615948412848,0.02904714162033088,-0.002518901643268832,0.026848336596879258,0.014959145281325942,-0.034254374482841694,0.07808258024267879,0.027207717491132676,-0.021605915126824506,-0.01671102811376827,0.016324472219131143,-0.08730021726986996,-0.009242370821272926,-0.06178288242692541,0.04708647779877973,0.039395821445803475,0.10166445609595011
QDPR,-0.049891022838087856,-0.02373757146806882,0.09880483465013117,-0.13827577409341607,-0.013495439166033152,-0.0038116496784287948,0.07919168897345034,0.021466254171241497,0.010030023674675674,0.005546233507739323,0.05350579816264584,0.0004053669066590246,0.02158461661830698,0.05789553740928617,-0.04804011969687882,-0.03527494176048341,-0.027700500254601162
POMC,0.013934991624963273,0.04050232656274664,-0.0037492779695490917,-0.03290144772883521,-0.014184517609863107,0.014378970907358643,0.07783977194746129,-0.06401076033268371,-0.00936735638677242,0.022642167352394937,-0.00438573551507582,-0.007536269139592646,-0.02540160755277147,,-0.003354047856573713,0.058512857511675204,-0.0207426930217861
CCL18,-0.005701025609569039,,,,,0.07144864268751767,,-0.05497247104402603,-0.021922621810681418,-0.0027910141049376216,-0.05433508154952032,,-0.036531967525485924,,,,
CCL17,,,,,-0.015246519102534991,,,,,-0.020186644130082268,-0.032120486629421095,-0.00028721513193313885,,,-0.02800592182438118,,
VEGFD,0.01761955378589828,-0.017016497117963103,0.04905503107098979,-0.015142194870709115,0.05238973393212657,-0.026686281078323944,,-0.0024459309503206544,,,-0.022250841520046298,-0.015882489429902447,,,,,
TNFSF13,-0.022081122951252745,,,,,,,,,0.015767098450579237,0.023698493720227688,0.01896741216582424,0.06879165871756142,,-0.0067313084334932214,-0.03186024076665533,
WNT5A,0.06635912619049124,0.043174830064425,0.027177728916324494,0.10473675230056632,0.007251526762458902,0.023056968740482266,0.10100328535318613,-0.015607030699699334,0.0332251127373259,0.09083466789016338,0.002922861273226417,0.06070559171719632,0.039243607505881455,0.027066645502428373,0.049166120080472775,0.055636204426839884,0.056844839738044564
CXCL8,0.03671288223539544,-0.015933239301310385,-0.07163530539524872,-0.01595319308108283,-0.03889731463391952,0.04007689219276932,,-0.11321927254146187,-0.03859822726616326,0.0007444297616310327,-0.057871942598926564,-0.05947033750907531,-0.03096555600073475,0.027306191493290135,0.08144783488427448,0.0660963651088953,0.04084656547912266
