,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03683685937387761,,,,,,,,,,0.009305666429436022,,,-0.02830177543345587,,
BMP1,0.10126026908682781,0.14834340327159856,0.15961600370567133,0.014733092418778997,-0.015357322710473041,-0.0066335652969140525,0.06980303439018554,-0.28689378086992456,-0.059209631783242844,-0.004116905290647164,-0.07147793251431833,0.18522564343761774,-0.14028135694383284,0.1032527712525958,0.07863529664714279,-0.0022213256245857986,0.22720105962633394,0.01941920181911408,0.08798179589087317,0.019844620589822903,0.12138494240935248,0.014855453448265273,-0.06935872385330252
NDP,0.032734727158302036,0.17499738751363894,0.07483230503593853,0.004304460790723205,0.004789360193629202,0.1380543595224882,0.0070228989819694975,0.05015379170828642,0.017327493789548027,0.013364958188383005,-0.10717836880585752,0.11635404064084748,-0.023771544719423856,0.05666385999108056,0.021783459869903817,0.01465497119812872,0.1072514876721006,-0.07635248721550102,0.02864053396583423,0.07327427785604984,-0.008423022719515807,-0.05650576311070594,-0.0009523607728860895
TNFSF18,-0.10002330864331052,0.07324836623424891,0.03827163063169006,0.047346223998753593,,,0.038263016821951226,-0.05470163029738559,-0.015158439560425062,,,,,0.04974830158929745,,0.04493062882812271,,0.11610631008280806,,-0.016182788644645056,0.1207131905838515,-0.03185450212575549,
IL36G,,,,,,,,,,,,,-0.037345770687234894,,,,,,,,,,
RTN4,-0.22355505001287285,-0.12332104257677297,0.1045688221072092,0.05025677498728865,0.0008524338643622612,0.11815822820384815,-0.036408067016838117,0.337754103418649,0.09301291818789252,0.10129819602808705,0.2855331565063955,-0.04991379969059164,0.2157063305195028,0.007948413838640393,0.08989895807356725,0.03390590275636016,-0.19082964671904518,0.02579678965424593,-0.062486771951190824,0.0027737960616362233,-0.043912411001401336,0.1417417231599674,0.0003659911307028573
HEBP1,-0.059578553819218276,0.06900385471451233,0.021979398172668706,0.02270269893776656,-0.021477611597211486,-0.06654530180921922,-0.04905698148602445,-0.09777642763860105,-0.004234335238250829,0.005712426601745768,-0.11629752311812358,0.020455187475630503,-0.024551831873975027,-0.013376575799339185,0.04603526691372052,-0.02847885995245816,0.10100914883243356,0.03262818775213345,-0.011889794431395496,0.06888430058395584,0.01642013031115946,0.030016943872126445,-0.1423106760594177
WNT7B,0.000494298369614487,-0.0068703728985904464,-0.021948308296063288,-0.019386252000758736,0.0006126472141321412,-0.0114724073588415,0.021658447081506348,0.20868498303804645,0.024095844563879695,-0.0022253071235643594,,0.0735246775510687,0.06293804600474878,0.14589934440118824,0.011785371114171396,,-0.060020931117808575,-0.038809173872696716,-0.02982490759520195,-0.0415459791433503,0.019752585154356857,0.05314436496463144,0.019495346458922248
PTMA,-0.1470021682739098,-0.25103412682209575,0.04017679229804389,-0.04915087858359707,-0.035565146709410085,-0.049813953019615595,0.10175966101207753,0.038601336142606996,0.06839367772131508,-0.09886399419582009,-0.32274536651050667,0.18680438678584035,-0.25002719829082204,0.08331764366223485,0.13202803340858832,0.059514492553599,-0.21168139722663548,0.016480371717822823,-0.03063557358859539,0.172121775792624,0.10914839611817011,-0.008835349926787747,-0.09400885232296212
FASLG,-0.04510325259802639,,,,,,,,,,,,,,,,,,,,-0.02454612017814607,,
CEACAM1,0.05773580931893886,,0.03428537571444596,0.029064569335084972,0.008523619390493627,-0.008837943193244654,,-0.07198422989945741,0.03865193861377636,,,,,,0.04834335943467365,0.04157682761729052,0.06284172447555807,-0.0266678975350062,0.05849581553252759,,-0.021913761737646285,,
PDAP1,0.11232482540533856,0.04964161269179598,0.06745726312700727,0.01367221512064633,0.048607712417921126,-0.07406747599779602,0.015476165332784815,-0.20141763708793287,-0.009610011001568436,0.02686639724673938,0.04896420175411796,0.1801448923503097,-0.11296750179828723,0.042833760393578155,0.005949511945645132,-0.002034096720018971,0.061783574716070405,0.015499290189974244,-0.03894142725270595,-0.01135801304357538,-0.021855127700047678,-0.009490172099088067,0.07257170650196967
QDPR,-0.3580318461027673,-0.007944207268643077,-0.08642338375251028,0.058425625987204285,-0.06819960860072918,0.13585012330433674,0.03631676395615476,0.1592262540877712,0.06860869528241176,0.04925726398583241,-0.248542486293923,0.13556337567403265,0.059621276517170314,-0.11796169703146382,0.10905093801126098,0.06817421634005714,-0.18001027223651916,0.047574113764292346,0.020707253599904774,0.015325717592637575,-0.04663439867708815,0.10382629080274335,-0.1526920093548266
POMC,0.02193687831567991,0.06568736238988615,0.12104317194831372,-0.02643544569548082,0.02391328196931881,0.10933740446735006,-0.009812055901955432,-0.005164107741121382,0.016412358035637252,0.07781139368786856,-0.05985390756602687,0.040495373825243756,0.029689631920551823,0.0259018073509276,-0.06799727598583584,-0.029889089080788602,-0.1041131316851734,-0.03978372946953414,0.027027622443696796,,0.035438651958338174,0.09785704055171396,-0.054321521598542734
CCL18,,0.028314523230651045,-0.07622212335267115,,,,,,,,-0.07444732338279814,0.16468443688294282,,,0.23590658042810844,,-0.09372143484366176,,-0.02136389850236922,,,,
CCL17,,,,,-0.0185943120529875,,,,0.022946664319110053,0.006125116049558998,,,-0.024084975465294308,,,,,-0.02372723247833253,,,-0.022248300930624992,,
VEGFD,,0.0029774910106599973,0.028742429334781727,-0.02130943837659812,-0.030726361678290997,0.02533932973082857,,-0.0617116207090816,0.03253468632990451,-0.02243336853103096,0.009069219579765933,0.06457802630199116,-0.026903923700627805,,-0.02065156108836432,-0.0173980983649177,,-0.004363536319698742,,,,,
TNFSF13,,,0.07294002421595559,,0.02299842539079796,,0.05850559171062962,,,,,,,,,,,-0.02544438835350749,-0.02222871087635768,,0.03311133344853603,-0.03220812157227163,
WNT5A,0.1365758391479163,0.02275879068892664,0.016137185072615058,-0.0398244577544038,-0.03533762316076964,-0.029766740441741442,0.04815006409325486,-0.23629737112571325,0.057596102474490284,0.009647699639758185,0.046099904118009016,0.035818098098881375,0.032029533767760195,0.05856852641861755,-0.007291848499641969,0.0036803192117225445,0.18145167637984752,-0.0082824817245432,0.0034661882690842677,0.03425965741655021,0.015362875517403864,-0.009344288384136791,-0.0017639081865764123
CXCL8,,-0.09470859855901807,-0.045923701749027046,-0.019952895045152918,-0.0228518967755486,-0.12127046621543194,-0.011970750218032662,-0.07867729181311053,-0.08004546410180338,-0.020890928211388375,-0.11430906768481071,-0.04451860666355688,-0.017320292972425794,,-0.14157515581571486,-0.024746863100476607,-0.014621663310799275,-0.0336874979475375,-0.04455682113641179,0.05335418809397273,0.016981317266849583,-0.033414456417098934,0.05983185510622447
GRN,-0.1929579733300768,0.0548313547099094,0.16075097129303592,-0.05968760090909347,-0.013980325935508804,-0.02450763053182744,0.026430288011435626,-0.280518299954036,-0.019270900472803675,0.00592099312918162,-0.2307473591543603,0.0009763607728888918,0.04561873574180727,-0.06566378605041594,0.15941024887489422,0.08424292316772221,-0.006745112414840751,0.061505064264184485,0.05851984162010666,0.13565230308569332,0.10510239587651186,0.04476898837719505,0.06495781139332492
MIA,0.007426670489701942,0.0301820171530503,0.051463881442562254,-0.018951124262953974,0.01497487346681464,-0.02695665877245792,0.038210905266005235,-0.10522788859853055,-0.00019586738186957441,-0.02551323228062547,,-0.043121308659482396,-0.03518578311552542,0.04278780475934377,-0.034344702679138625,-0.020178509653147235,0.040994028482445974,0.009086867909423018,-0.051005941684987524,,0.0016886918321836499,0.013985885250725768,
COL4A4,0.0006979844318074795,0.06291356451871746,-0.00781349113950425,-0.03187014648360175,-0.0038293076009409117,-0.016114726783085835,-0.007224746030752351,-0.001908458465802093,0.07918854522517892,-0.02912390288325582,,,-0.020830488229434157,,,0.025876749592357324,0.08636493862697417,-0.021462103121444056,0.03496637937959058,,-0.001460206811103375,-0.03238571913348281,
TAC1,0.027714236619050564,-0.06665767735230069,-0.053102386775818106,0.0987717015850295,-0.01997759010552233,0.0919315505188156,0.0035015027733731143,0.3623243014429176,0.10802163081994805,0.06710548978191623,0.2425061804345543,,0.23926164939106465,,,,,,0.03529719815888729,0.0030454449360182057,0.043725532690605966,0.1346905924121672,-0.03214601153692853
RARRES2,0.30617158620843343,-0.026804748295376733,-0.01867957586844866,-0.0750953294040752,0.07027728220789817,-0.1660150146676254,0.00839252443931019,-0.2922581092030776,0.06935480712597454,-0.0076322617331295245,-0.07588726541493791,-0.0934518335025557,-0.08647124446437862,0.0051697317186127365,-0.1315693402202582,-0.1129535046545549,0.14731480732160473,0.0044584999483925965,-0.011644168773529043,0.019106779656247325,-0.008021675491708532,-0.021004955522720872,-0.03122447567897549
FGF7,0.013633083873225394,0.12330484808574306,,-0.024051641492176104,-0.0018288636394116567,0.056542012402279525,0.03667263938160983,-0.05027102084160144,0.01838674775906974,-0.0031778583646955997,0.03326063193881141,0.03516036492579933,-0.0010503577774030547,0.04400182190303432,0.07799488333627541,-0.03585647459851738,0.1289576498987853,-0.00510468811012834,-0.017898792257124766,0.03239981205187973,0.005647872620595624,0.11979462510448728,-0.03392634206936506
HBEGF,0.04122798046013887,0.11236967353588417,0.1660369499701,-0.06273758928841049,0.029810487567036983,-0.06001384938429541,0.056257165592856324,-0.14301873125372727,-0.09129416645911295,0.00781209942258708,-0.13414266059645683,0.13719233454419233,-0.06541317533641908,0.06800185332394926,0.1507976444424773,0.03263659993181389,0.07629633943301356,0.061669550361891416,-0.0011937775591236187,0.010274925054662204,0.027150387926107338,0.00010365037875160016,-0.0062091903487933395
CSF3,,-0.06243851488004537,,,0.0010484305543263747,-0.036746735853573485,,-0.03840469146292604,,,,-0.025112518438759276,,,,,,,-0.000644692995257073,-0.03734039130014406,0.04899736720106255,-0.01298118711828768,
PI3,,-0.05414330163928841,-0.0006757156280911811,,0.005751069057969576,-0.03450691889533543,,-0.04324418947431628,,,,,,,-0.06630797357308191,,,-0.020160153814533784,-0.09907566326832268,,-0.05089263243889955,0.023269477183035563,
PCSK1N,0.28099084465040003,0.06267766084757165,-0.05540952691012609,0.10983302521373114,-0.03787837338072993,0.045555690771346094,0.08299701960604094,0.17205823598690062,0.004253964996475546,0.049512696330999854,0.32021965310239897,0.050838211437428865,0.2222734848098666,-0.014465020700149342,0.05538494378375369,0.015485834753759758,0.11314288625478978,0.022684217687612283,-0.029934210036646248,-0.014987814861529263,-0.06804194833587161,0.13814469139125968,0.046177627349705416
