,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.024714121660299793,,-0.032195173762863724,
BMP1,0.01791384000819498,-0.010429358868405077,0.0383307272707253,0.06858668609398269,-0.022880301411740266,-0.08744361763475475,0.009642742695090356,0.020071202571139913,0.07516506259945144,-0.03824414980031604,-0.06923013320701746,0.09150862919961449,0.07209359050148159,-0.01761349394651514,0.07682733869827625,0.06563442682353139,0.0693066949338805,0.10334120775506596
NDP,0.10336563251472618,0.03515953638814727,0.05097390777142682,0.05628895314140969,-0.01300159982521221,-0.012518915263304788,-0.031179495312233397,0.044042668210451524,0.0964418521968119,-0.011451199346512427,0.09782483542833047,0.004329599899411392,0.04255149159298358,0.07370337279996429,0.04517560124602958,0.023679734149154832,-0.03818562441882844,0.050930586504554516
TNFSF18,-0.023591423468292304,-0.03292741960156344,-0.04181474203200272,-0.02422803698056258,,,-0.01720122578101328,,,,-0.04782914540403563,,,,-0.02548723743840225,,-0.02130374821258356,0.03225374901585554
IL36G,,,,,,,,,0.04497025843257025,,,,,,,,,
RTN4,0.05002616131172543,-0.0660667782852291,0.04267578161611305,0.008862714697089207,0.008487717366367949,0.0018915902783469953,-0.013205725960341244,-0.013815620522157582,-0.06206932515323669,-0.09015057107014646,0.05485239148627768,-0.07127555334722388,-0.04641426016167152,0.0023747145990581356,-0.16109495549947728,0.011669573035010743,-0.013803282748516001,-0.05117052314219499
HEBP1,-0.03188721463385378,-0.01111602542883206,0.006790096380168565,0.04438813447170184,0.0036004388226327437,-0.0019462632278521709,-0.010151872197777996,-0.04236017047966553,-0.018254366956733676,-0.0683361574728093,-0.0480125461299121,-0.003704604876389137,0.003316941883506562,-0.006316290919244087,0.06280855581470482,-0.0487451514009551,0.0319180250038883,-0.01760429432273989
WNT7B,0.025272896710605487,-0.017313911552953594,0.01597467529347007,0.018173915781046424,-0.01564437549274432,0.020076553592475302,0.02519579041000415,-0.012332311412791164,-0.026874995799394202,-0.04055629688457678,,0.1336003700928566,-0.04750363670086381,0.012300926779458257,-0.020522018095202852,-0.0031278057021590306,0.08616957735174822,0.09567563108709554
PTMA,0.05467776747611687,0.020746301798580488,-0.040531863055649285,0.03092546878555853,-0.00988983340123081,-0.03536928295028994,0.04480575843017855,0.006849509832981441,0.07400686456349644,0.12388016405986792,-0.03248415994642498,-0.11568149380790321,-0.08889357536998745,-0.024778978561242695,-0.09783434921251434,0.02587750835568147,0.00531249931555104,0.02434645369877959
FASLG,0.06874390854391489,,,,,,,,,,,,,,,,0.046029987664036,
CEACAM1,0.003204209738188017,,0.03538809502925033,-0.01119921116303497,-0.03995195758599139,-0.022083522878421212,0.06640477099357159,,,-0.055279600474628814,-0.03363200651242086,-0.0070211352611275705,-0.007446634844959535,0.03178665597023515,-0.023192863039667316,-0.02639999243498656,-0.004455137534145788,
PDAP1,-0.05041325655901094,-0.056185388499315085,-0.021030025170262298,0.019168675114819213,-0.0009693832354102288,0.012221264276666997,-0.008486340843002397,0.0414339992045005,0.014058389253275603,0.09182864146651983,0.02651634191157811,-0.0020016939302355515,0.02184906139836717,-0.049889827793230396,-0.008447996212130115,0.014617024270743295,0.025769957387288673,0.05504079840963092
QDPR,0.018692104037639136,0.08930058986028017,-0.039778565801825816,-0.03651663713276349,-0.0038357647420795855,-0.020003556396294964,0.00409598612413098,-0.025353622899205015,-0.01934167443772087,-0.14614130442591103,-0.04792141340874399,-0.12034875846269606,-0.04445714471392052,-0.04267163016186101,-0.08682099113140092,-0.018350288960044737,0.010717781654921843,-0.05162155598855091
POMC,0.06246344596975327,-0.062172463355702326,0.013646966908692356,0.029682494931682613,0.03380193746534306,0.033351405666754944,-0.019958942155394458,-0.015925413464531274,-0.00042285423251910885,0.043602193609218555,-0.08798348656972746,0.0697230955857961,0.0629412971089608,-0.03909269258695468,-0.01590691623477446,0.06484885131255311,0.012135224466279453,0.10252993361225048
CCL18,,-0.044158377117306157,-0.005501210674681088,,,,,,,-0.047399367396596136,,-0.02137971305012635,0.037677249791501236,-0.04074960117570258,,-0.06871503013476743,,
CCL17,,,,,-0.013301851953017484,,-0.021453277524715857,-0.015263944437359594,-0.007052853076503354,,,,-0.024654545439908894,-0.024089354104042053,-0.032584141797395536,,0.007523658211085676,
VEGFD,,0.0421772300591769,-0.022204914417090035,0.012194758771002064,0.03941201080419191,-0.02112826436167396,-0.0110702726389831,-0.011196287838178809,-0.023939385896944845,0.09935209435259676,0.039108089252254404,,,-0.01668743088089936,0.009803155563128718,,,
TNFSF13,,,-0.02972164902627581,,-0.02992941863740722,,,,,,,,0.07736059591234581,0.050943661154924554,-0.005888079745990826,0.12398186397965118,0.0031113275524516245,0.0012756586427619494
WNT5A,0.008871884949203422,-0.030021102938442606,0.019312184320398135,0.021735125951887816,-0.03570601207368639,0.08150817075426418,0.003110689485577248,0.05710499137952501,0.03697561648755956,-0.03342520791185996,0.019874950884876803,0.0992144009558782,0.05442883989380977,0.04286025871165708,0.07162780479447747,0.0405800229962898,0.019729110065504787,0.00019952410810437858
CXCL8,,-0.0054406202539470615,0.033419961589183256,-0.03300256171936958,0.006834163695093923,-0.006348208293049465,0.03655132807023137,-0.010426470065692134,-0.06201867865560352,-0.011661451358877866,-0.07810572111103502,-0.037642350915895455,-0.03900387783969735,-0.09507798167980804,0.13997414892480015,-0.059251561212377776,0.046887959681592685,0.031638289384556983
GRN,-0.03487750278171812,-0.020809782074282763,0.0034246965241593714,0.07871904254783162,0.02219199273347838,-0.010754794228012017,0.04162636464958286,-0.02629111876936202,0.012106396938702642,-0.07170317239062877,-0.0003523691192522119,0.06478679252668515,0.07959877068402965,0.022110233642110545,0.1106337642890309,0.04500175155023049,0.005500896230683122,0.025133457007029597
MIA,0.040571677021099,0.0038596660716437897,0.09042486252774672,0.054563013243871375,0.003720173730626788,-0.034909261508206314,0.03144778933385154,-0.012733419499664875,0.020792266497165077,0.11407887688941523,0.11300483226853729,0.13031661743603398,0.025426717022550956,0.04745376886603418,-0.021893644513193495,0.08993478599437842,0.00851663281724679,-0.04215996196979887
