,UKF243,UKF275,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.058222912044107095,,0.014276771845453345,
BMP1,0.043344424162705515,0.028186881917408594,0.021173226004232455,-0.0725249819091095,0.028352988014261338,-0.023649198202101016,0.1141979625896099,0.02496601479488734,-0.029799139752039357,0.037237863390760614,0.03701706027095541
NDP,-0.02098810767965618,0.01178497670425734,0.05347119939865512,-0.024896205133947167,0.03277961525789246,-0.004241259115394938,0.05442485140337311,0.07840380060034136,-0.048034433792579975,0.07926643254144006,0.04834488881899959
TNFSF18,0.11816429940087116,-0.012622089446573373,0.1266701122368654,-0.04782904440321199,,,,-0.0265134931948117,,-0.03503116543599175,-0.03342609259417285
RTN4,-0.02182328146882234,-0.043185671548982334,8.733308946658056e-05,0.11109075902538207,-0.06101675880608465,-0.06860649364696236,0.04971693446978407,-0.050464816354954416,0.07879064297154063,-0.04195858127037479,-0.09261166763471596
HEBP1,0.0027029386659009236,-0.043210654018956206,-0.03287635777317371,0.02716791886573361,0.03384747140551102,0.0504923601487153,-0.009153229502811304,0.0036834612702778425,0.014381155084761711,0.015966943807884406,0.005108281463003608
WNT7B,0.004403505434646721,0.025244781815131765,0.0349606301445603,,0.09578398087193495,-0.030461421818778683,0.003090564873875936,0.036080927425009235,0.0064177998947937505,0.037381668197365,0.027296580485948487
PTMA,-0.02204309958725445,0.009336413541143843,-0.05141349841114214,-0.07266758082441324,-0.15289947893074968,-0.10022858317930429,-0.07187005194332285,-0.0403116978768204,0.06718571488370552,-0.050335796082266564,-0.013178467491659449
FASLG,,,,,,,,,,0.02854874620419216,
CEACAM1,,-0.01985153968813039,,-0.03363193549170056,0.07588959883536521,-0.02731723200689861,-0.022409296105634954,0.0753961823256262,-0.024522571352893985,-0.02116876375935901,
PDAP1,0.03698745746989003,0.009466561341226377,0.03280415909991038,0.04796478812758298,0.009083713235414336,0.020180497284327328,-0.020987934739946184,-0.046206791226597155,0.008661351148857785,0.06304125143238251,-0.01579397022292127
QDPR,0.03329462115320381,-0.07901038994447514,0.027319138301430908,0.08021752268116365,-0.1180742720089878,0.03820191135332485,-0.030865020905292244,-0.04455382844829365,-0.010727722576314401,0.028797523592906722,0.015645077430016373
POMC,-0.03860156244093644,0.02234958095121727,0.03736547983632113,-0.03854508152702668,-0.043596841141809506,-0.00721430871763952,0.05751163536281868,-0.015535260582500633,0.005984660547457734,0.024927117728956883,-0.040497761333924846
CCL18,-0.027416998773746867,,,,-0.026818233982357238,0.03895321200954619,-0.01459056942114078,,-0.07520365222193638,,
CCL17,,-0.01574220298520926,,,,-0.019380253917699573,0.12523604831437163,-0.03389615778845993,,0.03373098821495947,
VEGFD,-0.030890944047273952,-0.01677198578689285,,-0.025127849960818717,,,0.0335818749045587,-0.006732269168448376,,,
TNFSF13,,,,,,-0.02431940659958229,0.08283615850059768,-0.007828405485566263,0.026215350303761382,-0.006603248740710739,-0.028646431081199977
WNT5A,0.025535497397160663,-0.006742421721547892,0.008207331871182584,0.003992838033369952,0.07431613262526335,0.012029729562025212,0.03879010767385809,-0.011161720639554448,0.04569430958454544,0.006643884926007125,0.009020421167257056
CXCL8,-0.021092228733423635,0.04975548260761714,,-0.07427524021041627,-0.016563039230453384,0.04258345275860586,0.019168936295680998,0.03765065342174421,-0.05806378674065368,-0.0037509159481494015,-0.042335617196223835
GRN,0.035317323220327816,-0.03469351320431718,-0.04620939537415972,0.036866644340540274,0.0836254627118346,-0.032327218723324135,0.029986496103252828,0.01709120916646598,-0.010168850046398623,0.013225711445844668,-0.09982056603554466
MIA,0.067315850119105,0.07223297997445408,0.08092552625005162,-0.04044245650320175,-0.038900049771493535,0.03608538577792645,0.013867821704727832,0.055346773982906335,0.04229130954400936,0.050511774907703304,0.0022787083685825767
COL4A4,0.0058513474937162,-0.016435346959405277,,-0.03580113194644992,-0.03390662719864267,0.06515990300646818,-0.01296596805150878,0.026925427091283375,0.020171324403276805,-0.06469126183446888,0.024992671634034156
TAC1,0.027249415371613676,-0.0203313607303066,,,,,,,-0.025056434601117065,0.009346010701137483,-0.07292945880997394
RARRES2,-0.07388165004267865,-0.07878400098700508,-0.008811796115079222,0.035923176075599215,0.04558701707049502,0.01682840941372674,0.07786283800103379,0.024279186969715535,-0.029657887932564478,0.04320990393887259,0.005464214479729232
FGF7,-0.03820398606390708,-0.022195192466783264,0.02321731113578546,0.054232994409477875,0.08721016609232349,-0.07643693438288601,0.020963323138224448,-0.03479796668450894,0.003579473896230172,0.03047529327405697,0.034077101875908435
EFNA2,,,,,,,-0.021298536249353253,,,,
HBEGF,-0.007372438937637589,0.045140638836462264,0.03814257359416037,-0.0823293683866062,0.07798974978012817,0.025807788101957788,0.00891642854071426,0.023167779957037168,-0.04456208954356065,-0.018170598025657184,0.03146852340274131
CSF3,-0.03109710168121997,,,,,0.03514162556352959,0.1251979848950867,,-0.03515645578490444,0.015515113135045258,0.038877460849465126
