,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.016796814694646143,,,,,,,,,,0.007698381419288357,,,0.07999984354362015,
BMP1,0.05548125613568203,0.19507948395983207,0.10173378636043376,0.01644785259747651,0.09168557560083584,0.030641183059496493,-0.03114582224366462,0.2811514661525376,0.4391345821580915,0.027198179405586997,0.09853687225363246,0.14757428453818044,0.1059534917002334,0.06971630867111422,-0.06642845102693658,0.16020753476207253,0.20273968596833802,-0.012873321927345327,0.13846061993666758,0.10421983903434702,-0.043488157568430504,0.14550771208321014,0.15462002988793522
NDP,0.044499359060203095,0.13689804902950012,0.06824876225137926,-0.009584023688837966,0.035329712253213415,0.05989655855103839,0.0711108820318246,0.03399708195814175,0.13214757071614047,0.04969841172090299,0.0971542954763682,0.09107738165239353,0.0733681101560905,0.018808535380621803,-0.012965590432004395,-0.004553518617989757,0.02817764888209452,0.13958118585007964,-0.003716097354776859,-0.0517922006343518,0.06882882167893732,0.14812558196628917,0.00953243314684674
TNFSF18,0.021279639415214744,0.05225376916143888,0.041583849355845914,0.004396209223461255,,,,0.03354023848816128,0.10207494358036887,-0.001332383038555909,,,0.029929555232323726,,-0.004570312982329248,,,,0.17324813631394131,,0.028395954888801003,0.07226332775397631,0.06912013906025083
IL36G,,,,,,,,,,,,-0.006318285186728586,,,,,,,,,,,
RTN4,-0.025075657354734732,-0.021142520765038062,0.03420230235482911,-0.005859885971363901,0.051787669940725575,0.045419625205485765,0.04242759860514858,-0.36525992068349183,-0.6109028960999823,-0.01264767881534832,-0.10279639420685402,-0.08845750470604317,0.014148051346324386,-0.03341677080304105,-0.056620731374104574,-0.058225646689484344,0.01870207979788455,0.04230046857092141,-0.11573407226329026,-0.048904850894613584,-0.03098411762911746,-0.012116081920893635,-0.12232145830505674
HEBP1,-0.03482903874611774,-0.041832768907898436,-0.0202769693777364,-0.03279416932902198,0.011566670837394965,-0.01925926060685942,0.03368101765873877,0.15142381265552007,0.2063059508710637,-0.022549065992135464,-0.024297575341373334,0.03723089960234391,0.06867840424666535,-0.0179844229095571,-0.06908066878278042,0.00974469235766162,0.04605980316769646,0.10946112053040136,-0.0275292495118424,-0.03568531744175858,0.03679479103252231,0.10051474417611696,0.011617760175860947
WNT7B,0.05541651378062957,0.0811609479865214,0.013356817006061169,-0.006993997876373477,0.11820330368171085,0.0012689117868982705,0.016085458859894066,-0.025878123412308045,-0.25886096578204165,-0.044680049946320445,0.06881113699902441,-0.07779830099245921,-0.007092927111836849,-0.09255544467094268,,-0.04365648197132022,-0.0044665839538118,-0.006402694394485039,0.0171359177555195,0.006791496252004509,0.09098314498400631,0.09262051343192965,0.039586905323405655
PTMA,0.04127282957900053,-0.2189736789886438,0.2365569779312678,0.0633237870698986,0.22729382842916726,-0.05963963991352402,0.015370964826815173,0.45450364728409365,-0.18958407169945304,-0.03415620313852504,0.18736302515936606,0.14916538527415357,-0.031885280164742215,-0.08206341849820252,0.09820634317566292,-0.11734512072673997,-0.08849005651663606,0.04538854419661457,-0.06531022224740096,0.10118532150980317,-0.05969667097395689,-0.03906345446150055,0.0369120127800975
FASLG,-0.04147436953198722,,,,,,,,,,,,,,,,,,,,,0.06234271447695507,
