,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.010700446949040102,,,,,,,,,0.06387633345048777,,
BMP1,-0.026956460550638467,-0.0016261855534210159,0.013302292125351127,-0.007549940640788375,-0.11880136278693013,-0.024157467771217106,-0.1394484240003366,-0.035840102004717427,-0.020086347624738713,-0.11733432085131591,-0.13567777472742515,0.07251747046547509,0.01696213185234822,0.020018757191444757,-0.022088799026029837,0.006975180889471324,0.007965290568363623,0.047419901437362806
NDP,-0.033746129714816546,0.02942899357699362,0.0071170767904824355,-0.012070671537297616,0.22862390194130217,0.06795012686606977,-0.022843062971829007,0.07295327823444686,-0.0014369647605505023,-0.10716311050255375,-0.03964784863561049,-0.02282305517002437,0.03927258778892438,-0.029790151750638746,0.019148580914641042,0.050104079929834226,0.027490311768506782,-0.027087315234209642
TNFSF18,-0.031408125162873154,0.0021685567276450166,0.019035912127689476,,,-0.0016109692266686243,-0.03886239929695175,-0.03149480102109287,,,,0.04839197401285933,,,0.09792126906382116,-0.03340315255830696,0.03814116817024071,
IL36G,,,,,,,,,,,0.02044051405763347,,,,,,,
RTN4,0.2396396152564626,0.05141624654657757,-0.0323391419197235,0.05123904564997034,0.25558305570385403,0.1756151920268776,0.1908108734695036,0.07313795859316653,0.08179900425972882,0.27113514132671684,0.252930295269981,-0.016313370279609444,-0.025988733938254037,-0.03578705504911914,0.08024499382304844,0.01342696758676605,0.149823887508982,0.10448140034955705
HEBP1,-0.014256372113936282,0.007317800487782679,0.08872588442245831,-0.06387518043798913,-0.04217813488448593,-0.06977862078983282,-0.07494475088631909,-0.006460601867684565,0.02526155959888969,-0.1437973936796429,-0.007296695669624821,0.01727320541637651,0.009764723509998815,0.010466694959309655,-0.0052959518967443985,0.01306245042395477,-0.023006878135280982,-0.08753212076346563
WNT7B,0.3419497764063005,-0.0016611854051173302,-0.01823865907131911,-0.03718954801846027,0.07272311610042008,0.04451799705629437,0.0896575242265575,-0.007546307084805229,0.1797588992306074,,0.09466248813126274,,0.07264145943871538,-0.02724022719817076,-0.03214800540932627,-0.012376912404268754,0.07551608752960544,-0.022372193485817565
PTMA,0.012644470714099043,0.03534593017891756,-0.01405463697974835,-0.03344152956080167,-0.21603964304219336,-0.09541285435434209,-0.008710706988911191,0.040237589157687714,-0.035940884612710854,-0.34132519993227584,-0.2663262121261565,-0.09038557258727638,0.03868662103301721,-0.02325958680768403,-0.09221024028468447,-0.031315769139300585,-0.06024150866865516,-0.1567265239519256
FASLG,,,,,,,,,,,,,,,,0.031415668281466025,,
CEACAM1,,-0.01725680415361152,0.032359169133923775,0.021194255414842083,-0.008019713959364374,,-0.019888374316260168,0.003966931806568167,,,,0.06816615577993067,-0.015399747854784618,-0.018079734965130417,,-0.023895985475353734,,
PDAP1,-0.09197035137291637,0.040142895252353504,-0.02118517701802119,0.04635831796283896,-0.10110681561058445,-0.021505322825324535,-0.07939098978427574,0.019962910231656944,0.02143170494900481,0.004164855397317823,-0.11422908472963376,0.058313485387320674,-0.023930979669099198,0.002464540400368906,-0.06135517396388252,-0.0289468169776164,0.008968745684118276,-0.020431376321618084
QDPR,0.14407100423594246,0.05270550357308685,0.03506021141554635,-0.014049809723070475,0.23987212788292278,0.007748834956614533,0.0700367392188943,0.03144658895513417,0.05914624135466055,-0.2539555878241378,0.0987811979841876,0.03657064796907894,0.012878627658422013,0.005776129743747701,-0.041208885590602644,0.021763533151946967,0.1113390411864609,0.021702777089595927
POMC,0.11511891344912108,0.04851639528871974,0.0023192037984650364,0.05193602368125304,0.12991644884713194,0.10119719551454343,-0.039151898228927146,0.01160588334034711,0.010511462413254537,-0.07260325560649343,0.07209944929550428,-0.047563750059574084,0.009756131015258986,0.04804625486435534,,-0.04171112642976358,-0.030981974189473526,0.019233921752903876
CCL18,-0.026774842136735214,-0.03622944572454427,,,,,,,,-0.12517154293468888,,,-0.03760516449582046,0.022083180912277532,,,,
CCL17,,,,-0.02489044804543001,,,,0.04114562368007201,-0.032873865682459764,,-0.0041927973605431195,,-0.0035819913175014935,,,-0.015566879772832689,,
VEGFD,0.015107067565420391,0.03273893876994123,-0.020048000074323072,-0.0277307077678291,0.05665474822465592,,-0.03495333090289949,0.06520989721864075,0.06981089735611781,0.057116980753915456,-0.019814987790896733,0.02883769480423789,-0.015399747854784618,,,,,
TNFSF13,,0.10880168711999029,,-0.01716887399706112,,0.0554906388832273,,,,,,,0.04278025542674952,-0.02030233061616742,,0.00855481479218192,0.0846908302085301,
WNT5A,-0.06796202100582122,-0.02539535079775162,-0.017579953771836715,-0.043679817632728116,-0.14163605454848258,-0.045891139785467966,-0.14944350323531844,-0.002943989425152217,-0.009331107267539444,-0.0015186299641348525,-0.06067097613731024,-0.14072191370453035,-0.00011543552181860827,0.001011473767617742,0.043963519325713143,-0.01758574257115811,-0.02977460759250996,-0.030194707299215737
CXCL8,-0.07529713595072904,-0.043251454495096715,-0.01877175898673522,-0.01917423219223055,-0.11123893958741579,-0.0229462434067705,-0.06513420412263854,-0.09324772519746616,-0.027514043792159697,-0.08749619086222056,-0.08358412507428487,0.04345016574981308,-0.0412721445492142,0.021516332506960875,-0.006797747367573191,0.03349586370288179,-0.1580201436459104,-0.031250656609259624
GRN,-0.05819158115902556,-0.03683610145707556,-0.016921084976127126,-0.01861722869461,-0.10857301978257156,-0.10683704399295241,-0.17540889179788266,0.03538130468305459,-0.06194222461489465,-0.18427264878564237,0.06531816199022845,0.03381347020818489,-0.02470910315368563,0.012546552114024055,0.0760576972785252,-0.04520897711667926,0.08334050819200935,-0.04182561325873995
MIA,-0.04056053121407731,0.0240530750623976,-0.017829289252852664,-0.052410933201487354,-0.05985021929968072,0.0003215652537541324,-0.07475843410258835,-0.03149687500378692,0.020354505571679945,,-0.026720395014039278,-0.03769758583104947,0.10374871511384497,0.0535624251888895,,0.03038500852911678,0.014168028741723133,
COL4A4,-0.0477746774850555,0.06403729126993286,-0.0070476487312110285,-0.030994756181485804,-0.10538686847824806,-0.03649193597837679,0.03610994611487479,-0.019053856949542872,-0.002984809244376058,,-0.009526630021426214,0.03671060847387867,-0.0246574042033402,0.005968794022667326,,0.0028295201453061693,0.0048416085081553805,
TAC1,0.43071685285918554,0.1357462985227144,0.0864127170902497,0.030744482676444376,0.35536323025794425,0.1321084441153377,0.21841599203179715,0.1551694140628331,0.05533608023809219,0.21519102561590323,0.26661600655481704,,,0.007065348497239686,0.023978664259929883,-0.020464246368348555,0.1315483056333131,0.1398212014613892
RARRES2,0.016319047624170392,0.004464339511544027,-0.05081314025772299,0.0006483411663843017,-0.23067735851691748,-0.05079591250512348,-0.17119477892421384,0.10346935822914535,0.0036678657841310238,-0.10647140072447613,-0.11554717933865316,0.01610745062094445,0.019296259616993855,-0.003746312585627156,0.05197732355517377,0.027619765085300556,-0.13442389914961256,-0.05253051803678394
FGF7,-0.012776255620085988,,-0.022627875118110728,-0.037543994106730594,0.21326925924293477,-0.0008752796253670779,-0.030895853986821948,-0.049528915588131044,0.030433877938981915,-0.010706527896779984,-0.028412093333833526,0.018979981169499255,0.013972978823247781,-0.010886305729953102,0.09133173709415376,0.05032137036602337,0.03790525832360623,-0.03481285935542844
EFNA2,,,,,,,,,,,,,0.09698482189877512,,,,,
HBEGF,-0.023981939120340343,-0.041483386053807074,-0.044929659096238826,-0.015062628975330667,-0.1154843570238811,-0.05984774572880356,-0.04231238701095699,-0.13055226796018896,-0.0429433436658271,-0.1465665931561254,-0.06572831742143663,0.04823346247867078,0.052065485765876565,0.01059834838367358,-0.01847441015908273,-0.025225552166842063,-0.0796782682491669,-0.04112507873026249
CSF3,0.0008030007658736971,,,0.08690073109638674,0.020676832072553535,,-0.027284350510112642,,,,,,-0.04216177811178433,-0.025919769740190276,-0.028893749196798633,0.05911135358774297,-0.04394850029004482,
PI3,-0.05659618488052854,-0.0011625276103941636,,-0.045623784706397136,-0.04286418938008759,,-0.030722538788834575,,,,,,-0.04136341676486292,0.09243108052605663,,0.0227832153575216,-0.07233931860734541,
