,UKF243,UKF259,UKF275,ZH1007nec,ZH8811Abulk
BMP1,-0.08706904223103194,-0.018049281671481038,0.05797113688209868,-0.04526118207978879,0.018715413787051622
NDP,-0.10729505854332486,-0.021013200739938145,-0.073231259487754,-0.15939665250019677,0.008850575875252419
TNFSF18,0.023866555965749346,,-0.002110758900135911,,
RTN4,-0.007233035512532357,-0.03842763421175476,-0.048699330486661106,0.12981995803962712,-0.018425807109498447
HEBP1,0.027810188056298594,-0.026922158716884036,0.0517824998221524,0.12835322348285869,0.013390025690541877
WNT7B,-0.04618030140583714,0.07934055050009901,-0.004467665379273449,0.07882730666503002,-0.0261074891205269
PTMA,0.13132283161068006,0.06354748670556103,0.026487692838820746,-0.10914055784788483,-0.018905071789951582
CEACAM1,,-0.004429076492146364,0.01164176409924881,-0.0722592823345436,-0.025323615365727532
PDAP1,-0.003908482856681861,-0.013575895919391649,-0.03001630564277765,-0.11357353246426198,0.019509973160543738
QDPR,-0.018360554778672423,0.0066235109277250894,-0.06417986996930605,-0.16094298199715057,-0.010507567476594162
POMC,-0.02056398837259447,-0.012514091608058164,-0.020519743853138803,0.0057550795902407675,-0.060803734068777704
CCL18,-0.032961555304660814,,,-0.05073007550855616,-0.04634190548476923
CCL17,,0.09779836222970018,-0.022056066708850523,,0.07804481643801153
VEGFD,0.09546469487836402,0.049615175015088775,0.0005726089928550807,-0.03546559287104123,
TNFSF13,,-0.010504575848460254,,,-0.03447382406083777
WNT5A,-0.0686429586738102,-0.011047310821037477,0.005762370223669066,0.0504921822484718,0.05938249453460348
CXCL8,0.15582421867475882,0.08439793490350493,0.11529406489986559,0.18291151441585296,0.19516955748796685
GRN,0.014368169053757221,0.003286966321083364,-0.055357091133283104,-0.06973485088157497,0.03015765058743591
MIA,-0.060486559971675506,-0.032067019840546836,0.017902355717293508,0.061148607277489636,-0.08005426375742528
COL4A4,0.028983346550668972,-0.0367037806157868,-0.023027216029442375,,-0.04747093486769557
TAC1,-0.04682294675841648,-0.04453963054804466,-0.11865798815844247,,
RARRES2,-0.04058275339282476,-0.010172852848297383,-0.06166733636618451,-0.034621399016011745,0.14994239929840886
FGF7,-0.078871383829538,-0.026994693382150468,0.02668223249949273,-0.0035483132345830453,-0.0351070928867476
HBEGF,0.0353335425685313,0.001812330750142556,0.142036525434509,0.07230019649673787,0.09002384850931153
CSF3,0.02623405449597693,0.01426383547193013,,,0.18361364206524886
PI3,0.09856164977021616,0.04506226417309754,,0.08793088720166202,0.16852122449689605
PCSK1N,-0.1289662626713057,-0.03856221259149251,0.05260296541487999,-0.022627205248428036,-0.07521037951981614
NTS,,,0.01580865468285933,,-0.04191252647168486
SFRP1,-0.013498337494774616,0.00813200242836379,-0.002519933706084176,-0.10967424767085716,0.006137386831350317
CXCL13,,,,,0.004763568350897527
MICA,0.11363653589855682,-0.019507919429213753,0.004731537965169933,-0.08375271971936002,0.03236909194664915
TG,0.0528065660739054,-0.01433967494963653,-0.022220652530553317,-0.07956619392758718,-0.023872162001362076
ADA,-0.030103426368888367,-0.014929368775265274,-0.011142923399833457,-0.10449592548877462,-0.029817704614664885
LAMC3,-0.029946495071906474,0.015579613598491764,0.025301557893153373,-0.09724042544387887,-0.06901442908107723
CCL7,,-0.010367562077668306,,,0.021770604323889955
NGF,0.03222609245701422,0.09091183849629814,,,-0.031098196807312177
TNFSF15,-0.026646521013449505,-0.011544787444449383,,,-0.026250520670025226
HMGB1,-0.019705788625857486,-0.01888119408602429,-0.04212815042002856,-0.2767985438327109,-0.05609012387555408
