,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,0.059798356850341246,,,,,,,,-0.021592588001850297,
BMP1,-0.005112797858335989,-0.055538392752273395,0.03211853368109369,0.07009112637611291,0.036495969868382855,-0.023389983412568077,-0.034573019137914704,-0.006908837776538202,0.04298832535358879,0.018332701577017167,0.010005473072269538,-0.02484571136188905,0.059806831037916765
NDP,0.043925903303641566,0.004809569344910426,-0.02121158139777803,0.06946497290139544,0.057890069894009064,0.02397863771774755,0.030870419814514737,-0.018558433741954504,0.063525691391438,0.010590831384682626,0.006366765477073246,0.1338415965420593,0.10544179764501085
TNFSF18,-0.024830504610871256,,,-0.014759312680337953,0.017126764287444137,,,,0.013925396722016946,,,-0.01885827667537953,-0.03090682490281555
IL36G,,,,,,,,0.010280716759461257,,,,,
RTN4,0.034964087026968196,0.0784928104086761,-0.05970784439970821,-0.02961206132621462,0.025052914538791868,-0.05772062737013299,0.003481874995023816,0.035858328411897164,0.005257827885398878,-0.06455290130224359,-0.033641760886139,-0.10021970186342809,-0.041657593881204866
HEBP1,0.0008683649695713507,0.003912036294635403,0.01508806329945128,0.0071164841410475185,0.04398538016546035,0.05441793916288935,-0.05861699581827575,-0.022691393810679195,-0.039638398952019156,-0.018538756671123945,0.05142247808929068,0.06001659810359878,0.015671466319097015
WNT7B,0.004175542400831794,0.037000979135237054,-0.03947414312572218,0.025299119873172324,-0.01892188188487814,-0.03842790948115191,,-0.015332975749892785,,-0.02901982640694857,0.008634851580524872,-0.0020677409031276046,0.048723444852369874
PTMA,-0.07207936882503335,-0.08069205091473011,-0.021216378384982075,-0.033989928410212075,0.015718283588477912,0.006927135899206988,0.0032323974496328077,-0.008545534056667439,-0.03727416738232219,-0.022111876139561483,-0.06204399078156428,-0.1337653092134927,0.02195215423719765
FASLG,,,,,,,,,,,,-0.001458992726881798,
