,UKF248,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,,-0.016603067037719556,-0.015954309005364174
BMP1,0.034037761510290726,-0.041679079259601966,0.03746429279854862,0.07378676481001198
NDP,-0.05457031615088904,0.015600829449105931,-0.024802377443943528,0.03359578753371936
TNFSF18,0.036916746751370695,-0.038135822704299584,-0.017122449974656923,0.005289989307320691
RTN4,-0.023184151133966345,-0.05352413742128244,0.009355684921387932,0.011091610916769351
HEBP1,-0.01989177219937925,-0.028808928137169856,0.06871186106134697,0.028866802685050204
WNT7B,-0.035118776738619316,,-0.03580442806716798,-0.03405312771661949
PTMA,-0.051653123937046,0.05193928084357574,-0.03283859384154354,0.01361725925367018
FASLG,,,,0.016484146049931724
CEACAM1,0.07453091096895005,0.13333455152454077,0.055221578642492546,-0.01925238523313585
PDAP1,0.007655089141371853,0.062089595869510336,-0.06722483753803121,0.0034290412518413332
QDPR,0.003236061131302888,0.022771355085064185,-0.009362102210087304,0.00979189859567324
POMC,-0.03579796805413777,0.06236869830000765,0.07961372126226257,0.002117414806148519
CCL18,-0.018848260089212157,,,
CCL17,,,0.022996769014147805,-0.012541837480341402
VEGFD,-0.018848266074417534,0.03768352313576734,-0.02308738858681893,
TNFSF13,-0.014223506417065932,,-0.023474392304886797,-0.020435877349576446
WNT5A,-0.050470142562790414,0.04797993904763433,-0.011766078516077893,0.027078546182386854
CXCL8,-0.0018106167424686032,0.004318583033736387,-0.015289746064148981,-0.004877345010507873
GRN,0.03777641738782157,-0.06375012189403574,0.01253852154068991,-0.016949031274403472
MIA,-0.028347688339422444,0.04700514351100935,0.00976102022045308,0.0873033356164351
COL4A4,-0.02263660722944097,0.1348066594297584,0.03260480906145078,-0.011388572276348203
TAC1,-0.02774091320725855,,,-0.016487520675621585
RARRES2,-0.01320917075381843,-0.04576935963991567,-0.03185150772645484,0.012231336533234497
FGF7,,0.031636921305475435,0.04739963315927362,0.011683194738658698
HBEGF,0.04730353972346411,0.07213795405742565,0.024423410769574334,-0.04481209483093193
CSF3,,,,-0.013204620060005246
PI3,-0.019829164289560212,,0.08706860466444119,-0.028689252585433204
PCSK1N,0.005776101780245799,0.023207890758854585,-0.013673588632382862,0.013743194959252088
NTS,,,,-0.019554241710799947
SFRP1,0.0027947671318419008,0.044541511480633476,-0.05770885021695528,0.11370696280869695
MICA,0.04002701609787583,0.05747335529575874,-0.008823277723194817,0.011249783373104082
TG,-0.017445892515604692,-8.146272050149674e-05,,0.006844740531735103
ADA,0.07095086144283515,-0.027479624982556784,-0.012722314363763762,0.03783002705902368
LAMC3,0.044406211075156625,-0.0038481572133452742,0.0395060919063018,0.019884496083003043
CCL7,-0.011989085675629634,,,-0.013837161837129847
NGF,0.04464848158599358,-0.04756096483320664,,0.0836774336096507
TNFSF15,,0.03857026282039047,,-0.03656017724517475
HMGB1,-0.05864576773691726,-0.012147575908282358,-0.048495751024407695,0.03481120115535937
ITGB3BP,0.005454021063276081,0.07381385434012379,0.03230031673446798,0.033166646558963
AANAT,0.0823973508134598,,0.23580474978628282,-0.014640294263472037
RELN,-0.03755223892104388,0.008225806490907189,-0.03386202875625957,
IL15,-0.019515050715421294,-0.04516771533644521,0.027761188803082797,0.010489584820242067
BSG,0.012535104517150047,-0.06857357366220714,0.03997386059466214,0.009112947718698384
ADAMTS3,0.014391323479750312,,-0.018470860854505715,0.05597825256485014
CD34,0.04928620398098178,0.07807650812635179,-0.005078083940133748,0.014362874401925024
PLAT,-0.00778578812471845,-0.07168579781287465,0.03619531085968425,0.04669491135433904
LTA,,,,-0.019703629733335393
CKLF,0.03555587197704684,0.03952649573842271,0.024871901029356595,0.010487818951030556
CD24,-0.023305798107211423,-0.08555017673684698,0.0019686467414639394,-0.034663177511114744
HSP90AA1,-0.03089252992101632,-0.012125130181301394,-0.06636969311884204,0.005123981797300356
BMP4,-0.005257713139734877,0.00472059860902135,-0.00522509469794984,0.0038045885606196256
SCGB3A1,-0.011989084476737084,-0.021911839132622273,,-0.029012828902753654
IGFBP4,0.05621904368975967,-0.004361299993287911,0.015747413204289705,0.0419788683653713
RSPO4,,-0.0521291605092712,,-0.009383294762446813
LEFTY2,-0.029977919451588085,,-0.03217718411495244,0.04767006848305163
PF4,-0.01243675061505045,,,-0.019703625173769324
ANGPTL2,0.05883947701083166,0.014542559649593969,0.06626282233182537,0.002570221655189938
LRIG2,0.025205109700123927,0.006339824232053778,-0.009074561598928414,0.0007049475285591881
ICOSLG,0.03184212419210092,0.06097528435468948,0.061375426474451406,0.04451241913150846
WIF1,-0.022377914081612108,,,
NPPC,0.024447923206108585,-0.0637365333198713,0.1099498265609445,
LYZ,0.0909564389452006,-0.059362694177899585,0.04432652628151079,0.03673879212666504
EREG,,,,-0.029757038089862187
SPTAN1,0.014603942259625455,-0.007911413711213785,-0.004958852571802044,0.04134516109851894
LIPC,0.07700638640954628,-0.04746179843965242,0.03574494506025462,0.009172540972160604
COL8A1,0.0583751135907837,-0.03860298976333207,0.031000844446682448,-0.03253533742074005
GSTM2,-0.0031163211068559633,-0.003239555161149979,0.13673850484009828,0.0017328561498440576
SPX,0.1875546823208324,,0.008569231547697143,0.057836548266065435
MFGE8,0.07392223758848034,-0.0064203927150718616,0.03163317227903876,0.03489735645207916
TGFA,-0.012742358998195884,-0.022159536048111106,-0.01717440219312628,0.0256815269507532
SLIT2,-0.015282763654580749,-0.04341088442814396,0.058994438964967526,-0.026566246445750022
PLTP,-0.06688028095635278,-0.015560192236897486,0.03669614327886748,0.03931650760865162
APOD,-0.016903095411777223,0.0733391691713483,0.033535350492770795,-0.007431286643125957
B2M,0.06679461885446421,-0.0452167124580772,0.032203441892183986,0.02070555694541936
OMG,-0.034061700074956354,0.07150201389887927,-0.026837575820526996,0.04469159640622946
CXCL3,0.013617764131719655,,0.032466850415562486,0.010205357971111596
CXCL10,0.03613374408557298,-0.0533534739822574,-0.025688606433703513,0.06154353861177959
RSPO3,-0.016285647927923627,,,-0.014042013539714663
CORT,-0.03555192223172058,,,
NCAN,-0.03988309443961451,0.03486281089204411,0.03249353759841387,0.03517225553233286
PRG4,-0.018030153053407,,,-0.03180894503993713
ZG16B,-0.016625241632541695,,,0.006648194978048149
TGM2,0.07232600911379466,0.05045750043818694,0.021221251578153726,0.03383216743034071
VEGFC,0.0695528721362572,0.003074823551599102,-0.025150950526995706,0.05616481031037246
WNT6,-0.019344124694952444,,,0.10070831989780248
NRG4,-0.011042368814504233,-0.01888547783038328,-0.0201958499930328,-0.014042015113489362
PMCH,0.06704529856845116,,,-0.030279919008044075
COL9A1,0.08506566415866545,-0.0044405685732641885,0.09567011941357015,0.04871984034100918
GDF11,-0.029503832433700874,-0.04410684302798741,-0.010643073543962404,0.07650784534732205
RAET1E,,,,-0.015403990808289166
SORBS1,-0.020511369730443697,0.031957509358120084,0.03576566310584638,0.008471829364371897
DLL1,0.06035756082113535,0.04635185151725181,-0.006935883385463423,0.06762271723498987
TLN1,0.07078079380069517,3.3216390839670024e-05,-0.007731981693113747,0.020366586026803832
COL2A1,-0.008820564917670743,,,0.0005856985031340023
SHH,,,-0.011551509840571732,-0.011443710810423939
PON2,-0.014735371294905826,0.09410423601115042,0.013945287697509013,0.027167030153551156
ICAM5,0.014615902427775737,,,-0.0012651644498664076
HPX,-0.005668355066493663,0.01424916722679267,0.04716604376311814,0.0375622076852463
SFRP2,-0.015939519762013122,,0.01426445618341018,0.0065620016824548206
CD70,0.022633246909684577,0.03683894228859034,,-0.0013282580550942882
HP,-0.0032606844572788,-0.06531723721947974,-0.025865683928032707,-0.021005318774373165
CXCL2,-0.024112768074905727,0.051257870214771586,0.08130311147725207,0.035905789307716575
NPPB,-0.015467079333873122,,,-0.01424406047031674
CCK,-0.018538179316010955,,0.024046110435436897,-0.01847839169114494
SEMA6A,0.009760894352962787,0.001949252741898927,0.02935636010308542,0.08180774746523348
IRAK4,0.01979344439432674,0.09646617206645434,0.053147902299986734,0.03200526799146303
GSTP1,-0.019907922302641955,-0.03918761882231128,0.03129740537126378,0.03832369598657216
VCAM1,0.03269534656411479,-0.05510649440207667,0.01694450291596786,-0.004522017074493974
NXPH3,-0.029070156983769052,0.003390976848129088,-0.03978303839870472,0.108430634326689
MTMR4,0.008778457842326661,0.08502753573806635,0.015373249368907372,-0.024151893919547657
LAMC2,-0.01214003999033094,-0.0416052689285508,-0.01952626508806009,-0.02713930331253041
IL10,-0.0256505700997373,-0.012128635243099069,0.03333760287821263,0.006386429696267811
SEMA4D,-0.04221522710912548,-0.019419459563867942,-0.00021761302996406963,-0.018300087669636065
TRH,-0.006999236712607422,,0.05220440701025782,-0.01595430295444665
SEMA6D,-0.05095653641592328,0.0260739111921266,0.016831012370030218,0.0017209556678095595
CEL,,-0.04190138395968172,0.015488124976192022,-0.045655394328009635
PDCD1LG2,-0.03386219010982732,-0.03992778881291735,-0.038937902085065035,-0.01049983245947209
SPINT1,0.04121546025912493,-0.08011354355356654,0.012264520627138575,-0.04847019963206124
CTHRC1,0.017787937329836224,-0.02419036038530356,-0.00198944525844469,0.03287185454645642
PODXL,0.06575657693405983,0.005615154000184942,-0.02136888503275927,-0.040738695649550086
JAM3,0.009796429787509137,-0.03891270454403006,0.011303914557470198,0.004446658248498727
TGFB2,0.017956777771167214,0.011940642169996242,0.04606844847382325,-0.03444270494171568
COL18A1,0.05303531990789611,-0.020278851642659367,-0.004750112241727157,0.01464849444598125
NODAL,0.17380793833805108,0.17455473669289218,0.05964902858750024,-0.021834914469292917
INHBB,0.0016921557031181526,0.01585226259066642,0.09578389092741334,0.025844011603802813
LCN1,-0.012140042721889368,,,-0.016133859522207215
ARF4,0.06991412338681018,-0.03143124971316682,-0.06245354559920687,-0.025160450923009718
CXCL14,-0.03607630473371064,-0.05278947234034233,0.01491693200128115,-0.012397539597894873
LIF,-0.026488556074450054,0.01697482913080882,-0.011948855087285474,-0.034271135712657524
IL17B,,0.032863580629977275,,-0.0272523462204193
MMP1,0.023870391384242972,,,0.006271110247960491
