,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.03215461361012142,,,,,,,,0.045264448674455934,,,0.029943016874860617,,
BMP1,-0.0785610483432797,0.04761235676231011,-0.01249121202837674,0.03111940464838548,-0.016507760421775344,-0.03403550402548171,-0.06912752637177053,-0.0018287261232606696,-0.05038125517713745,0.03777346288455219,-0.07971904363676381,-0.020115651886621667,-0.09228489998642656,-0.009914977039746038,-0.08623890517813818,0.04512230526155873,0.03218248107257935,0.021399846977925435,0.059162610921739044,0.034931764958142354,0.07999343610380384
NDP,-0.04501642173400673,0.01327237045884993,0.005075039706291668,0.023972106486945907,0.010697951074170688,0.06076457771699298,-0.0024685937811677328,0.028654608842069447,0.016265026285878982,-0.011695195173067267,-0.0012301589658127079,-0.012820464406553902,0.012087938459043523,-0.011097739121324062,0.10548474624837775,0.06129222114747565,0.020337882288780484,0.11719395484975215,0.04119995374165403,0.0740442419387715,-0.00457153448098379
TNFSF18,-0.02181207989156909,0.05731236516570812,-0.017749803356925612,,,,-0.014902884067327466,-0.039387555691739524,-0.024409390476939196,,,,,,,-0.028312873972663428,,-0.0462009021353967,0.0694174339158752,0.05875831414193098,
IL36G,,,,,,,,,,,,,-0.020126425396215106,,,,,,,,
RTN4,0.14554797247225737,0.06092147372512022,-0.007079344584408689,0.06563859577514242,0.05975862207481101,0.07376345080833488,0.05399922786509452,-0.003400313288654403,0.09366927155635385,-0.07708400633456278,0.2773094517281143,0.057921739650784045,0.17460930075288864,0.07103589457370324,0.037052514244528253,-0.03633933039659518,0.14753538156065452,0.06299305725988912,-0.05873894620512229,-0.030053642502937482,0.021625840855728364
HEBP1,-0.03936916678911317,0.05918333328468534,0.04235176501351578,-0.027834854713882362,0.01467979879933517,-0.053177839139757925,-0.03730422937390671,0.01046156223343436,-0.03029667915005507,0.020858283807718116,-0.04840127841660183,0.0109688088521481,-0.018189128972310602,0.04511271430366698,0.0685782884147308,0.03560836850131089,0.04336262510421258,-0.029267516487014256,0.11096518684745348,0.056863904356849196,0.0501007538778899
WNT7B,0.17187497594207723,-0.021348524820285434,0.02529107908194171,0.06981709687680612,0.006035075846936014,0.0919054770132953,-0.0012070778360952616,0.05640218493872681,-0.011679641891402224,-0.042786437383579755,,-0.013672324951035934,0.05633452256618631,-0.02681036959821968,0.09020525187542841,0.04836294810996357,0.049162515386724975,0.026327626045154442,-0.09425213018640291,0.09006355399145828,0.02563640059848264
PTMA,-0.08398587924272137,0.0921071207457508,-0.08679372628274458,0.044912004661308035,-0.0331648739752632,-0.07807353885068813,-0.07724641469519693,-0.02916387058565279,0.10453991289827204,0.06049460212163199,-0.30368363041326624,0.10202332582144243,-0.17215691921431403,-0.09958901915691654,0.0288575318515182,-0.04037238518640583,-0.09588907328814082,-0.0299751430630343,0.04627057299049866,-0.027392487951407887,-0.13897397879719783
FASLG,,,,,,,,,,,,,,,,,,,0.005327570402950874,,
CEACAM1,,-0.013647611931602062,0.0968233598248373,,0.06001652695537363,-0.02826196557955628,,-0.02853995115814264,0.011367678828597835,,,,,-0.001567393049975595,0.04453216383057027,-0.028620216487084536,-0.030544183542358026,,-0.014913000804432384,,
PDAP1,-0.04148390626730485,0.0081534267181327,-0.0747128708753613,0.01603084154298549,-0.02633299802395242,-0.08116122252853224,-0.11716193535692758,0.005214461673542659,-0.00048330409401336257,0.0076720004980891645,0.04490948961836264,0.024381588634565837,-0.07429845815737852,-0.0507492704496991,-0.04309128109369809,-0.040885543911769816,-0.007166002629877241,-0.028426872851432666,-0.031377692615859834,-0.03698422934689989,0.04575177396113405
QDPR,0.06250214861130651,-0.01271367115068142,0.010589710345860804,0.05625079641308218,0.05627117109889856,0.10821007807549965,0.09759034900364025,-0.0819862651512636,0.1108969902797263,-0.05923289475115476,-0.1832470267164995,0.0722898290480915,-0.03863595803509068,0.1230159409859866,0.06970786827125497,-0.0649224379848397,0.0609895791221646,0.004678609672070061,0.02500197363694717,0.04290926890071395,-0.07135315357500738
POMC,0.12466774759023032,0.01190739054691456,0.03357573286595417,,-0.00012898249673836315,0.05868747728085088,0.045699775270378995,0.08659341597012049,0.0017692195671577772,-0.020627686338072458,-0.09851352875547599,-0.03841215517584414,0.023458790768951986,0.025525083234126403,0.04846358946318858,0.004470692405541051,0.11983580287364883,,0.06682344059199322,0.07765785189912312,0.08541570913086789
CCL18,-0.02925179261599306,-0.032909497458441156,,,,,,,,,-0.03420250800591336,0.018330995274409838,,-0.01373862720163058,0.05477950410081324,,-0.08309046535450815,,,,
CCL17,,,,,-0.002784911354756923,,,,-0.021100230041243454,-0.00038932014317901836,,,-0.00010861961957200679,-0.05271508423488432,0.004928325852744307,-0.036196574950372006,,,-0.036478799908513056,,
VEGFD,-0.03295822042521881,0.012332452424613543,-0.02856401168966708,,0.0033633552340268085,0.0436493441707334,,-0.029653054601158295,-0.02335961923284268,0.019948906332057308,0.035109689628540504,-0.025952804788749773,0.015171918244971536,,0.008259803273903845,0.000756435074285142,,,,,
TNFSF13,,0.06191551914755565,,,-0.012694352547050787,,0.030530401162418817,,,,,,,0.02933081761280766,0.05016301535316003,-0.012593333332550163,-0.010616798693446476,,-0.01763817703859213,0.05214393096372751,
WNT5A,0.003591921135628448,-0.01684402346950701,-0.04754656217164262,0.08662223795637405,0.0332761949954864,-0.020029401176371312,-0.04169640574587003,-0.0012290927533976119,-0.04879399795617738,0.09726292244662323,-0.032086646537859656,-0.03973587044361794,-0.04616116620616677,-0.019058072963197614,0.009280176926148688,0.05371420417884723,0.10053279183086172,0.06158450405625287,0.11216363256557314,0.05543881643275357,-0.042148479996613857
CXCL8,-0.10358498451799139,-0.060202833727088886,0.03462147633757649,-0.08251644875943824,0.015093534943418849,-0.05985845750785534,-0.02122439193144771,-0.027983465626051886,-0.10970819611737458,0.03582306959267827,-0.10504365013304266,-0.02059135435926931,-0.04737405629013651,-0.16798319668984482,-0.1471885572306304,0.01590720561460137,-0.021662287615309334,0.022746103722109876,0.023538776779559473,-0.0009193488064912546,0.001165494352880965
GRN,-0.06983294082844625,0.00393988901271695,-0.040507811377305594,0.06964141822623478,-0.023749765853022027,-0.02708986338739857,0.000402462520031528,0.002259688294020523,0.008891625655580116,0.059999702065608326,-0.11741209250083215,-0.02310726272121444,-0.022294136823255744,-0.010243280654198408,0.018055636221193033,0.05553650779147521,0.06667823947653644,-0.012657279473109902,0.11653914476826126,0.044892606962174175,-0.020029060039113623
MIA,0.05208357840868514,0.0023993085732006802,0.01526430846143863,0.027141414411740918,-0.006229404974257541,-0.08204702975475259,0.03683323053462666,0.05333443306070323,-0.049473822796096294,0.01332065712298447,,0.07728181003835154,-0.026986778695904903,0.13749557904006018,0.1814488599855824,0.05849906965618977,0.05988019009958099,,0.017870039794650266,0.058997203115556736,
COL4A4,-0.03317820075837509,0.06727384105362051,-0.018693050237313553,0.12730119234886833,0.04518601371716438,-0.07092250256967066,-0.004806524449428885,0.012893470503427313,-0.031783707701818695,0.030116940385667097,,,-0.026178176520186298,0.05888671992475447,0.09815205968751492,0.0021279337605778948,-0.01341842563396493,,0.11205667208920399,0.02942552595783157,
TAC1,0.18101876840991818,0.04567398308258418,0.014440561649084532,0.10665779200216624,0.1220492723332443,0.13106118423432794,0.12629316855337885,0.09579541598839433,0.13000006192360108,0.018275205548873782,0.21428970167082362,,0.1581912498942515,,,,0.029538493534401244,0.040064326286515496,0.1336174400268566,-0.0010836174931918169,0.14325272172009057
RARRES2,-0.011442753735206512,-0.006823783106030463,-0.041681904054453336,-0.01536379266076323,0.060188925635416994,-0.03141750954645149,-0.10553083742980537,0.022283472257472875,0.06972437691410978,0.05473271293362334,-0.04918316565481559,-0.014834662599878643,-0.05103008740193488,-0.07890684337999142,-0.05385944908092967,-0.00448258686844593,-0.01846727569145161,-0.018797965877009243,0.028028547222498826,0.0826256145178187,0.06786684781063608
FGF7,0.03022887564554983,,-0.011212379958169047,-0.07228350649632485,0.010170100276235222,0.11695449420070826,0.055623127571012405,-0.002266858998637796,-0.009837180622716152,0.021322370802148015,0.05293276128417249,0.0009345158335880585,0.055629703266486995,0.08444818600236059,0.042060876415301846,-0.036743501469691534,0.08062738305850407,-0.05027783829181912,0.020469688715765242,0.07077862087731583,0.05188276945913398
EFNA2,,,,,,,,,,,,,,,-0.05069961201468114,,,,,,
HBEGF,0.034259327994445005,0.005287296772133423,0.006033961781261312,-0.033560208294425936,0.006835914797279681,-0.017374671826571174,-0.018212937478860193,-0.013683478003521711,-0.1376645558420358,0.006899118269962037,-0.10200523626465716,0.08267953210112168,-0.007562469471785918,0.03259812618250347,0.05910745558450925,0.044622910494021284,0.0004286086201604685,-0.020681905969550638,-0.06258647644650045,0.0621998451359878,0.06017298488261239
