,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,-0.02275818776440915,,,,,,,,,,,
BMP1,0.04721406059649166,0.04458542353971499,-0.014605305589351709,0.14982756974397318,-0.020633845942385175,0.04220072147674261,0.11258913375156922,0.02988653497928813,-0.06438228559339691,0.017841414396794708,0.05560634818216214,0.032477074975950204,0.0994802517474015,0.05314759931594338,0.08296033179837037,0.02118204964448779,-0.08132761548319192,-0.05448001997763015,0.044327177336368616
NDP,0.061564687885530316,0.05000822875747769,-0.04869106917393715,0.05393340378664781,0.0010325125227163717,0.014382276987777895,0.04809378913035647,-0.020659585733092883,0.04279805991264323,0.01293358777884975,0.01052777245724015,0.008316952696495046,0.052929835133722215,0.08222977719463856,0.048513121262727936,0.01838710935401905,0.0886210541071468,0.029384267310639915,-0.0036068944017892102
TNFSF18,0.025334667014656632,-0.013204285959504633,-0.019992742740251607,,,,-0.026317494029574992,0.05067664037453256,-0.022773759772899475,,,0.04067394220576777,,-0.04316197890550037,,,,,-0.025005822653292042
IL36G,,,,,,,,,,,-0.010138221353999013,,,,,,,,
RTN4,-0.06239339739997874,0.029458926240411555,0.033074577860342874,-0.009838718100301836,-0.004759098604429749,-0.01720122625962303,-0.12573922819327454,-0.00967033546699269,0.11778866599831839,-0.0375199508744082,-0.07824813863080941,0.00668347119084564,0.019445702628085964,-0.01785138226953035,0.0039019627258008536,-0.02075227989936018,-0.11333021820156466,0.032311815304031856,0.03297316616490419
HEBP1,-0.020276892038904478,0.05080156468392827,0.018108232887510713,0.03217228038608166,-0.010061044246956027,-0.011141450202771895,0.04561477445964411,0.06094349698049046,0.012255314992906342,0.002788264853732319,-0.005285405016763081,0.009516517095843079,0.19895760532464032,0.09740260229378689,0.039738611293050445,-0.010608243232647478,-0.010442831545921539,0.0560204077090495,-0.013413028866787332
WNT7B,-0.01725825806012254,-0.01211349666203086,-0.023299352770387964,-0.004386466161948039,-0.031140231996061116,-0.01155922595853459,0.04299524527094435,0.08416616832004462,0.010414507081205364,,-0.02648593288949487,-0.03410157049872342,0.025911003728662996,,0.027567167103954963,-0.07142096851308305,-0.0018539202922643642,0.018291982055973734,-0.031727771667707336
PTMA,-0.11087258390380572,0.08166101266361468,0.018709239535647133,0.1235901999383014,-0.012063326313340235,-0.03335873826145352,0.14930936929637856,-0.020697123448890624,0.05033570877300109,-0.022280158305124653,0.0663796196069285,0.0538354595904838,-0.09240340789495366,-0.05288476676093672,-0.0635107378562166,-0.01922736834415621,-0.02406716779873243,0.05523838366071809,0.010977365295624578
CEACAM1,,-0.030696106122074518,-0.017880851889566732,,0.005846928134701909,-0.004797281766391575,,-0.0076862114003015646,-0.035817698638032955,,,,0.09276423198977807,-0.01195348150510305,0.015139180174044956,-0.010335137604840743,-0.03342267780102916,-0.012421104152173436,
PDAP1,-0.020886898817702716,0.09187732241136082,0.007053854525107152,-0.00039612964563066357,-0.028939291915804546,-0.08197570522716553,0.056551899331093614,0.017913611874264945,-0.01708575418057675,-0.007460650371002239,0.041201381307471925,0.0012126210572265428,-0.048809566379937594,-0.0037425793909886098,-0.007143452456782711,-0.0024764580644398137,-0.014962736564359591,0.07030455661904622,-0.005113945014584917
QDPR,0.04098452451326719,0.0254162960378372,0.011462558335898024,0.04031282785139008,0.03361594031973723,-0.0034804861781962287,-0.06493135231176146,-0.04349465676004,0.048405651572786965,0.0517096221369298,-0.023708439638648864,-0.02015632482868056,0.06306463196691701,-0.04886614083853662,-0.081229070507197,0.043499118374240496,0.08158863319519724,0.04821784905236761,-0.006198767924901881
POMC,0.06562158194053445,-0.0001559763420013254,-0.009629408353939037,,0.03809928692444084,-0.003999402268829523,-0.046548461773335305,0.05706588726763595,-0.004784772776460435,0.0016289320840925903,-0.03853256014093701,0.006115029484922872,-0.016588523298448586,0.061266595639944015,0.061524418433006045,0.019216408759623747,-0.029177896933848448,-0.025699309793191186,-0.014404388304263648
CCL18,-0.056584931115420165,-0.00239558609791355,,,,,,,,0.05037619541766976,,,0.04608188128651406,,-0.021652684297425295,0.012067710625405705,0.009319123023270237,-0.03760331487413537,
CCL17,,,,,-0.020841724837200294,,,,0.033181655018167736,,0.008573233377782813,,,,,-0.016008521761906334,-0.04824773366257712,,
