,MGH258,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016020372736849305,,,,,,-0.016113802683363924,,-0.01595429896234192,
BMP1,0.009856910169865505,0.021693968636542497,-0.0007100477620883014,-0.012260864025201622,0.013010128535940657,0.08045498351522254,-0.05581997029672996,0.009694398641938705,-0.04252172219603669,0.03308943628207915,-0.02262116232532844,0.06306228356125071,-0.03467819515757717,-0.042325780941156986,0.015088048919451928
NDP,0.01530058074725832,0.049728658279824284,0.06898097598384859,0.015555387667274365,0.0565211244926619,0.03009935306261114,-0.011050449841173315,0.004153590130222078,0.10259692532888103,0.01650076451942427,0.029343742156362845,-0.011904198346225414,0.04211176753490519,-0.07785530618626994,0.018300640951213604
TNFSF18,0.07164742145631213,-0.03090858542169772,,,-0.013800791004384041,0.04051575291191106,-0.01262208878819351,,-0.02412490948703437,,,0.194245550810251,,-0.026912050013602043,-0.026018903681305838
IL36G,,,,,,,,-0.019562000987350957,,,,,,,
RTN4,-0.01648940319936659,-0.055484775330503916,0.04600251878393811,-0.0027821022581712364,-0.06603228645872637,-0.10005311150782721,0.07314391566027888,0.020978469947433225,0.013272670834979607,-0.050239850125256676,-0.0463147456290757,0.016263722948200717,0.02173408202816669,0.009958643018080042,0.05149806303469235
HEBP1,0.03866299342285651,-0.015645397365638934,0.031012015926133212,-0.009537629642675774,0.05961825073028452,0.0845471004374553,0.002390498651584508,0.01722697652443542,-0.036021155951405655,0.011949436569784878,-0.011528477792643543,0.01710653921978627,0.05263433514506016,-0.032820269362875576,-0.018426442562151937
WNT7B,0.14712022868945437,-0.01919945513624555,-0.015583531162950144,-0.02697617800253322,-0.02706475794810517,-0.011218631592549816,-0.0010510804927893187,0.011136540244113792,0.0014364046220291284,-0.023724080134335093,-0.030376911039050717,-0.003516856567710572,0.06951693677318733,-0.007858883167067806,-0.0565731745955836
PTMA,0.03425777174918988,-0.045070223959030986,0.0318537643452084,-0.04558490663243155,0.09272141172931941,-0.10479726397902485,0.04966331399027617,-0.08029013831221703,-0.012186258723261262,-0.07135598583546784,0.05224520803505418,-0.07368690683641023,-0.005633897581739062,-0.0648601993195037,0.024083140392166656
FASLG,-0.024390715115408357,,,,,,,,,,,,,0.10566505070197675,
CEACAM1,0.023450508126949085,-0.014734427047600411,,-0.02113726061932192,,0.06880151100875707,0.03760050513138718,,,0.02263903610417914,-0.014716199163445786,-0.02387815903509773,-0.013517655523498564,0.06795826714535563,
PDAP1,0.04271679558231391,0.06436918946131447,0.040135941295384885,0.032992881187382674,0.02334376606276472,0.09289055130799044,-0.017342313814052764,-0.024304986972799578,0.04700702445712976,0.016544214640434877,-0.029495888694858256,-0.010551135648462067,-0.040817443676246755,0.06072984642867167,0.014326268903598392
QDPR,0.0029143207442235116,0.04586734903885555,-0.017902665277992415,-0.019659316487381732,-0.04143582006080323,-0.14473720082427266,0.06983789389524551,-0.0035463395032552677,0.06392918889320742,0.01229730252202994,0.016288010996206068,-0.057732555973845405,0.016949137906452853,-6.492706416460571e-05,-0.018527069697933194
POMC,0.06427328714057455,-0.026180726094820982,,-0.029007912583735553,-0.015625134440425275,-0.011391227346555288,0.003907050225726719,0.12913819488437855,0.038970209549576744,0.030033233273801245,-0.021681845626060382,-0.0186449504419309,-0.022113108681089018,-0.005929799538110676,-0.02776182786678866
CCL18,,,,,,,,,,0.010680272586320871,-0.024581699868699253,,-0.02265163254224498,,
CCL17,,,,-0.018054781324662213,,,0.09023148532359836,-0.017870443266964832,,-0.014426161833116838,-0.021243757367086523,-0.02124511802389556,,-0.01254182958542393,
VEGFD,,-0.02110411058692895,,0.008451459496926458,,0.030245063329851156,-0.016771984912050553,-0.019152307556463573,,,0.09451981552644188,0.0007748358055289881,,,
TNFSF13,,,,0.010954590444434375,-0.013383888266844165,,,,,0.003463288699785196,-0.02309123795706602,-0.0011541361871639916,0.13388985344878962,-0.020435864485467387,0.042189587684031596
WNT5A,-0.04722069594222049,0.02419590815481151,-0.05467424146622758,0.01393781663657407,0.06169899468925681,0.09027688723080199,-0.023423491796536917,0.06259432636546407,-0.005518222895750529,0.05174887259933863,-0.021979300137734754,0.00404778811819873,0.007848491292307516,0.005890815144393547,0.003142325456682373
CXCL8,,-0.003708277441676646,-0.11054946166179729,-0.04739851968157087,-0.019037712991894273,-0.02143791729713977,-0.06449738843244125,0.04434092746054128,,-0.012153509622789877,-0.07847096157110206,-0.030163436485006793,-0.016215731926637982,0.08058931389481191,-0.02225189888800137
GRN,-0.05697456339791831,0.017889609070501744,0.01988114419260284,-0.006927502695807605,0.05307296777909704,0.06369246506247318,-0.019155296557029845,0.00827689059824174,-0.005299251472190406,0.04471477255682717,-0.05943552052065412,0.07701176680430076,-0.03532266977872701,-0.102454943939846,0.04349418551629458
MIA,0.0403524190499573,-0.01876852008597428,0.10439381748936653,0.0280614983356319,-0.008280724550186382,-0.010592381056442817,-0.030941506589915825,-0.02622996290210536,0.0067074825159835665,0.10241533679517478,0.09567559659093475,0.014171346693824883,-0.03296603118411246,-0.035585425481975755,-0.005753844824328711
COL4A4,0.07237025814292547,-0.0007706931499120162,0.05217459517844803,0.016433242790339697,-0.012734178380152825,-0.01578688821732109,-0.016435346102122373,-0.025444037123017134,,0.0562368812517306,0.02765256749604153,-0.03272638696614531,0.08504943236516313,0.03545257805985514,-0.031634962302897356
TAC1,0.24588339296761247,-0.02302731419768661,-0.043167587544488524,0.029323795774096263,-0.016790357546782902,-0.06357168837129087,0.0989203671291133,-0.004426914958797612,,,,,0.03997125227806877,-0.016487510296949778,0.06043624443938241
RARRES2,0.006464563023347088,-0.011294243070503437,0.0668004462243483,0.06056829070036146,0.027509927094471504,0.11169191748101699,0.103630792166941,0.006801862276631268,0.059199291198448474,0.0457920794703826,0.0014119440264329576,0.011322735108586135,-0.05399496789058503,0.045120136610966324,-0.036651723264241966
FGF7,0.02725887971471759,0.003637385777967483,-0.006187903993127504,-0.01272678886087705,-0.025366351942718454,-0.01009785211301269,-0.006394108347175713,0.0013197827458088724,-0.031906728121379735,0.00809402585775428,-0.005072093501441773,-4.237339602079033e-05,0.004813836433130442,-0.026265836316033107,-0.03872832548388842
EFNA2,,,,,,,,,,,-0.013986762451522847,,,,
