,UKF259,ZH8811Bbulk,ZH916bulk
BMP1,-0.036422161416924254,0.04207020133704344,0.04541637840188779
NDP,-0.04802551681943525,0.004888473612785338,0.02538336220969967
TNFSF18,,,0.047223230336082264
RTN4,-0.052150640386835936,-0.04877875350738247,-0.10714497156506729
HEBP1,0.008166620266398505,-0.018472643459082304,0.0014150327521463481
WNT7B,0.0395742760282092,0.03592521950892514,-0.0075496797916551886
PTMA,0.1039742283944656,0.015773442252561783,0.01042191910154661
CEACAM1,0.003708401203870951,0.03859772367101313,
PDAP1,-0.04420221234690085,0.03871610814139817,-0.00612668042675882
QDPR,-0.02744235573095788,-0.0562013015396828,-0.062215764017715246
POMC,0.0341429407228873,-0.024493407692694424,-0.03964671558439134
CCL18,,0.0062380588081150335,
CCL17,-0.01285264720821509,-0.022230507854607503,
VEGFD,0.005563489407987392,0.08907038218365047,
TNFSF13,-0.008865468393488375,-0.024163802001075468,0.06743891357286205
WNT5A,-0.08220489523728958,0.0021313945021928125,0.03036111526699323
CXCL8,0.17988240868846422,0.03881052659502463,0.034575244128746574
GRN,-0.09215533116081956,-0.031809371363131715,0.014212591438328868
MIA,0.06998463834346878,-0.02924651171861192,0.09188489802012426
COL4A4,-0.030976615492617477,-0.024657409792196005,0.057424733624132696
TAC1,-0.0244497971656138,,-0.06196376754081257
RARRES2,-0.042302422141017086,0.12714527859817842,-0.019574048904668902
FGF7,-0.010367331104974472,0.13341937482920363,-0.025831885730986503
EFNA2,,-0.014636433054956832,
HBEGF,0.04368838881722362,-0.010691625217687985,0.08066243969119846
CSF3,0.38748667694294825,0.013316558274824388,0.040021197558947376
PI3,0.14920231702104333,0.0617420385585676,0.005573971930693222
PCSK1N,-0.09160693999613505,-0.08244480309605563,-0.018585155067913438
NTS,,-0.017831716217815763,
SFRP1,-0.01121443149012955,-0.04285552825778349,0.002769535187230551
CXCL13,,-0.026947779460749298,0.07633319365852398
MICA,0.09341353874136946,0.03079422751223996,0.05127224002814075
TG,-0.012102148327819817,-0.021961707821728054,-0.03597584996222374
ADA,-0.037865546454170035,0.0036674974613711323,-0.013034597297025163
LAMC3,-0.05627911102897364,-0.02947816198242473,0.06576920323302865
CCL7,-0.00874983390505668,,0.01669319929156455
NGF,-0.005906933371228716,-0.01443969477057573,-0.04561223792268051
TNFSF15,-0.009743368002174953,,0.061330156577549214
HMGB1,-0.07411730857173998,0.00598437229633938,0.003706494237211329
ITGB3BP,-0.001861830938238495,-0.038237519405899624,0.01718067387633108
AANAT,-0.008865469339682944,0.020848100460098443,0.01566679388506003
RELN,-0.015388469395789148,,-0.038285615230026764
IL15,-0.030771780298075424,-0.03570988799047452,0.04641642470542383
BSG,0.0176183065760267,0.016544597530268747,0.09158831472174833
ADAMTS3,0.024594884110231332,0.022309994573301767,0.06738379390796201
CD34,0.03164505163290159,0.09036549533196074,-0.0035416220727126162
PLAT,-0.1069653158905388,-0.06991680590805441,0.07436830567506106
NTF3,,-0.034552066432895365,
LTA,-0.011214430965500819,,
CKLF,-0.039738202601775775,0.027173035804021233,-0.041670422787230744
CD24,0.040913028503487624,-0.031750440442767806,0.007698765840843763
HSP90AA1,0.07487566821146446,0.048685148276759696,-0.028459290740922127
BMP4,0.11295391055461124,0.02043952473180472,-0.036969493877408915
SCGB3A1,,0.0028390416181746547,-0.03916205832343212
IGFBP4,-0.02100059000959349,0.04165343026889174,0.024678618818954785
RSPO4,-0.017165651365514893,,-0.013376035556509213
LEFTY2,-0.025057670678073733,0.07762614138316673,0.008866112938676831
PF4,-0.007634057700155275,-0.013415304222334676,-0.024274523036056518
ANGPTL2,-0.06092931242532567,-0.0691051351170167,0.09368977497129335
LRIG2,-0.021441396377083075,0.0070990072529587365,0.04322994952122562
ICOSLG,-0.026826747021898124,0.03169976114072205,0.04173679521471749
WIF1,,,0.04294514439346638
NPPC,0.15578777988907255,0.03885473590526991,-0.024841992716622407
LYZ,0.006460975981888789,-0.00742872284024996,-0.08477515913920738
EREG,,-0.03319624262415546,-0.02794716692418598
SPTAN1,-0.12576345022926771,-0.06579710977204115,-0.035322449355744065
LIPC,-0.013718970251586918,,0.06628640215804434
COL8A1,-0.015577336664616146,-0.03335767615777404,0.024305222938981817
GSTM2,-0.01669023175741988,0.061841205755090244,-0.058188079972060346
SPX,-0.009826645699075862,0.007624256390698997,-0.05159236195635959
MFGE8,-0.032013920932529236,-0.055512100945416074,0.09698569315212677
TGFA,-0.0034595214847042955,-0.03371903992928014,0.04573577175889209
SLIT2,-0.015089321149151064,0.004417725382695932,0.005542774016063706
PLTP,-0.08555324841961714,0.0804432936258112,0.03678682177205743
APOD,-0.0690751959697022,-0.10250198985572699,-0.06983724427677582
B2M,-0.04749357295390206,0.029351319192723328,0.02892850143850406
OMG,-0.049985063626158066,-0.05273001820633499,-0.05331220688644798
CXCL3,0.22822323155679258,0.06032901710574767,0.015922910334110106
CXCL10,-0.016943786157301452,0.004108846813473026,-0.05622597196417717
RSPO3,-0.008865468684625134,-0.03526282610959509,-0.04655231574922514
CORT,-0.01988149426151266,-0.014038434021026345,
NCAN,-0.10227750852817002,-0.0732490126607249,-0.021428287094329042
PRG4,-0.008749835268588408,-0.02071456846659772,0.0549094723283546
ZG16B,-0.010155253931784632,,-0.020708657740267596
TGM2,-0.0030383962581999303,0.03229849225285362,0.0015504024267239424
VEGFC,0.020777782848190676,-0.028127905354235108,0.08388846609111542
WNT6,-0.012102148830307436,0.005234906211051541,-0.021398256491343925
NRG4,-0.010648949790726012,,-0.016282519503971762
PMCH,-0.014755157393270794,-0.019696673979494022,-0.01616498122337152
COL9A1,-0.011122050835075828,-0.019145762616634716,0.07597553077960151
GDF11,-0.030563438100635915,0.01992630867018873,0.05672051631926795
IL24,,-0.013201404017100998,0.006996356169990517
SORBS1,-0.08284130242752648,-0.04272384309012009,-0.03874155255873287
DLL1,-0.04086932197767718,-0.027783398279855483,0.12614633713355305
TLN1,-0.05615831830343026,0.0026011658048149975,0.08713194828060898
COL2A1,,0.029695494865284076,-0.028992178616340538
SHH,-0.009092515445093766,-0.02869827231574537,0.08509866274864712
PON2,-0.13693799887865699,0.005751721030451394,0.01652051879537897
ICAM5,-0.014171330673190156,0.04916412796313749,-0.06253841118096093
