,MGH258,UKF248,UKF251,UKF269,UKF275,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.07023044580678613,,,,,,,-0.04461486965277199,
BMP1,0.023865741311492817,0.008412906231711563,0.01652420153296851,0.11865548771810543,-0.025715794983931544,0.028260664721249926,0.1061299510405462,0.04124243730835038,-0.01864070185886823,-0.08091188952807231,0.08639884920979142,0.036873532976912135
NDP,0.005872439943960316,0.0640843673072146,-0.0038341468598041156,0.020126122326896933,0.001441122735499902,-0.02501412288548554,0.00710864519437763,0.04541733911063964,0.12162063733817789,-0.004907347885228875,0.018843168068606964,0.012501308555116433
TNFSF18,0.12899074103256,-0.02769949188931378,0.02722867762076175,0.08071824267790016,-0.012880577340377718,,-0.049575670704335266,,,,-0.0022515434422064056,0.15080350485683566
RTN4,0.025641733539904087,-0.03194758759668392,-0.03344361305957876,-0.04459090461360639,0.047400519762551545,-0.08214584755908283,0.029794446125890585,0.024700922857035828,-0.03982191754851429,0.022297243609815255,0.022844417681656095,-0.010807901947801098
HEBP1,0.020766260030791434,-0.043707220144599185,0.007831209489490412,0.006342612208790711,-0.014337907805887314,0.0614402208383236,-0.07635987452249828,0.0025802459829178397,0.08730438386839794,0.024823935787463284,0.037859516829559264,-0.0012556677314962698
WNT7B,0.03831558104922098,-0.019038699315194797,-0.015092425358199537,-0.0630066912446066,-0.02143446884392542,,,-0.05931366483517578,0.04856776853335112,-0.02360507317361215,0.06608922713153637,0.1088276351513733
PTMA,0.10156038204567713,0.0005750483872951488,-0.005492173961356349,-0.060072860186007916,0.0192808042346949,0.09552545495507934,-0.004458875967754673,-0.011582275187784024,-0.06685705037075511,0.031765301873112294,-0.05210703739294248,-0.006770483127804982
FASLG,0.02039517201674732,,,,,,,,,,0.12098422293962065,
CEACAM1,-0.02885613276442509,0.033460029678430196,0.010728208549332655,0.14424333304226378,-0.020258079564470056,,-0.00808897056847903,-0.04401802403424445,-0.004032592285608443,0.056600437740201584,0.0303930578089208,
PDAP1,0.014242372417515388,-0.03854838895470448,0.02416264467806542,0.0301632112436298,0.007255089775855963,-0.013906266911528999,0.1453578782682072,-0.006675594092642204,-0.05817344756410025,0.032682978200490584,-0.01837876685380105,0.015407908703263215
QDPR,0.04512668340711853,-0.03353560492627224,-0.003911647339064356,-0.050587213759339895,-0.035068503458391964,0.05209271227237543,0.02117966624893852,-0.0035972119856939326,0.09080830260189979,0.030528603351623485,0.03151433521810781,0.031177968386472327
POMC,-0.001800854411423513,0.04919556791076026,-0.020074577546702575,-0.036102305829301455,0.003141473883596567,-0.013569311872017494,-0.037744900489198874,-0.014940037629609404,0.12812293387696824,-0.00849628260027794,0.04523168954026167,-0.0300954382180533
CCL18,,-0.029260765570969977,,,,0.13264369073417195,,0.01101529535350008,-0.0010142990191315084,-0.09156072805557863,,
CCL17,,,,,-0.016064587714830384,,,-0.03122865752004543,0.035409140003713896,,-0.035072182957190355,
VEGFD,,-0.01733949023619564,-0.008869375443483794,0.021460330261312336,-0.0008716811534824835,-0.005734208964232538,-0.026705138703252054,,-0.05080065694114337,,,
TNFSF13,,-0.022081119684100762,,,,,,0.13986212574453774,0.10034647514837863,-0.03117760064655405,0.09534826670564168,0.03591085035557186
WNT5A,-0.01949440638717949,0.023228472247774603,-0.035692842433861026,0.12291804977634274,-0.039305732731291794,-0.03880959817140538,-0.028155165577391686,-0.033632675370456694,0.06216766471604072,-0.0013665364037653601,0.05417396045635706,-0.015395552637112075
