,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.05802445412607816,,,,,,,,,-0.03155198037960952,
BMP1,-0.0012071007163080838,0.006563963552994442,-0.02940247338607826,0.03705607829225356,0.037200343657196225,0.08563759724391129,0.014283620531153202,0.02619439708234953,-0.07028798251282592,0.027804642935316114,-0.026658422935802957,-0.012238640288470406,-0.0043419960419865435,0.006414939996746156,0.024395873697761083,0.04944953046237764
NDP,-0.02263622598413132,0.016971992952781446,-0.0041437890387883945,-0.036544405599862356,-0.030834837500978166,-0.025769977479518136,0.003876984532952712,-0.0011360007003173372,0.07462747799829905,-0.022911694165709883,-0.1686534701782617,0.09194909978646802,0.07492275570621967,0.0334266233531396,0.027645913512368905,-0.09131399246144264
TNFSF18,-0.02063460715720002,0.07696518401493496,,,-0.012213192014601458,0.07295663260313823,0.02458220968725052,,,-0.04082648678195373,,,,,0.03502521397426817,-0.005330971318404993
RTN4,-0.06049894590723821,0.0025176582912535394,0.024238744165397966,-0.013947030774732456,-0.06326681915192496,-0.10928775430187343,0.017730819171174025,-0.0444659489905728,0.02296875777516595,0.06034120371271083,-0.019602236362216842,0.049668679228598064,-0.055006519650728856,0.034178274302170374,0.029047630695373826,0.011708435829201048
HEBP1,0.0070864312599102555,0.028522357212580854,0.01484368999215412,0.035914038105573746,0.031477227630792914,0.08029752945314349,-0.01693840321115382,0.04187379690893938,0.002242432197575832,-0.03479698252132463,-0.0006349167721473239,0.0175750083556817,0.0195017773283414,-0.01921873742160963,0.04659142514390328,0.0054540048596292195
WNT7B,-0.018178442611624955,-0.010736508083284095,-0.032573412549339674,0.010058041211543257,-0.013351439198082756,-0.017044592641807233,0.055583953193015505,-0.013333402474102975,,-0.028237893802533044,0.11016560762288338,0.03666803590972389,-0.03701322663121633,-0.0009136207257776344,0.015215057047340576,0.1018336553341639
PTMA,-0.0008977427862518973,0.0438846782418037,-0.041634333624597765,0.055892266448072034,0.08948971587535821,-0.08188961288432137,-0.029856250449537207,0.05100421285554635,0.0114893203691261,-0.027929695774732616,-0.021159040447667,0.013691067264278267,0.017716263256206184,-0.004066858063745694,-0.018546249893901443,0.10412524811636745
FASLG,0.033294071069763544,,,,,,,,,,,,,,0.003609118879109696,
CEACAM1,0.011617154890356557,-0.006781959497853104,0.0024921649880180335,-0.01841755050818965,,-0.01010605354390848,0.06604273096007567,,,,-0.020506459565366925,-0.023129641940126573,-0.03330934699697233,-0.018228275922378565,0.010132179881801451,
PDAP1,0.04888162354774241,-0.04319726871113016,0.026023137931038547,0.04257815815304125,0.045229028900042295,0.06145334566233166,0.027350779857215114,0.006282396248483626,0.024796306657249127,-0.01900723094936517,0.07441563016874302,-0.01306361581724581,0.06602006284916061,0.017969286871593354,0.04424552597875886,0.07683418993940985
QDPR,-0.05697633371705288,-0.027714473294703487,-0.002870036490379262,-0.024804404270591815,-0.06441377222827031,-0.0725586829397244,-0.016284698543470234,-0.034550665057440345,-0.03086857668016321,0.1300961469419745,-0.005737171531558228,0.06114124638478531,-0.07682294871651393,0.034523164513657195,0.04567666927679454,-0.015375594169266364
POMC,-0.0317310031938559,-0.002843271347554839,-0.010561179378271493,0.0360215373781161,-0.032220863818249325,-0.019480059631003722,0.016718886096754697,-0.020011514382828423,0.0026162347050487493,0.09041345575300093,-0.029335325224477043,-0.05763845222268409,0.030081163425348813,-0.003298132285636887,0.019019395277029564,0.014590303044274082
CCL18,,0.012342659948551925,,,,,,,0.0051033032037824215,,-0.07146624469785005,0.011529283511213202,0.06773863576341188,-0.02409988732432772,,
