,UKF248,UKF313,ZH1019inf
BMP1,-0.0008035379913657941,-0.008285511746520346,0.08090344028822634
NDP,-0.03491483875501878,0.04926872698351058,0.006635095820685052
TNFSF18,-0.024830501069595397,,
RTN4,-0.022728402524740118,0.003335651926511807,0.04339755210504753
HEBP1,0.04424339879663315,-0.010791586585443684,0.0037976618703498923
WNT7B,0.01623963291325567,-0.019876709127305266,-0.029991930112222995
PTMA,-0.016971439819510454,0.021144153713491192,-0.009389783061737935
CEACAM1,-0.015803933433607528,,-0.02689724331583029
PDAP1,-0.01663101304426231,0.022807068888602223,-0.006625872162158655
QDPR,0.0038592972777034807,0.00253299707959544,-0.09459502218007133
POMC,0.01399446285338396,-0.025151067829702375,0.136822381233182
CCL18,0.01480733674057531,0.06556623805787506,-0.019070587744025525
VEGFD,-0.019721821968466488,-0.016993078118755306,
TNFSF13,-0.014882719726959481,,
WNT5A,0.05694159868203922,-0.05696851027028997,-0.02825967829600163
CXCL8,0.0761486598913345,-0.039041026439567264,-0.03357677225835083
GRN,0.006129093017241268,-0.04982214466306725,0.048818037000262715
MIA,0.08892255422859384,0.09709218406495956,0.11154232359762047
COL4A4,0.005454705891655903,,-0.02411118157597794
TAC1,0.03682831174741826,,
RARRES2,0.02399328018703402,0.006180889271226054,-0.023705978094160952
FGF7,,-0.00256984019063703,-0.0032993409627264715
HBEGF,0.010294073056464095,0.06768269355678877,0.08803328906447411
CSF3,,-0.025529147143369547,
PI3,-0.02074818162891755,,
PCSK1N,-0.036702077613441846,-0.015566597384573676,0.02881122936659391
SFRP1,-0.029024069147244584,-0.017962489860908273,-0.029376153022012613
CXCL13,,-0.013143043447514557,
MICA,-0.0052502123117179,-0.01942419331977107,0.0618944066196164
TG,0.03851052799777301,-0.0009410415636322793,0.058161050414719875
ADA,-0.0310545846372841,-0.027599534041617718,0.1036144352495637
LAMC3,-0.010950364512214022,-0.020349645584706182,0.08194428789540163
CCL7,-0.012544740843847954,,
NGF,-0.02153869706851959,0.006974203780724428,-0.02834009741221211
