,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017845845856942495,,,,,,,,,-0.02504956787431513,,,0.030699612741814153,
BMP1,0.004761862201777973,0.023170939718593183,0.06262696833308753,-0.003666810572999591,-0.05061230948280157,0.04079490424145509,0.07640836244903158,0.06543172753324361,0.029179780857254558,-0.012499847219997013,-0.007841667330816395,-0.07241410863201898,-0.007242705994059896,0.015316720404861473,0.07390772215290865,0.03683603493802219,0.014497117150503584,-0.023404512795183203,0.03622888142692916,0.14448414889265784
NDP,0.03687887646516165,0.08084170023731657,0.041799266020843676,0.03745421869810373,-0.019478611021508486,0.04167233967211256,0.031184685987778526,0.03210957492545709,0.049668851240949094,-0.007573220245943646,0.02198516346039159,0.06724606334784534,-0.0074172500564765155,0.0386598118120431,0.10702695691867546,0.005511888010511345,-0.03808805210283966,-0.030842898447229213,0.06296005987310155,0.060448883826885486
TNFSF18,-0.005663391255700407,0.020188996582175586,,,,-0.016689358944656663,-0.02650054535058589,0.009070253655061037,,,,,,,,0.09039802633683841,,-0.031128564466218055,0.01724271041593272,0.044512559666506274
IL36G,,,,,,,,,,,0.05915085285404617,,,,,,,,,
RTN4,0.0076383240396903475,0.03333751089583112,0.04032478326014433,0.009014844050299304,-0.018563225420991817,-0.04789245379390968,-0.1198682519217088,0.02677733438873373,-0.09835997624900969,-0.06119801719563043,0.02954043325598992,-0.061992898344520826,-0.10500915703987258,-0.03819382097974367,-0.04478044535448205,0.013488192852842444,0.03054556451504206,-0.04196532074315692,0.018013503807536444,-0.12185505529069207
HEBP1,-0.029596703551248903,0.05939315684427295,0.04908078132540907,-0.040911263637582414,0.023880812967446423,0.07072871118603828,0.02391028216880472,-0.03467292714333644,-0.029955509266140525,-0.051613867716317256,0.030692704172442888,-0.1051195816184493,0.046667591106041184,0.04622018512823925,-0.010985954048139502,-0.008201479105644905,0.05529544163617376,0.017294548883073968,0.07448078132684596,-0.0436919355571941
WNT7B,-0.024763574134936777,-0.018318638907254745,0.05211464211025842,-0.013072047551447879,0.04684256840366431,-0.03847398120576863,-0.042430250360440576,-0.04495751899768588,-0.019183747685455856,-0.03266631257088561,-0.02360756493361544,-0.06250361636695526,0.030856247195373426,0.04793197246857586,0.05870123678566252,-0.05401926337055529,0.04550939515031035,-0.031128532188235077,0.03849366877500407,0.06154102399786317
PTMA,-0.016011717143331,-0.008044006154075009,0.0854644051140228,-0.007609216395348913,-0.030427610615159882,0.05243188707742022,-0.03712596021733089,-0.0032949564396226962,0.043104707218528014,0.0246304301217819,-0.01983410649884909,0.0967476661436054,-0.08129001492170417,-0.1153743337297242,0.019241755680370363,-0.08604052982934593,0.048104590282501,0.054056485862654775,-0.0639147070639351,0.01725145604575136
FASLG,,,,,,,,,,,,,,,,,,,0.06347399598123941,
CEACAM1,,-0.012689577931131566,,0.01182847870097976,0.005951832504666998,,0.06584498571171023,-0.02195863714050856,,,,0.027985036680919607,0.044229554554770165,0.028026291145893476,0.054660322890585755,-0.008091985589280122,-0.05001365130230032,,-0.0012074059218107871,
PDAP1,0.029093081586301073,0.044240520402147925,-0.03265968563667157,0.03416525508847786,-0.017195217636000387,0.050594293164411226,0.12229678024007272,0.01880299292692307,0.05469830298944787,0.09725317815610374,-0.03582736146455401,0.057035010336805865,0.03858943527982523,-0.024489190062564045,0.06027065374258507,0.008951858017005647,0.10913612869095417,0.08546970783877124,0.019702109802319873,0.019905671156391483
QDPR,0.06031398922403695,-0.02533272193416967,0.0374371881419842,-0.01544120205914925,0.051324213175895604,-0.04300675051689968,-0.09546855699920125,0.019423778687869493,-0.02211028917955257,-0.013522274165495325,0.026019987708396124,-0.07061595547937949,-0.07469927363348917,0.022172570412125163,0.052964437152757955,0.04038243147571321,-0.011220947058272746,0.017333247863642605,0.10117684749776609,-0.14447031371609298
POMC,-0.028472181908863727,0.03827717713586162,,-0.020373521317330202,-0.032614265198754266,-0.02616078147644422,0.0638204788109425,-0.02284008513913292,0.03018405723900945,0.10887590774869266,-0.038479730721047815,0.02745199211401162,0.0008237540046246501,0.09832032210555483,0.14893919336329153,0.02000810838256802,-0.012544536048375373,,0.0642455135098337,-0.0024130722968599807
CCL18,-0.036038132146395105,-0.013901121763568813,,,,,,,,0.05545853369245354,,-0.04035731222316886,-0.025198554223921112,0.06070943534524679,-0.009168104681153724,,-0.008160688036893435,,,
CCL17,,,,-0.01228609181164371,,,,-0.024550133036260257,0.024709130035033035,,-0.019621400898725657,,,0.03903318563316932,0.06822036344925923,-0.033026408253517804,,,0.09745075313002483,
VEGFD,0.0035811968118366106,0.016554433703576538,,0.06978770289746206,0.032003550284181406,,0.0757479525826107,-0.02615609027131421,0.049829611364426124,-0.00538029012618998,0.10642778634590203,0.057666063325364406,,,0.036625503424262774,-0.005570816036489289,,,,
