,MGH258,UKF260,UKF275,UKF296,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.020915605291350302,,-0.014719723041799707
BMP1,0.051719026622527704,0.021850830748368525,0.020639597601362435,-0.0022682637801037585,0.08174638203584361,0.0015427047045744513,0.06684915397048724
NDP,-0.01860890233616416,0.07038192010773643,-0.019835759317936522,0.001430506483042939,0.058550742062289336,-0.01215913688333146,0.0069172031201692585
TNFSF18,-0.018712514416590043,,-0.010647509681371023,,-0.02156989455485594,,0.07959154266949754
RTN4,0.051359720488071386,-0.027494310450728386,0.017760399769753073,0.03962342153795961,-0.06815452456321304,0.00328051142152929,-0.034577945647728564
HEBP1,-0.07127726994905931,-0.013402021728264516,-0.03562347838866347,-0.011852168417573717,0.12583082721601682,0.011848024351703937,0.010236190289387541
WNT7B,0.09697080906108181,-0.03105030292286254,-0.030520095349847606,-0.012332310933557621,-0.03331137988763711,-0.020366673885378588,0.027154779579902612
PTMA,0.044043071942709205,-0.06352055205678127,0.027770900694481248,-0.019896368450187062,-0.13269121450352553,0.058028888129615645,0.0592972648782917
FASLG,-0.016485143769072882,,,,,,-0.012766410772446807
CEACAM1,0.016739955118951568,-0.014562085390105173,0.047604268941177565,,0.08027255823191276,-0.01351765766452986,-0.017762585545416768
PDAP1,-0.015073189703923226,-0.0749172608314518,0.012528119354287603,-0.06588149065446429,0.038093054757425415,-0.00098995176336177,0.06420887414309641
QDPR,0.0850171108815163,0.03180987766795751,0.04003685294401723,-0.003278189175268328,-0.12148718241925138,-0.02795604180915975,-0.0021587031157078093
POMC,-0.004788574141731238,0.0234772280009404,-0.012354528249030876,-0.03316902319768765,0.022026363780220885,-0.02211311218353496,0.03823203766310456
CCL18,,,,,,-0.0018722762213211055,
CCL17,,,-0.013279517579130084,-0.015263943844202809,-0.027576017386306235,,-0.011571317446830069
VEGFD,,-0.013932178822793339,-0.014148202783512946,-0.011196287403091134,0.03989345670134282,,
TNFSF13,,,,,-0.029571712430473917,-0.015179423569579693,-0.01885449596098548
WNT5A,-0.01594874585405785,0.08406926087941428,0.039220454246195316,-0.044401530358324795,0.12056739004968524,0.018739025576501714,0.040981157913597174
CXCL8,,-0.05952006340072039,-0.003649642338008244,-0.010426469660519574,0.15831782982068782,-0.05445013564786225,-0.03411880876301784
GRN,-0.016780985612758238,-0.029511483355244696,0.03058398073018774,-0.02700114641812987,0.11368238569681627,-0.021848054308230756,0.0891195223337823
MIA,-0.021577631314567646,-0.04227504452689115,0.042011402111931745,-0.012733419004844274,0.13117270100544584,0.00854992432830531,0.03277819615880961
COL4A4,-0.019091805188655053,0.051935391155344374,-0.013864227203243833,-0.021391131272917637,0.053671867106713636,0.07222913939846018,0.0024559716770016097
TAC1,-0.01648513480018446,0.012601221419712916,0.018026451321790895,0.013959132847809383,,-0.02332181041532054,0.03991061181222715
RARRES2,-0.05510863981275713,-0.03418938722198515,0.0015947952660660151,0.027790010945231154,0.03692109468385442,0.0038787208286566606,0.03433841016848827
FGF7,-0.018475073201096016,-0.026676070578321182,-0.02266347186395477,-0.018364703962508562,-0.0012907031213352355,0.06227680878437199,0.03135478826940846
HBEGF,0.046106184562749196,-0.019204797628890387,0.023665350378138265,-0.02875313958036593,-0.05867424992177776,0.012050936007484114,0.022541516886641987
CSF3,,-0.046418348527324994,,,,-0.019379408756106446,-0.012182812185104296
PI3,,-0.033333879797014396,,,0.10440369139538833,0.02864203860366104,-0.026469203535660967
PCSK1N,-0.003983098470355557,0.016066362654754245,-0.032413857076463805,-0.017550133430923383,0.009966753961201747,0.05156982367955245,0.03997189570781175
NTS,,-0.018289708644196653,-0.015838267966539643,0.046461172504123543,,-0.035524297494005756,-0.0180410835830375
