,UKF248,UKF266,UKF269,UKF275,UKF296,UKF334
IGFL3,,,-0.02094095645124862,,,
BMP1,-0.003381607380628678,0.04909645116910872,-0.12829928274978458,-0.050422034797513594,-0.010262320831926323,-0.07854627337158251
NDP,0.04946483962158222,0.07979452315702858,0.032287782669968165,0.005181750874705002,0.029211953857647594,-0.031633935722123876
TNFSF18,0.0025547712579193404,0.0062863225208574045,-0.03109669166536421,-0.01049288545632074,,
IL36G,,,,,,-0.01395028414340209
RTN4,-0.005308684312708528,0.13248221451622239,0.21695414322915563,0.025197217776210843,0.06640963183878794,0.10059741660075996
HEBP1,-0.0254824145058058,0.010656006448266952,-0.10884238155047844,0.04267693250568705,-0.022893976995358944,-0.022115300542883472
WNT7B,0.025718493943657283,0.07419430752037882,0.03304407463874034,-0.011737325658562092,-0.013874669327519861,-0.015332969923866797
PTMA,0.06693739926030012,-0.10671453932164542,-0.040563797530657746,0.053724937813495015,-0.07879916302015175,-0.11549840833824299
CEACAM1,-0.025722098931043,,-0.040921475096494596,-0.016502809060326085,,
PDAP1,0.019636409463775678,0.0570391119005161,-0.1110352506670886,-0.02175711932465011,-0.0025609716127247325,-0.03765508694415246
QDPR,-0.009742650541930858,0.09847093652315869,0.08461072869936234,0.03155706784591043,0.02963761680665466,-0.002516870779063953
POMC,0.05312005800564274,0.044443109302774425,0.027588761086643206,0.03256944766667862,-0.037317355300576296,0.017947602623465498
CCL18,-0.03209874913844744,,,,,
CCL17,,,,0.02919583708011274,-0.000844974042194874,0.040025918451826466
VEGFD,-0.032098759331303704,,-0.03508171933683544,-0.01394274113504105,0.009472062158694566,-0.013658118747016524
TNFSF13,-0.024222753834546668,0.07264101571588573,,,,
WNT5A,0.02721158224797001,-0.05210014793079165,-0.11274249456294425,-0.07067373776187807,-0.06618025265828628,-0.026571659014545293
CXCL8,-0.041562528260789496,0.035802867185364365,-0.00013418680160125974,0.008191190961790534,-0.011730471245213306,-0.02151180946356861
GRN,0.00836566217524989,-0.06138784354963624,-0.1334271784761437,-0.0005162764696197925,-0.019466978517327527,0.00015559059283449923
MIA,0.001985061517854863,0.048691441284989645,-0.04414508895551698,-0.025722025089671915,-0.014325942562819003,-0.01870541954229893
COL4A4,0.03317676688396127,-0.03290612867417315,-0.02063575823671303,-0.013662889477205101,-0.02406644420111794,-0.018144950910230315
TAC1,0.06928791260745798,0.14959350315131423,0.22998201236775764,0.06966143332373397,0.07363598963718526,0.1328472655669199
RARRES2,0.06193707970332647,-0.049043838439715576,-0.1898613363948617,0.056757330175247596,-0.031177129071601885,-0.05476995744049579
FGF7,,0.017605012064003937,-0.04358485139040913,-0.02095940072399894,0.055452736383043814,0.011353001992770947
HBEGF,-0.03650953348184866,0.0010738245957070004,-0.06776530667201573,-0.04373682280978994,-0.014614845828396414,-0.008804684967324346
CSF3,,,0.03171651729399811,,,
PI3,-0.03376923743321809,,-0.02458338479293318,,,
PCSK1N,0.0496895336249495,0.05476566628546552,0.14195100745428899,-0.044301931309153705,0.05940151626874818,0.12004197372911563
NTS,,0.08366626383877264,-0.026834443075586665,-0.015608263018551694,-0.027096580100706973,
SFRP1,-0.0006447053445254393,-0.019282479652667123,-0.02526640909201653,0.011506268543237679,-0.017172951342694687,0.02688541117941498
MICA,-0.003335685704112567,0.011033584378478966,-0.05402833150403381,0.018398768283216703,0.017846093770734022,-0.06759063111870627
TG,0.029199404368568205,-0.0035360333550950003,-0.02634955438981418,0.06971750694545227,-0.012427990185926736,-0.019143257094488844
ADA,0.003956675000621636,-0.004746337511965436,-0.11732648859678753,-0.04269193627891512,-0.020184055521580993,-0.05833512673909473
LAMC3,0.0023238517936341766,0.07500296982362305,-0.06635335176233832,-0.038979196932431584,-0.008062692794662521,-0.034596820128291135
CCL7,-0.02041751608264628,,,,,
NGF,-0.035055861198711825,-0.001149840841369198,,,,
TNFSF15,,-0.010477326786542425,,,,
HMGB1,0.0732082671161657,-0.003436052746964721,-0.1975757762260382,0.026187315747257522,-0.025925346664832177,-0.02677003690764439
ITGB3BP,-0.01681877174808503,-0.044497498258392595,-0.13816665788466448,0.00260093652641259,-0.010817746685420312,-0.04320547366681796
