,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.07306592170955345,,,,,-0.0010561980606665843,,0.02199940469170385,
BMP1,0.023028509898927754,0.145734655741682,-0.013297407488478486,0.09152061244499006,0.0348562046674644,0.021730651317098133,-0.03053004475713806,0.049957402485632595,-0.0002781131012047002,-0.0014603133690287678,0.10406328993586723,0.055075459537857176,0.08248331629311448,0.17453577154764086,0.33152399420148587,0.08756971101906424
NDP,-0.01278836732711679,-0.017239469752184648,0.02436706290116132,0.014853314648236443,-0.005700527303129543,0.0070946855982571555,-0.023726773196898965,0.006774716152945062,0.053448153456828885,0.023202830504007392,0.08617494034837403,0.05026699889718594,-0.02247173074851396,-0.04429671807755324,-0.048288300705489735,0.05348680620462188
TNFSF18,-0.023591418721488493,-0.033739451640228,-0.022651080161930202,,,,0.0873932907800352,0.07766368061419947,-0.015776938514738985,,,,0.009791067208280258,,0.0028616182084222554,0.037516776153610674
RTN4,-0.05206527055590047,-0.021266175674881965,-0.013558330706832216,0.06547983485268713,0.007386088802830915,-0.04364312327515161,-0.0238997621325351,-0.03562951313557956,0.014689993384034958,-0.008397619632227205,-0.09355810622754852,-0.049498905625396654,-0.0867519494823944,-0.06102575041687727,-0.03919706606999871,-0.05297783625537274
HEBP1,0.021839363015048473,-0.049659170894753295,0.003862069030056128,0.030031393428028907,0.011178246693254837,0.0027341075618955335,-0.033149831683765965,0.06773290457127967,0.029695608942741623,0.01785298736385076,0.06546256163572772,0.0896545907648169,0.05778333317666304,0.037100801593410476,0.0533871705731371,0.013279748475273944
WNT7B,0.06797509528835051,-0.0068949360594663936,-0.004526840109592559,-0.0015866155187798355,-0.03507841614931457,-0.012511423069234045,0.03647091631772752,0.061371257232508955,-0.004086993931817993,0.008412777649505735,-0.04819903174993298,0.0037367358146539625,-0.022282863226647815,-0.0028635812527628935,0.13179891244195502,0.025414251211714083
PTMA,-0.06202137951684426,0.0068628655067511845,-0.036813704211460546,0.010349507243519988,0.049415317939745296,0.07844945222418674,0.004008747188268699,-0.10798534371294231,-0.014061986871560473,0.0096208654431678,-0.12299461677571305,0.015386662285906927,0.014362438949687941,0.0001925131236484369,0.2147695549920541,-0.039674688451285925
FASLG,-0.02078330686523557,,,,,,,,,,,,,,0.027919135926644283,
CEACAM1,0.037792037541801854,-0.0214742363158148,0.047739585490847745,,0.005647632319331264,0.05245562419787925,,0.056763828438254574,0.009095770360469229,0.061790411483856354,0.0256939458304653,-0.03121528737702212,0.036232087182148036,-0.02735049866119048,0.06052374108535972,
PDAP1,0.07131474276842024,0.04664496400125456,0.03640575287539758,0.028053093706201335,0.03648783506974207,-0.008537549565194515,0.034364988786875474,0.034089160716063466,-0.015098384373158484,0.038209492402506866,-0.045260071532763485,-0.01825759763715199,-0.03547412662342278,0.0220722031380021,-0.05330622759685822,-0.025886381072291565
QDPR,-0.08224307118331868,-0.00034289431549987124,0.01909154443509792,0.04154463100071804,-0.0013803297143045513,-0.03127241464840252,0.04050733944855371,-0.10790727373388874,-0.07231287033132673,0.02111322541201671,0.05204845075195368,0.002335017675017503,-0.0683827595625729,-0.03322639162715101,-0.07773973544597253,0.01265049911928854
POMC,0.04912326071751734,-0.004172856052838129,-0.027676170543666154,,0.10436978273653154,-0.022312207009742503,-0.01630729816532144,-0.043470286635645866,-0.018306311841593707,-0.03038387797008156,0.11876543448903058,0.004166187917861722,0.035240712980814624,0.051461074931683164,0.06204370728983891,0.0892248105095387
CCL18,,-0.026797817949809385,,,,,,,,-0.021922613485586592,0.020298778398211894,-0.013074048425002656,,-0.036667611137175114,,
CCL17,,,,,0.05010707595629973,,,,-0.019676914003458633,,0.05693000840721238,-0.045061227006801756,-0.012288540405339604,,0.09087326134108886,
VEGFD,,-0.026797826459371718,-0.007328581667632043,,-0.0021020729534281433,-0.019063375793908405,,-0.002353955669955658,0.0049840859085728976,,,-0.03121528737702212,-0.013811550440216742,,,
TNFSF13,,-0.02022249978344874,,,0.059583227605744714,,-0.01386117057054277,,,,0.09520074408095368,-0.02351148402291234,0.07979683367376715,-0.030712776896756243,0.061216877713702066,0.027444668476057282
WNT5A,-0.03983949520662511,0.012035292273189387,0.00711734089348861,0.07735398928210792,0.04502741779630353,0.024565171199726843,-0.03630094287890591,0.03440310771417636,0.0015492999158624756,0.09053209483507024,0.016990454406562504,0.055927687360326675,-0.032587478250528906,0.08935256635106628,0.11413468769496156,0.02970174660944507
CXCL8,,-0.06201617339353248,0.0437270751523879,-0.06946894970723465,-0.033073107542994536,-0.0051637867680674856,-0.01971661611277834,-0.010393410065401603,0.07104111629329887,-0.038598212608523086,-0.11568691192659596,-0.0903941186783611,-0.02110369771341379,0.012110634962220685,-0.017672561739553262,-0.02076028794386707
GRN,-0.01153278138687305,0.1903963548821742,-0.009262165093534934,0.08276116020080697,0.005111171004386823,0.05961981516477984,-0.03037532812158734,0.01579917665829398,0.018966140037463136,0.007906439696852788,0.08924187531179646,-0.025422149148712818,0.06517725902826542,0.05742402343310614,0.2656795555186138,0.04884159310234148
MIA,-0.027203556081622,0.03244314221361028,-0.019840578938504026,-0.019861913462714622,0.00493622663296607,0.009689445845543399,-0.025063669673705824,-0.02487338926569859,-0.014880035778371577,0.016574119035691094,0.1549098602720003,0.09914110293425026,-0.004967825632799025,-0.03736442346583727,0.00026374561338083724,0.06268972537103955
COL4A4,-0.024069601782395002,0.011122472606251776,0.029775633963889245,0.013349974027860208,-0.00882213832990342,-0.01714991170508491,-0.013188291405591388,0.029385338659511966,-0.020543306997189252,0.02475496143551648,0.12095041999770861,-0.00624437941545731,-0.01314766913319753,0.030859137060231533,0.09579637617890326,0.056962805845163916
