,UKF248,UKF255,UKF259,UKF266,UKF269,ZH1019T1,ZH1019inf
IGFL3,,,,,-0.019246215381723056,,
BMP1,0.08860718634788668,0.04193388160753857,0.015616564220476147,0.07063342931295927,0.09958264640503635,0.042853555442037776,0.030810936918133167
NDP,0.03251860699784843,-0.021315140805153447,0.02365003296801873,-0.001874331710022088,-0.023441189812847346,0.17649013889571716,0.001553287875292572
TNFSF18,0.024172265889909544,,,-0.015682684239744293,0.0829588186265309,0.04521340006879555,
RTN4,-0.028660250937517846,0.07875381651859988,0.00871705040161154,-0.13342896147628597,-0.14334465977562247,0.025629162267475906,-0.06588156328370062
HEBP1,0.046005314174302474,0.05616370350105418,-0.0037590177048945723,0.09051199640132425,0.07196380687367586,-0.04120323827258767,-0.022969713682894716
WNT7B,0.006330640001942446,-0.02013888077667318,-0.03498675995917555,-0.00929445278902466,-0.01433934621345301,,0.07199083574919439
PTMA,0.0746703510736596,-0.0862519964759738,0.0009774486166085226,0.15804593273544515,-0.07565548811431835,-0.048415830434677114,-0.11379629488673605
CEACAM1,-0.03467130003345335,,-0.04336557337501013,,0.03867366010568778,0.12499077677467373,-0.013851482757562601
PDAP1,-0.007051906766710248,-0.022660496769986244,0.006311898079557604,0.061922407019492774,0.10141679435784025,0.05848292220510036,0.04431012008827981
QDPR,0.02717557941980334,0.08342520142120673,-0.004534828707162944,-0.08477223281492781,-0.10012621293833857,0.02050179444095431,-0.11719917585315925
POMC,0.03691060752802307,,-0.012612805315939167,-0.02348678532480889,-0.007819115333709652,0.008871449833073577,-0.029990713332927414
CCL18,-0.042634008631597824,,,,,,-0.024231823776860145
CCL17,,,-0.02854021134027492,,,,
VEGFD,-0.023579122515303166,,-0.02241289994206861,,0.09208311999366081,-0.038640183820968024,
TNFSF13,0.024208195944067406,,-0.019686399033730605,-0.015208932120068984,,,
WNT5A,0.02006031866368444,0.11123100840678506,0.005118000898643963,0.11301522834009116,0.11957095258331085,0.041665969607079474,0.09220403064920916
CXCL8,-0.08925079475407566,-0.05505219630022033,-0.05326326668220792,-0.0048339618917987385,0.028931605907025038,-0.08541960041148555,-0.04266394089584463
GRN,0.056130024673545005,0.041169573512870546,0.039807163493515846,0.08716112097939073,0.1348099075673766,-0.007860389319191398,0.04250697510363825
MIA,-0.010096654156106517,-0.050384923802667445,0.03513819528651627,0.0008220343979347294,0.006095396980582984,0.024533186028744318,0.08085285835450412
COL4A4,-0.004211708784389086,0.01465556610073589,-0.03223060734661102,0.08626327677365389,0.06443756616316693,0.07684140537411772,-0.030636596566564256
TAC1,0.08102019045492583,-0.05990444149560485,0.012029960231913002,-0.12661068503779424,-0.09619361837591678,,
RARRES2,0.041399117504459085,0.06609826831632727,0.03267078360024807,0.04522425663987887,0.12139387522698884,0.00629930558173994,0.0729896215002548
FGF7,,0.06482725834991958,-0.026746021515903502,-0.03206786156834957,-0.016615956385519357,-0.026990040961679885,0.0752796456879218
HBEGF,0.09697976882251219,-0.017257038183571338,-0.0007235690335488018,0.10890841274774828,0.05936581700489616,0.0755899645703678,0.03940054418944169
CSF3,,-0.05617223409965915,-0.034017443409894245,,-0.02006536322931619,,
PI3,-0.05866646191417092,-0.018095426213170333,-0.058703837139713964,,-0.02259386383033886,,
PCSK1N,0.02159073188627058,0.019632625706327813,0.038493931830866975,-0.03085790761747576,-0.022695576982274215,-0.021915556365205875,-0.03377762927748377
NTS,,,,-0.017665347692055026,-0.024662745098757582,,
SFRP1,0.05082140892680418,,-0.024902437576031482,0.009662767777973877,0.08500093224256293,0.025435835361800333,0.024893698240380693
CXCL13,,0.051621958913974725,,,,,
