,UKF243,UKF248,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.05501436552672258,,,,,,,0.11502068879011615,
BMP1,0.07323877880567067,0.13983105397213225,-0.007261541052484109,0.007487364714552305,0.42046200793183225,-0.023237989465133103,-0.010398654175034003,-0.011527278737962006,-0.015238735798683966,-0.002363250004575093,-0.019024559951372647,-0.0456810217267653,0.04988354722751645
NDP,0.1006864307085405,0.006672190618171676,-0.0038267448325044833,0.015587791808367118,0.04028754907774993,-0.009499923232528941,0.008147970090028999,0.07140540768271891,0.06648809447434632,0.12201174491199294,-0.01661651958205198,0.09820512937862516,0.025649828323281026
TNFSF18,0.02322656737405655,0.029904103870794525,,,0.18916311734725166,-0.020189794573610326,,0.02555171120777137,,,,0.023895870177451317,-0.028861135147661345
IL36G,,,,,,,-0.015082911631834043,,,,,,
RTN4,-0.06705241928865481,-0.009422395020697558,-0.016721898909836126,-0.06810529368263935,-0.4926393923691128,-0.061631106810750944,-0.06609768850140121,-0.07207944317051998,0.01748418323883311,-0.03778772658010963,0.06371840291859238,0.04981732479970316,-0.06006726059135893
HEBP1,0.00012816476560884615,0.03873745056832332,0.021789010612649293,0.05347032886087331,0.21341559246362252,-0.03927158809721688,0.03186620544394585,0.0018186214840147082,0.1544274470062478,-0.02756270693891728,0.04675882684716743,0.08265425013266306,0.016171144094854525
WNT7B,-0.04710027736889884,-0.022038168474747603,0.016618994576657484,-0.021175189831565105,-0.13177766136456445,-0.0018263557229178053,-0.01657785805923038,,0.035666575286957866,-0.0366068808515468,0.01607502369499317,0.011332267893533554,0.008382125697516347
PTMA,-0.06837162916395396,0.07199108181186065,-0.001526192413951339,0.001613569909003959,-0.3253180554983728,-0.08219388260911227,0.06711112241176295,0.0639368466585927,-0.1505372338057301,-0.027634139754135464,0.05735688067829694,-0.08434103204263635,-0.03941035684776086
FASLG,,,,,,,,,,,,-0.018478392205687904,
CEACAM1,,0.05214251185026607,,0.003927508570878492,0.232662547269314,0.011588487900295555,,-0.03721337120336244,0.03015497595018426,0.06014579918391452,0.05725592443904001,-0.02570996877240434,
PDAP1,0.03406150841997262,0.07338569644068808,0.059072540967594275,0.04254820003283985,0.3680920200864477,-0.003913853205421547,0.0352038801419845,0.07627225600809927,-0.0035591473611934496,0.009390075626033443,-0.021993770852067173,0.007497167917793615,0.02315720515214221
QDPR,0.0117140986185182,-0.013501959701128587,0.02263981232451457,0.0005874023681935163,-0.4465843510845994,0.06942403441480194,0.009021991030734507,0.02237093978473558,0.08105817749505129,0.07117657828176387,-0.01802388218959985,0.07640120755083003,-0.03786655928860951
POMC,-0.0072606829407021135,0.007317188440208883,,-0.005647591552321729,0.017320345835631513,-0.008008889705597672,-0.03231529983186367,0.07234407005553023,0.08482410483454372,0.03553736535761265,-0.000219917221939844,0.013705163484373404,0.021420100743171123
CCL18,-0.03296157476839482,-0.013956615580153433,,,,,,,0.012090055043091436,0.00027743023618840716,-0.016209911355696095,,
CCL17,,,,0.010238931507426543,,0.043339470627253227,-0.01377866797939644,,-0.03750020552695301,-0.0010600371657469778,,0.007479401063475435,
VEGFD,-0.03713806059821222,0.03221881602102406,,0.04497547515779481,0.12277282664035236,0.03692348073288436,0.07727737472439465,0.0248232887946315,,-0.02781929508475156,,,
TNFSF13,,0.07387741261762697,,-0.021334773585661968,,,,,-0.031541766701703826,0.09135108213507372,0.0003246845569513242,-0.027290424647747235,-0.015603539670293024
WNT5A,0.02552637618388076,-0.008300042670378949,0.023109403893345627,0.03408577183783522,0.37241486325761974,0.07101155113274399,0.024664757856839522,-0.11317704056027994,0.06448202413784668,0.04710938257466004,0.05661723540519507,0.00578099529810915,-0.02177759372772414
CXCL8,-0.07380827272854164,-0.05228878916947603,-0.024707761490838892,-0.07340142202736552,0.15580526971970185,-0.009153707047448122,-0.013979303684004204,0.07842453689205889,-0.09377467067953003,-0.1977744986791882,-0.08814330640662897,-0.008520977559260049,-0.021532738134970156
GRN,0.04447620444404438,0.04918975510391115,0.008563554585375012,0.024130625571416237,0.3624210036825461,0.030622824010367856,-0.03629766687846239,-0.04504027609384485,0.05229603575118428,0.009506936764790634,-0.06867668174244937,0.00504911005871105,0.041558554644876754
