,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013231780592814936,,,,,,-0.018656945001366016,,-0.0177608638001126,
BMP1,0.06566367640401989,0.03398759864427264,0.020387379248523563,0.014358415798262148,0.09438271655031176,0.06960377035191803,-0.04823298001940445,0.06272892010651952,0.03609562312599533,-0.028724472682655555,-0.043975831137635576,-0.04996741511374647,0.015288647801709424,0.10788942200373042
NDP,0.014644543788256355,0.029536014247373243,-0.018752639571714934,0.0004675330319331615,0.05391914595138774,0.03690195896415744,0.02634441953866313,0.06697724895644211,0.04426495565386042,0.045835840536455986,0.028861722635557197,-0.02725129558213271,0.017048189745492305,0.01647317145695615
TNFSF18,-0.02707645273254782,0.0031077136794748364,-0.023785815101788923,,0.04007069611590385,-0.013987921606984362,,-0.027738344783965033,,,-0.019240578065490493,,0.05185123887585143,-0.03363549247632597
RTN4,-0.006686148159015658,-0.011464936368259897,-0.05706735488886497,-0.04112459651457944,-0.10702168240482329,-0.005310699744919941,0.05789277217571922,0.01024221786790146,-0.02331522576039249,-0.005524961497714411,-0.020221267405823633,-0.014355902230659504,-0.047340840981292966,-0.05819640649270437
HEBP1,0.07429046139801618,-0.026169215561885017,0.028045488283254115,0.009869066577210947,0.02526535128312236,-0.05686964907205962,0.020060769769650776,0.0650301320648226,0.05941986614311436,0.009901717629113389,0.016071460035271472,0.03764328229882478,0.07410775075228278,-0.013681869601694858
WNT7B,-0.023853506799292306,-0.024642435452808947,0.006791054704863458,-0.017270400790596854,-0.012570751765161122,-0.04009507518347567,-0.012031754906531496,0.07372555032704477,0.050149774630803536,-0.023630210734349767,-0.02764484423405661,0.09191623359207801,-0.004755292198328616,0.05291583024314133
PTMA,0.013873127750358693,0.011138844700141537,-0.030535195613928163,0.013673562101886213,-0.0759000551754926,0.0038851283231366965,0.036201940574651904,0.013031928958955077,-0.0847141158018327,0.013615405271262903,0.055601219502892325,0.019291063967677397,-0.052280181240927974,0.048037000054986324
FASLG,0.01677686189093174,,,,,,,,,,,,-0.015403991114631416,
CEACAM1,0.06971850257658517,-0.020060546651074592,-0.011338932293517128,0.06131838721539438,0.0033397411798961807,0.10464864619648842,,,0.10111055005032152,-0.020776411739521442,-0.02764670193657156,-0.014826660991910582,-0.0024452812080179476,
PDAP1,0.05114375057470595,-0.015220534999441492,0.03465961856770966,-0.004473057586488136,0.13255921764616382,0.00266429493379861,-0.005918249609952321,-0.0011977377077370646,-0.0894269740118487,0.011108400408900146,-0.05678013057114615,0.04566667813982765,0.0498352107494459,-0.0023649307252294307
QDPR,-0.03820975006332786,0.02809578479187901,-0.07014086369983273,0.005572710113955359,-0.10635259423795884,0.004398682871921016,-0.014622701291145053,0.039153173450119746,0.061757314703111875,-0.0006431428674648441,0.035844711089320316,-0.018539604673526337,-0.015843417233390136,-0.03670089263430346
POMC,-0.003279391291786494,-0.008106426536375248,-0.020147473642868105,0.01462665799681032,0.0013683490626978181,-0.016230478093959833,-0.014677905822700087,0.12662082429847615,0.002907002231725136,-0.012528603966812562,-0.018758744330389668,-0.024254469669081048,0.043958926436422574,-0.003709648334350759
CCL18,,-0.025033666819306293,,,,,,,-0.039911341810831565,-0.035046273105735895,,-0.022509447025475953,,
CCL17,,,,-0.010154476598734797,,0.030441818588048696,-0.014891939737001791,,-0.021720898352814006,-0.02999205467736653,0.060953044546994406,,0.04543551266299739,
VEGFD,,-0.025033674768668017,0.003435579438250037,-0.025315627326994133,0.12106522995573768,-0.018586876869598114,-0.010923417891655216,,,-0.020776411739521442,-0.025943407811994765,,,
TNFSF13,,0.05253500622963752,,-0.015673628649246176,,,,,0.020496689791727966,-0.03260033803857108,0.07338999877311547,-0.01664934657350659,0.0521064259729997,0.11948569777742364
WNT5A,-0.04023289765523699,0.05238955415201111,0.02725147886426204,-0.0461616107866516,0.030018165894086526,0.03368402088145583,0.004979801973950657,0.09105546920961097,0.03076663975669156,0.07675130122745209,-0.020856684265135508,-0.0470784980467579,0.07588063480718168,0.05949316592670035
CXCL8,,-0.03665304942744152,-0.015206871548598653,0.04880616025708676,0.0015290830279541443,-0.024355750196913484,-0.01017236170670964,,-0.0012434123703565676,-0.0677805840322586,-0.0037153891134181606,-0.021454533636912198,0.0060212296327992465,0.0775157392612626
