,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH916bulk,ZH916inf
IGFL3,,,,,-0.03367544635337595,,,,,,,
BMP1,-0.014598189584992718,-0.027067454664842783,-0.06689673844031664,0.022752747911754304,-0.19357343980090075,-0.03141804630520468,-0.018953946968302684,-0.0733202868865318,-0.16676030221184582,0.05175287460575159,-0.11084131558738394,-0.011042792213636462
NDP,0.034947664894328476,0.009249621028179538,0.08871391842798818,0.07876755170009145,-0.034110077811366345,0.02551682002838494,0.03498490392219442,-0.12006385201360734,-0.046655610122848766,0.06330357343066012,-0.014481458517413899,0.00081536371612134
TNFSF18,-0.023106340595839416,0.037850443864213115,,0.09594623544691246,-0.050007026870160266,0.054028661716792784,,,,,-0.04088698463712048,
IL36G,,,,,,,,,-0.0238589846061674,,,
RTN4,0.1514452074101141,-0.009336527051190941,0.15428335549923836,0.08922115678668568,0.2931532048333262,0.08409303693750231,0.06142424740195993,0.3175073062714392,0.20692923180146605,-0.012690925224190257,0.15256734364505534,0.06095618961812269
HEBP1,-0.010288448739414913,0.0367781907579165,-0.05127532524145768,-0.05747701519981297,-0.05498316386031838,-0.007511044947174034,-0.010841539972290029,-0.07368552351257804,0.03012215628108457,-0.07145623948763269,0.04241454182483677,0.0036649691380905977
WNT7B,0.2482412501315415,0.009892656588025756,0.014177896396176327,0.049532666225419464,0.12555825005058102,-0.05117574290222544,-0.017191981274570438,,0.013470023578302208,0.028437604674290906,0.039094314074012045,0.07622679842294453
PTMA,0.017440618495954685,0.04238589291077414,-0.11223030464285258,-0.09230739697993237,0.038095029291818835,0.03139130079507029,-0.07397581390099542,-0.342835279695176,-0.24073258146347026,0.022214172123833156,-0.019272954257249408,-0.12959227125997377
CEACAM1,,-0.029423241913234262,-0.023376161786047754,,-0.060026128029528114,-0.015886540906652282,,,,-0.017644160997314955,,
PDAP1,-0.024857954237680144,0.007289527768683364,-0.04541798428405578,-0.0453611604901929,-0.08841612091184191,0.004300957890304466,-0.003924395009198202,0.05062277968752442,-0.16545115865405366,0.002848970852151996,-0.04340470161202655,0.1348691402140967
QDPR,0.06095543459725116,0.03762915776787437,0.1367212407926102,0.03476455446687689,0.06337769365249622,0.0778301378870527,0.020275796722735436,-0.2505767204233484,0.0056272941301329085,0.041467504211205986,0.0923899922348824,-0.02125006796865079
POMC,0.17971599950702583,0.013533213420063053,0.10338693175425358,-0.007434465116635447,-0.023255268643372375,0.01325215638370761,0.0496968589165099,-0.005307790988459149,0.03318602772837835,0.011895849764188764,-0.044307993664714024,0.048534993532353354
CCL18,-0.03098750264000495,-0.02660702924429207,,,,,,-0.0846426624501261,,0.052221554935089086,,
CCL17,,,,,,-0.020609443069216846,0.008774945127219463,,0.0086310635697904,-0.012517678226197317,,
VEGFD,-0.03491385830070303,-0.007709509169846389,-0.02236498808165643,,-0.056415405870411064,0.011244106084617917,-0.025045181744203966,0.09340216967147964,-0.023359298031817948,,,
TNFSF13,,0.022123555507833407,,-0.019187637162208625,,,,,,-0.02401954433195747,-0.03853488422758257,
WNT5A,-0.043107829589552414,0.026630759013329702,-0.058331184630876005,-0.012364430680622077,-0.1890447918946787,0.0038580306050553757,-0.02379910673113786,0.059929987028370456,-0.03946190752554434,0.0008289405125801491,-0.064868221644098,-0.0450995310645044
CXCL8,-0.07469507863832435,-0.06442790764544477,-0.013348498235996405,0.015354908986568026,-0.08063214131989054,-0.027720102328736347,-0.023323162240909096,-0.10319702878134251,-0.019335008792470538,0.09153320118658152,0.059722391218725975,0.08127693989701962
GRN,-0.061594732938239916,-0.08415249331693729,-0.056991486467593847,-0.02724084179465662,-0.23597808328375114,-0.003859277921524047,-0.01851416898135787,-0.19633836172568628,0.037541934202262456,-0.03847535696688121,-0.07196491134023711,-0.0823237725452624
MIA,0.06564627728500397,-0.011428517305618125,-0.055746491284055524,-0.029682225082209062,-0.08586529935782077,-0.015081795791812487,-0.01843360456794392,,0.011591713080921866,0.002080455603028882,-0.007234694452855248,
COL4A4,-0.03514689157985675,-0.004628966626929577,-0.06378924556673886,-0.016961906062424974,-0.03318465281561821,-0.031689476240607174,0.0016591684592526202,,-0.031033067140184497,-0.03307524638177229,-0.05459594519517661,
TAC1,0.38332001933616716,0.11880703205395755,0.20652471254443497,0.13768893220531742,0.2989360102601416,0.1479822832637289,0.06602606859533172,0.20350894629985675,0.24357247056693118,,0.1431301611136672,0.14907159207256285
RARRES2,0.041734706521661724,0.016818360354190827,-0.13213757787538521,0.05269061580754554,-0.22813638552465237,0.1059995707291981,0.010233360937148838,-0.08067678935753671,-0.12472515515734107,0.08356575301215177,0.02389952292682357,0.014618408758392591
FGF7,0.009409474216590769,,0.053463567525465334,0.06255609846968685,-0.05474694570060783,0.029592378816453806,-0.006394445779969995,0.060240044042314346,-0.028553153345175008,0.06287350280058374,-0.047170482885685705,-0.014474270381059981
HBEGF,-0.0014709666188036025,-0.03539736739314796,-0.0716729723223814,-0.035985341394345505,-0.09411241363584352,-0.13798141259651697,-0.010777014305407069,-0.11893694163074281,-0.004150827055139728,0.043887046523187416,-0.06897837484833247,0.007444273779232918
CSF3,-0.035146863753957695,,-0.028648271965809678,,-0.035108723953672476,,,,,0.03758588793229496,-0.058560190665312706,
PI3,-0.04163670125144653,-0.03862828009824206,-0.06860677170532525,,-0.03953288655683434,,,,,0.06094136487636735,0.0887291898950339,
PCSK1N,0.1852347328632097,0.031513020817737575,0.04361353692112336,0.03963962911510339,0.19075521323165848,-0.05891147830418574,0.045049397821512724,0.3333270106572261,0.19925685950487995,0.024846201381925195,0.0966257946294623,0.17388653634303838
NTS,,,-0.06448934160693154,0.04850188546008618,-0.043152845015384106,0.029842556386318764,-0.09466152789655902,-0.05011503402745646,,-0.014613972156082145,,
SFRP1,0.09810486091771799,-0.01515403256083334,0.047574553340125836,-0.03316045080217706,0.019457465920077167,-0.0005915087360648864,-0.007874198472040154,-0.03602262230370795,0.07022374173402976,0.013603088726846301,0.026317918394648244,-0.03892348679845352
CXCL13,,,-0.025285272934795475,,,,,,,0.037595735421929385,0.027915319334664603,
MICA,-0.05188593997168519,-0.05103516374615356,0.028767029679009924,0.04393699748522785,-0.04630029363020785,-0.015124003100946587,0.012449633925359726,-0.01577738671408406,-0.07448264491011734,-0.03364633681587313,-0.03108121336342773,-0.04862830429178719
TG,-0.00719163499347555,0.10077502236132439,-0.018595687463721686,0.029702465731594307,0.013749037274283622,-0.011236351351951493,-0.00021331535665656637,,-0.02269566745957131,-0.016632864763696666,-0.0242647296090901,
