,MGH258,UKF243,UKF248,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
DCN,0.11974147199758854,0.14719455269073656,-0.030590859462786203,0.06349922572848281,-0.0030445522019327226,0.03895170467082339,-0.2776240252577649,0.2257488367186817,-0.06783452862952764,0.05095598545482268,-0.026998323982837896,-0.024132279577118023,-0.08722478645589592,0.06373832440561739,0.08994571357213861
RARRES2,0.258604925880183,0.012501718841431869,0.03208069665396019,0.015075134751282469,0.2681938846935337,0.039126752358059604,0.24255601415641065,-0.02407455593985683,-0.024922553485154295,0.07313326585741375,0.013811218054639668,0.010379296615273863,-0.015595199096227124,0.05160064678958326,-0.10264792010159103
SEMA4A,0.03549420312942336,0.06803523144104844,0.1081859467522175,-0.03935492204918153,0.0704345214559749,-0.02642499239469876,0.09027337222694129,-0.006681758536916883,-0.054703357174072986,0.030336483125442532,0.030816982760991752,-0.039932359041765154,0.048923391917742316,0.024684551285071805,0.01501828154065876
GDF11,0.07482518279528715,0.0902812742560927,0.008057409953288082,-0.03997869581679475,-0.03746147722313934,0.035890639320543746,0.019056554814563222,-0.03999987171261258,-0.00043101441649069,0.03524428305547391,0.005814089979197963,0.014149915496237847,-0.02880945264860458,0.02005143836200745,-0.009752745843084491
GPC3,0.06033778540251186,0.09545253858975429,-0.031162364894653054,0.05083939467379269,0.01740096747415985,,-0.07467660260648241,,0.07849522649158383,0.08677743060985232,0.04144182536996742,0.021687118337452103,,0.04447666641384907,0.004775647938242046
OSTN,,,,-0.025690591435265888,,,,,,,,0.025887943626836576,,,-0.021179384045622845
GRN,-0.2577590975138298,0.0433262391526382,0.02198326334903178,0.05097582743189133,0.05795373057917258,0.039556496884294925,-0.002984781245814396,0.1659090148558632,-0.04256912659523312,-0.003584034222726797,-0.006508134601298023,0.10735104673147775,-0.010782849232223501,0.09301058193848372,0.06467590469480222
CALM1,0.1681586061810839,0.18188896185555475,-0.07304078393865993,-0.00293380835135074,0.02876679647827581,-0.0634028349126461,0.13825123270012746,0.08110477636203113,-0.028559350264687394,-0.03419678428271106,0.05200927979178353,-0.01793540892998539,0.0035811323801017815,-0.005339752412833879,-0.02542996200945859
ANGPTL4,-0.06798539609885554,-0.22761894009315675,-0.008590522363118882,-0.020251405445391026,-0.1015069087653346,0.06957437447484317,0.011794253238568692,-0.24573327833834188,-0.1376334948577507,0.0734154776325823,0.02788459028876376,-0.026155568590389484,-0.10372822162984766,0.09560328961929267,-0.04405347494438286
BMP8B,-0.04255667021757156,0.15835752804382208,-0.003912450920130742,-0.003542224009764346,0.06703525370456438,0.06734483860160828,0.07140314514238794,-0.039009434303523736,0.05678117900200868,-0.06410258763673848,0.00841809954732313,-0.02824644968586298,-0.03457629438278321,0.043863893696321474,0.025827789269316257
TNFSF4,0.0632589542997924,0.02570445351230465,0.032563711849997165,-0.020545467359935756,-0.013612481756509968,0.02551971322173178,-0.008361927541678676,0.0707818159587068,-0.019526315269936628,-0.04597699759875041,0.012720362265335424,-0.0246638113086373,,0.05706846892545453,0.042758083811720485
RBP4,,0.05926833622222115,-0.00511116298511082,0.0007459484176332278,-0.045788856254462156,-0.07473452063242716,-0.026319380544379507,-0.005641280035433927,,0.0010762918144009298,0.0069405269316461,-0.026369994222986817,-0.020820534499597487,-0.02346094349043448,0.0010160644562541238
DKK3,-0.03797448866011216,0.18204653657265965,0.08643835563017425,0.0006122445017799503,0.26336019464351246,-0.0654715267490692,-0.12151462125713144,0.21369636468213643,-0.07294110908613363,0.01027007159346357,0.07441446460218913,-0.002615350712719076,0.009834350943354137,0.023631338039055247,0.04608174901236913
COL11A1,-0.05816852563185087,,0.03969809062509399,0.03954009118297934,0.026599286697639026,0.0384373949344181,-0.11031103331286506,0.013473403196068701,,-0.0459769939524997,0.019195229029566066,0.0398657719261563,,-0.009123587854741119,0.03150988508624413
COL5A1,0.08395044945775434,-0.06988370690623079,0.017021183712429673,-0.03304397662868222,-0.33609265920817494,0.10093315811494588,-0.17720391883213613,-0.07645349685448277,-0.023019345593953324,0.0777564102231952,-0.03879247007337026,0.03280300046017307,-0.022083462342597764,0.08123443592094219,-0.06257322670247184
KISS1,,,,,,-0.0382665658489329,,0.10260623926774064,,,-0.015768406277705035,,,,
MEGF10,-0.12190182347311675,-0.0038143366409129895,-0.009602362228434183,0.005385702018181624,-0.06742832926514684,-0.03240432159750448,-0.05066993523436709,0.005471996860361162,-0.14825967386493336,-0.03059761897541383,0.03604473686523991,-0.00263133811338145,0.057464932048832434,-0.012549757557824425,0.009480057327724098
CEACAM1,-0.007658703427951352,,0.014136670739658344,-0.02065704926364095,,,,-0.022613798227466186,0.09111839648379809,0.016594667848444485,0.011430379560837003,-0.030753939883025133,,0.02198376720057396,
EFEMP2,0.07758880016709556,0.12348146686381348,0.01649674853464937,0.013386961400488135,0.06378828906168305,0.08325043004691018,-0.036010085068063837,-0.08283890071419049,-0.05715579810877376,0.05147193111611516,0.07342683590688913,0.07253752916516745,-0.04983562646343894,0.0566755072558116,0.006739481323128187
IGF1,-0.10202787244267861,0.056608034845810014,-0.01362925419797461,0.020116197729119788,0.06603630659236652,-0.029487059693754446,-0.05131627822401163,0.1201289899022394,-0.016600284692832704,-0.048776206240086294,-0.0008513297741566539,0.03641713941106804,0.029046582110446292,0.09080290926748445,0.06696549950707256
COL6A3,-0.014435777126462527,0.09583480120089956,-0.0111212567876923,0.012394647397273176,-0.3576108703161781,0.1300141218113593,-0.08148587635099856,0.024271987891071954,-0.025676383078194056,0.01736612007471575,-0.060781786460675405,0.055492158219347366,0.048150515762284476,0.06799367851415107,0.013586191874465805
RLN2,,,,-0.01484142782439005,,-0.03260649688802703,,0.06160076696878364,,,,-0.014689336815847132,,0.03170037118406145,-0.026310143945630502
WIF1,,-0.04929045696009556,0.06142967856347557,0.07464042730829563,,-0.07253276961366116,,,,,,,-0.05020636632721265,,-0.03317895763245707
IL13,,,,,,0.10448126137915248,,-0.008417666331444322,,,,,,,
PLAU,0.056614168143863663,0.02572585767459456,0.06319329151066617,-0.04717152626099815,-0.050244569898867865,0.11238051383474913,0.04682393126563277,-0.007010088962821662,-0.04374651156312178,-0.04414393655677605,-0.01151481063504066,0.04560054036468011,0.07300490619671039,0.024934594076931285,-0.00017050266366528373
CXCL12,-0.023351138451392413,0.044200024635821546,-0.005251395559726434,-0.029468725167462323,-0.051259967705216423,0.02666846703954765,0.03082520807965656,0.05050670937446549,-0.057398129715705015,0.12888591420608608,-0.027334832746240566,-0.038382454143358925,-0.023177864658860868,0.07250919297248264,0.04852402829400548
MMP9,0.09439726496044731,-0.07724916726393759,-0.021980180117271614,-0.019537315984929894,0.07011804906370357,0.061506728326604074,-0.11413023272345264,0.2421426360834737,-0.23792869792393065,0.002401915785658171,-0.05262382033201589,0.06170246597582629,,-0.02203240336813192,-0.004653918161867853
TNFSF14,-0.05849321456609405,0.029888386869924843,0.06035597708020331,-0.005179452184095271,,,-0.15135121785603928,0.06275055172229278,,-0.034811182648528796,-0.0262075638537768,0.02519443653115437,-0.044265505295528855,0.022901721579336922,-0.04173761367601483
HBEGF,-0.02787898957176835,0.060237527707294285,-0.030610386429485846,-0.014137255548756868,0.02734600965665551,0.01855408128772754,-0.02174410277296318,-0.07619333850657507,0.03132855122556175,0.12221264631321699,0.009316814650092915,0.060661329674727434,-0.07292864407750348,0.013502714698338872,-0.017547787110573098
NUCB2,0.02914202723856162,-0.029466179991888955,-0.045017667390533346,0.03934501120055107,-0.046441585712108484,0.061618184396516416,-0.09445644859642877,0.024397221581622785,-0.004699539558033856,-0.051129221671885924,-0.03611153984201361,0.05087748963936332,0.00424005944765534,0.03333702222518927,-0.011394464522047506
VCAN,0.08128368517106647,0.1541581838676094,0.02493160654147142,0.010461537226311152,0.09239475625219949,0.06289062224727718,-0.14869745063160747,0.17383486421703037,-0.1411888530386165,-0.0021573514678127266,0.041786557473171684,-0.05396271882938767,0.07912348386960427,0.027805719759841578,-0.034166525565253465
VEGFC,-0.006906229345035592,-0.024267259370231033,0.004420684483688967,-0.0305836364751974,-0.028038881405733396,0.04323823857498008,-0.1334935923795108,0.14332530174047417,0.011424061986501394,-0.032086639064705616,-0.028127895535998697,0.003981006609321209,,0.018488224567502175,-0.04409628430966601
LMAN1,-0.00044160840819194267,-0.12118368464945228,-0.003403706177109352,-0.027917199718735554,-0.05572787129194824,0.03630102502983648,-0.08344205463442494,-0.08679664619282217,-0.07648769925990959,0.002327571703363282,-0.010314821675386967,0.07047323668154595,0.03628311904980315,0.0005715009917650307,-0.005009411993471756
IRAK4,0.022163348273003487,0.12268405447276255,0.024059031123848603,-0.003061950673422808,0.07210257778973013,0.051999224600507245,0.042280325448336306,0.10919219648227382,0.04016440600155137,0.07968011476849918,0.019401760808388343,0.058500236386793344,-0.03832995589098158,0.0885858676006495,0.0029134543859439975
MICB,0.10603200359049447,0.003677086127716119,0.0027697240624849485,-0.004486335564825485,0.11754245142650405,0.033684696295895246,0.031013669388838563,0.11444543978532218,0.010048150337112876,0.038230700582721336,-0.01631035469982065,-0.06287566658220109,,0.1119378017777639,0.04714810773278776
COL1A2,0.07310882191753111,0.18619817127676908,0.0061736754024303234,-0.008927826549966603,-0.31999959402877776,0.1317682416149511,-0.2622987236892784,0.240804470152507,-0.07767305731662061,0.055641415098698854,-0.05020871641473552,-0.019631698635866127,-0.07574824800489677,0.03813520862226833,0.05403817237236392
ICOSLG,-0.04054434940174109,-0.053225935826183166,0.033519923365008704,0.030947824099643407,0.055887459668082076,0.06333368738086578,-0.08387864254425884,-0.16493590410535552,0.024014331692797816,-0.07857227001758335,-0.03434205790246683,-0.011262439865868291,-0.05697718830038237,0.06151550164960346,-0.03770717516789781
GNAS,0.21063604488265708,0.20469772508778625,-0.012066696957091958,0.02710824635777656,-0.1756319061654637,0.06729533305082495,-0.018672340968238665,-0.21915325972943847,-0.11313707990338202,-0.0169242211887124,0.05300143049076194,0.1285732880520191,0.0526353317729022,-0.09480948427354197,0.017053732046426993
C4B,,0.058396931599029554,,-0.015370630346324443,0.03347469342077868,0.028896322329918688,0.012038502879779272,0.0457564307251992,,,,0.06745347106721356,0.07029415248439824,-0.02128556441139203,
COL2A1,-0.03153078701043325,-0.02455893614805733,-0.03603557179437365,,,0.014043468143546501,,,,,-0.021892419438517836,,,-0.04363583799651021,-0.02899218602244945
