,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.004487232820211027,,,,,,,,,,,-0.03227904743679781,,,,
BMP1,0.060832935713268775,0.007216381763553207,0.017590156524106004,0.02270707441459573,0.10522222195065686,-0.01784141880989002,-0.07354375934044892,0.0011275995130065602,0.19164238621485866,0.011576934539690309,0.0060836421823292595,-0.061132968209806716,0.040758060229207645,0.0736517578664385,0.01015175418100889,-0.05786763332975297,0.1622220236102447,-0.06681119576192773,-0.07586437169020513,0.05662779527878072,-0.01875984098036342,0.09939844784357475,-0.08577848531805837,-0.07368384921145639
NDP,0.014692699647921222,-0.05799130307125021,0.08641377789357758,0.04255107472859836,0.051086464374894315,-0.015967259417768637,0.13241252710324472,0.07427211989268204,0.04645020159123784,0.00494198270732193,-0.002894623854375641,-0.006490737003754454,0.01175597815019845,-0.017534037043556733,0.07756333004421027,-0.0865624109832349,0.08261673293964483,0.12068984355522382,0.05868015465951735,0.10763323770942841,-0.03701811265788615,-0.011895253259444355,0.0190414040142284,-0.019323254894071978
TNFSF18,0.018132113255944927,0.021398680108520175,0.003170926402931378,0.07529031890643795,,,,-0.008118905070552629,0.06205769697707651,-0.032494270876412906,,,,0.07191406259061403,,-0.013082340431199248,,,,-0.00733485529029667,,-0.009245856079204756,-0.04759301842817598,
IL36G,,,,,,,,,,,,,0.03494509973127715,,,,,,,,,,,
RTN4,-0.14549405120035527,0.26996582741715663,0.009768755916122123,-0.0007025906400242311,-0.01196040210382917,0.03134179988081768,0.20796611536579637,0.0418571613582054,-0.24917784323068923,0.02364600266368166,0.06939184642078346,0.30001581993451715,0.09605142947752703,-0.03838293951786607,-0.0412226388130791,0.0011952761954152655,-0.16732053373173364,0.09526831143937212,0.09922949903282823,-0.14906174735793298,0.13646844837248223,-0.043021596615882216,0.29687633519057577,0.04182403138470146
HEBP1,-0.020373400571285356,-0.10309605051105869,0.017667679218095696,0.01210150654734081,0.006508011071212188,-0.04141816327577774,-0.022213004390632365,-0.042293578931835725,0.08035013394544965,0.019789684179893286,-0.0249806265982195,-0.1208295041361039,-0.0024321947085980426,-0.03818684209431749,-0.027918968730440745,-0.010458474407264311,0.03164263316521369,0.06664387048444054,0.11882630125936866,-0.025546820166374083,-0.03164562176678148,0.06484416693561657,-0.07393436558214816,-0.07093900212191571
WNT7B,-0.03386262517137487,0.2924703771667062,0.027436696864827106,0.02701784284437098,0.06341402574202222,-0.006650882243238561,0.015327673474316038,0.06208813134957145,-0.03191101016380228,-0.00019664024753595234,0.014776216630269928,,-0.00896758705370682,0.022438083588138164,-0.06598639641583438,,0.03634775708329919,-0.057953205005757846,0.022676582410505592,-0.03235984547199676,-0.03255510211894584,0.039220230461842545,0.024488197568891496,-0.03767019421530891
PTMA,-0.08237276719201934,-0.03277928778700735,0.2190335115410382,0.02998081041936086,0.0805749379293278,-0.027756788964275563,-0.13999633331587347,-0.03724875982465158,-0.1347700908561585,-0.0033243260944240656,-0.09502731331927664,-0.3910370705475684,0.023684355802310528,-0.009313148371438705,0.03584129407585309,0.10999985851855516,-0.2281037400510053,-0.11750194101895421,-0.009813322114639929,-0.1021294411921301,-0.031041111489508867,0.05366321013540528,-0.1593690786086734,-0.11846360895715946
FASLG,-0.04806282476098335,,,,,,,,,,,,,,,,,,,,,,,
