,UKF248,UKF251,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.024544934400554184,,0.002074191398880754,
BMP1,0.054630425496650786,0.002184169244256286,-0.021440058194343078,-0.009178346698851182,-0.053828059636626915,0.05381731472570988,-0.03557093792821362,-0.04748805231639498,0.00026927947425902504,0.04853271952022395,0.025063757319784396,-0.007144396898656052,0.0552843415151149
NDP,-0.006276488392594749,-0.007204907146380999,0.018788234181492836,0.004038353693899109,-0.044206805768957864,0.0609212103413648,-0.021276086421177374,-0.01687496833517777,0.05053575629423695,-0.00978285066065602,-0.015690306641513642,0.07619040552695018,-0.0228385407416912
TNFSF18,-0.015933668369033534,-0.004312214491137036,-0.017509957596189406,0.03657308475704912,,,,-0.0019671747496993026,,-0.02531275760375712,,-0.03240564070700685,0.0018077650201849382
IL36G,,,,,,,0.004264229234425323,,,,,,
RTN4,0.05702786410898074,-0.0187670117978355,0.10824226713703954,-0.017949435417835086,0.10235226240441617,-0.06594024019438958,0.016279436975473183,-0.08207535832387362,-0.004581122296643839,-0.054956456141438306,-0.03720620158183807,-0.04496214922634826,-0.06671565625973427
HEBP1,-0.0016665264011845103,0.045029460928188034,-0.027243646652371615,0.019735683647414636,-0.0289888146472697,0.01748958480829269,-0.026424639283281256,0.10451410453812254,0.06431559151963943,0.017551405102983267,0.09232026606548147,0.027811248420381515,-0.02539216374259447
WNT7B,0.03797682171282403,-0.01722763696686439,0.0637325583050115,-0.05062423286230877,0.07690955884402703,,0.0006253924271144559,-0.043570971087389304,-0.03771680505150974,0.006307349400754694,-0.022338912311980718,-0.030901369090008478,-0.0060749542528021625
PTMA,0.04438847700708199,0.04373479503929304,-0.08373793745791507,-0.051835885485393925,-0.06008012710106483,0.08913983530364951,-0.0787851312791075,-0.07239423629037534,-0.015007298614645828,-0.016434369073212482,0.06800525718478052,-0.07360490742497591,0.024989510336981085
FASLG,,,,,,,,,,,,-0.01666175456181982,
CEACAM1,0.0665210099146954,0.011200899200398694,,0.01413631568972108,,,,,0.027241426978231002,0.07287365447144431,0.03486562892715014,0.012672066272388191,
PDAP1,-0.01657212587748831,-0.002553168406463401,-0.038494091482843204,0.007097464101029523,-0.03812095484384146,0.012492206631000828,-0.00964973708290155,-0.06762614036573743,0.015637933240986706,5.264042072052322e-05,0.05584562384456691,-0.0076063603302545125,-0.04885970143234166
QDPR,-0.09650616494402633,-0.0008729040648530908,-0.03970357298231088,0.034474573967797496,0.05302546220194361,0.0005970706612062207,-0.01666189948585727,0.014274412766593803,0.08640746808346784,0.007405947245317911,-0.035862375412008235,0.011596654624952974,-0.09069407074568539
