,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH8812bulk,ZH916T1
DCN,0.020746784532127006,-0.002388013665063846,-0.027012655683201752,0.0006950834889764068,0.023940502135231155,0.09565315471928344,-0.011541813740417956,-0.035296126134536865,0.048411987638419696,-0.05052783582421712,-0.011364845939668534
RARRES2,0.0025984731460290352,0.039352232610682984,0.032462900371835274,-0.005553510775022169,0.05550152789020449,0.06210983963068323,0.013330404629011222,-0.009860792751444242,-0.06310273679080426,0.06959754958944556,0.054532184749949295
SEMA4A,0.05108871752561746,0.05500459429371395,-0.0041411717522000764,0.013973386634840497,0.009405109360129133,-0.008845948954823225,-0.032724341292347046,-0.016639829582436053,0.02415001939891628,0.03338831149630182,0.03330070814743852
GDF11,-0.036129487740717656,-0.01791396856284265,-0.0028864695369498834,0.022292100220723567,0.04744515146454392,0.09947096144726905,0.02727565822350382,-0.030526574665054207,0.0014050643646505215,-0.040963577091067516,0.014682562724142886
GPC3,-0.014204969679743225,-0.004012439189431236,-0.02047657632666964,-0.030001117762600945,0.028034037557084383,2.952688864221353e-05,-0.01900973610050745,,-0.011104930388204308,-0.03758792548586812,-0.0276893083346988
OSTN,,,,0.05376830651174441,-0.018435070058521193,-0.021918095469886573,0.008789150911413239,,,-0.015856133551985473,
GRN,-0.0302263842975925,-0.004470337962839785,0.02967466007089833,-0.014008889494405513,-0.009088565133940352,0.08311597106615022,0.006413659627117134,0.04570965090372385,0.011174414503276893,-0.060815428765698655,0.006184455273856293
CALM1,0.09853459660686828,0.03887930374895494,-0.019297950159140233,-0.05872948767935747,-0.02220535266883452,-0.08693736671807374,-0.03227917891998547,-0.003727077574008899,-0.021467400444560542,-0.003931045166670914,0.06540850854895114
ANGPTL4,-0.06738827130074147,0.011313543595894078,0.004197540617949045,0.04786905652528579,-0.00664654435602571,0.0449327380619034,0.00021074956143336568,0.023370868521893948,-0.11386235604801388,-0.027990424806055576,-0.01606937744274337
BMP8B,0.03811109973483823,-0.002039080342657523,0.005140574750897279,0.0378909915603707,0.0505186730736435,0.004848286501414752,-0.027412389190856246,0.005652215216611766,-0.020834147841728913,0.02235876620039601,0.022903488453948028
TNFSF4,0.033039149827103535,-0.043804769341190895,0.024719059238463455,-0.013520283859441332,-0.037182434085791326,-0.03356583556392011,0.007146335431058889,-0.026386810098771092,0.14323285637425826,0.07525894434044908,-0.027890983004973738
RBP4,-0.03396367128579897,0.021627999239139394,-0.0365786583412453,-0.014817314626984799,-0.0265371108685408,-0.021390992427573845,-0.03159648220725061,-0.00306657899015922,0.06288017563885165,-0.021337438332553225,-0.0012240773955802273
DKK3,0.04778529171074366,-0.014360567832980809,-0.01682943544140686,0.003293466904708657,-0.03691300042236902,-0.07142489347836876,-0.030302684225601194,0.01837104437581581,0.03683331896540023,-0.010097889357426797,-0.023739996336943327
