,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.12705766269268134,,,,,,,,,,,0.04358193037611237,
BMP1,-0.066682482976073,0.03827413308887363,0.09148097075620898,0.05373682688889229,0.0886243866845767,0.015531256609208295,-0.031739445295600084,0.17144957822397075,0.06001180079874016,-0.03125516522868108,0.0315145565245366,0.02113049183150788,0.0376017505655065,0.02150811225925337,0.004999726547035412,-0.04683405928774977,0.01494133080350674,0.05827864244299253,-0.013849348837434371,-0.01620043134278132
NDP,-0.04641539336223315,-0.02753218693641764,0.011384391473349824,0.007093179926169829,0.060254100384796304,0.02124074124138017,-0.039289506469950365,0.03242535595844181,-0.019296753429986803,0.06390240406328855,0.006670093360396024,0.029541291254165387,0.012150528657007324,0.0689536685594724,0.008886481021715098,0.012559165721083147,0.016167664353051198,0.011121678441497671,0.049073075313461265,0.003335475747064298
TNFSF18,0.05839685406754376,-0.028592013637615116,0.060367535556892074,0.030084623298235257,,,,0.04965873718610596,0.009367955722657946,,,,0.020525858834465574,,-0.046192223826264374,,,,-0.049588345833691753,0.1322201107649941
IL36G,,,,,,,,,,,,-0.030802056996167136,,,,,,,,
RTN4,-0.11357024158436385,0.014719737790362397,-0.0023098882103360133,-0.0029469880479401816,-0.035173453470740204,0.02167528827017591,0.018689994742825913,-0.19993920416880662,-0.03541414249827733,-0.06971941787100892,-0.03836780387384307,-0.07238152032790847,-0.0337055076693796,-0.03439525593042801,-4.655989054251981e-05,-0.037910948836727534,-0.0020890467714665536,0.03598421147209286,0.0010243124344266785,-0.023552308892897014
HEBP1,-0.02836918147531812,0.04612503784983766,0.08237004265178384,-0.014950307427708056,-0.002588648736324422,0.036639303848222705,-0.024666353131558204,0.11881992757315968,-0.003734884511421793,0.01610094710815123,-0.0003689482195193344,0.028883929457822817,0.011468039080087065,0.08999997436232474,0.09775723930448359,-0.0023782386523583687,0.005251442419831932,0.0036645606776910863,0.013635943380520144,0.042869709912368395
WNT7B,0.03391560771534195,0.0763655138053762,0.04226862567504746,0.06019428110991346,-0.006754111130347603,-0.03960104389689295,-0.028836257163172306,-0.0777155473910322,-0.0372477143626015,0.04983612655721079,0.025521424451409265,-0.02347910018856679,0.07936943639537741,0.07426329040734983,,-0.0071358232959062426,0.05380480967323733,0.017645879218596193,0.03554762269329781,0.081374989310965
PTMA,0.010527572291044111,-0.03390327223618449,0.08411294075896442,0.051218916370627726,0.10449026584677032,-0.050796276800462475,-0.027542482909318607,-0.09323366130611452,-0.06289532762729093,0.004512017998177708,0.06642166356166619,0.06300851381034704,0.0016386051504217348,-0.07675671621340908,0.03573045778735229,-0.01485643210702621,-0.017640632113489367,0.04931297506138568,-0.08700455711090097,-0.031159709817014512
FASLG,-0.023672063902282506,,,,,,,,,,,,,,,,,,0.047458469783399876,
CEACAM1,0.11279990218255434,,-0.030987556782055236,-0.02262598211911312,,0.023430055354985792,-0.02295245555394049,0.06144366522942972,0.017446826026015553,,,,,-0.009885606040130886,-0.043306921932063654,0.0152900076956318,-0.002268892259295882,-0.011158583361396811,0.03395274627891373,
PDAP1,0.025190410581234224,-0.03786619851341891,0.048816983387040935,0.04417811157448086,0.05852876257378049,0.002460904675219991,0.023108681778545984,0.16055652591280217,-0.021324798142041468,0.028216526575667703,0.06140981108864792,0.03838062728831725,0.030784463945374273,-0.08482404003791405,-0.049332357477976964,-0.02580284196713753,-0.051408607470658396,0.015524241436022195,-0.0009503717308266159,0.009784035832652891
QDPR,-0.06041408581073295,-0.01178767862375279,-0.010880235686684153,0.05271755137949221,0.08377286487913244,-0.028659416025366174,0.03488287013484424,-0.2006660376419563,-0.031237881797374224,-0.04041187980014672,0.07657546721455176,-0.000765975052541063,-0.01293635510214873,0.04059539766481043,0.10623479380693786,0.0843258237775124,0.03910822163663924,-0.07654475430235856,0.061695078559855565,0.008506858780594588
POMC,-0.01987025205447489,-0.03244395848112351,0.05828192121038934,0.018798659296906637,,-0.055306444160696654,-0.005375908627007369,0.026312026031290153,-0.018555810086844204,0.010074545911131078,0.14461068230993993,-0.005940390976324143,-0.003157942348322248,0.07293404078292708,-0.09165858722805471,-0.00015842115404515194,0.027638749226390345,-0.04318692103526829,-0.03286315338965202,-0.00831579345924412
CCL18,,0.03680041109524048,-0.04109994161513058,,,,,,,,0.06891767287678235,,,0.06591658239943794,,-0.048579322906954894,-0.04746279664606023,-0.020471647241883585,,
CCL17,,,,,,-0.016804585243895047,,,0.005907787650163176,0.03370831544388653,,0.020919091621854038,,,,-0.02443066006751295,-0.0037134407274155394,,-0.029550340605976336,
VEGFD,,-0.0032255745046545566,0.01385801390209591,-0.022290986628773785,,0.00801485721915942,0.04780679015749193,0.129639882297701,-0.033101455264343854,0.028275630117601844,-0.018378677342525872,0.015386309379208327,,-0.04956379921431632,0.1893614888452218,,-0.016808252272594058,,,
TNFSF13,,,0.009695286556620502,,,0.0542160087733891,,,,,,,,,,0.05663361696160467,-0.02058562480147743,-0.016906558512776167,0.01309575158905135,-0.015211737839659564
WNT5A,0.05694070903538545,0.021708653395771955,0.01918536016088912,0.07781321096865018,0.07608944319530736,0.015863571209398877,0.03316350454875132,0.14865334623585622,0.04715335823979013,0.03700759577985027,-0.00447305740558424,0.028579651329580433,0.0976239084803347,-0.001971951175505546,-0.034748490048040565,-0.058645214259995096,0.037330786107115384,0.011508441097718295,0.007184822140172322,-0.010969337442418741
CXCL8,,-0.046498045156389965,-0.09590141256460102,-0.008804630496880655,-0.09610586497461832,0.033332648723111084,-0.01688456837131155,0.07630458825819075,0.01309120503040367,-0.016874241289589344,0.04156516934999332,0.009395656529151341,,-0.09874399848205119,0.06316302836678772,-0.11764642007834603,-0.1253290697478277,-0.03242857635429808,-0.0050829330591886076,0.03650023488699242
GRN,-0.04518976986179217,-0.016027238454405346,0.022896684861969142,-0.021793247634586475,0.09061359102411569,-0.029321208746678484,-0.036020964616378964,0.1420891492135717,-0.007334726603446357,-0.012567924698231156,-0.023143110641081658,0.0085800830665845,0.04970162277953454,0.12172078171729928,0.008223870907607409,0.00557875897114918,-0.027447957909171518,-0.021811338359353005,-0.06168924487620437,0.021632196407580316
MIA,0.05948593893877445,0.009604571384352356,0.03159546556006464,0.016675535132036665,0.02550566999764126,0.05428168301786886,0.0045461047981858885,0.059427815435792945,-0.03168801564752264,-0.020607817576335577,-0.009846875463402967,-0.007815419141097265,0.035532523936459705,0.09510456486740378,0.11427091752948636,0.11216174537126254,0.10618497312262702,0.011786341095513537,0.05784736700918108,0.05277106949087003
