,ZH8811Bbulk
BMP1,0.045622235955657765
NDP,-0.028485769357049728
RTN4,0.013516941390345571
HEBP1,-0.05731436863844019
WNT7B,0.003962798272186933
PTMA,0.05665144710775408
CEACAM1,-0.011422878755729065
PDAP1,0.03562833226096172
QDPR,-0.044445916198563175
POMC,-0.02337954228403748
CCL18,0.05675514209061927
CCL17,0.1757126173967415
VEGFD,0.0036257891174810916
TNFSF13,-0.04286131480214709
WNT5A,0.07511153156113203
CXCL8,0.035017134363856506
GRN,0.034973134165580975
MIA,-0.028061783640005406
COL4A4,0.02899588759402499
RARRES2,0.07315119336492343
FGF7,-0.0023832731898898733
EFNA2,-0.02596184014093209
HBEGF,0.033856856881705796
CSF3,0.0408510846165382
PI3,0.09842292384917428
PCSK1N,0.030867567664475886
NTS,-0.03162957560405173
SFRP1,0.08194375202064103
CXCL13,0.00978343998486688
MICA,0.0032894455794500793
TG,0.05995231495157607
ADA,-0.010383350312081764
LAMC3,0.015303059257153013
NGF,-0.009805432612828723
HMGB1,0.07447331300696482
ITGB3BP,0.0198052872916264
AANAT,-0.022504086074137522
IL15,-0.02135958190114656
BSG,-0.010416114531523359
ADAMTS3,0.006307334407328354
CD34,0.005547164582223294
PLAT,-0.013234684322375855
NTF3,0.007919613822684106
CKLF,-0.002310927263698336
CD24,0.04659103232715944
HSP90AA1,0.02813328299771567
BMP4,-0.016048685324528154
SCGB3A1,0.060704316146051394
IGFBP4,0.006482187496756362
LEFTY2,0.026682176055346857
PF4,-0.023795823911090978
ANGPTL2,0.009431540026412215
LRIG2,0.026097474250283807
ICOSLG,0.05326314195445045
NPPC,-0.025462665435874884
LYZ,-0.051055117865760585
EREG,0.06682868204967532
SPTAN1,-0.03311914879829306
COL8A1,0.053351093137818044
GSTM2,-0.06090543742653795
SPX,0.06930908130044876
MFGE8,0.030832205277294192
TGFA,0.016086241864541207
SLIT2,0.05185846771813152
PLTP,-0.01304799180558882
APOD,-0.016584772771368387
B2M,-0.009812065952245597
OMG,-0.04308223450015223
CXCL3,0.015604235821096345
CXCL10,-0.031917098190566574
RSPO3,-0.0027922482788863387
CORT,-0.024901120273937084
NCAN,-0.009281523305690372
PRG4,-0.03674312676448673
TGM2,0.01810716378090322
VEGFC,0.029472970275024813
WNT6,0.017407035900365776
PMCH,-0.010518513054494926
COL9A1,-0.026454593571460856
GDF11,-0.02444977364256627
IL24,0.04677417448520244
SORBS1,0.03062236485985555
DLL1,-0.030815214254880867
TLN1,0.044369901657834145
COL2A1,-0.017575511192635323
SHH,-0.021994821453057145
PON2,-0.061873329918891655
ICAM5,0.02231810755516124
HPX,-0.019762654560734987
SFRP2,0.056357640557646915
CD70,-0.00022080358123882803
HP,0.10377106241631848
CXCL2,0.12217643470051326
NPPB,-0.02848123967025885
CCK,0.00018270779010911377
SEMA6A,-0.014179547133457593
IRAK4,-0.039699617944156676
GSTP1,0.012448638388799109
VCAM1,0.054594913816996105
NXPH3,0.047684672129698194
MTMR4,0.02344625091150616
LAMC2,0.010898354843787254
IL10,-0.006264928221228222
SEMA4D,0.018393654547892033
TRH,-0.011592938538375609
SEMA6D,0.043094760502018624
CEL,-0.027350954458325485
PDCD1LG2,-0.0072669598000380435
SPINT1,0.04037690747960103
CTHRC1,-0.03902439702173669
PODXL,0.0012953110862117076
JAM3,0.021924010167580655
TGFB2,0.017487059012771016
COL18A1,-0.014738427322927678
NODAL,-0.02892478435384023
INHBB,0.04498962299008017
LCN1,0.036742148496635374
ARF4,-0.00654837885801669
CXCL14,0.11872472106019483
LIF,0.07485945695269501
IL17B,-0.04373686995392883
MMP1,-0.026407756761905547
MATN1,-0.039519883710240664
ADAM28,0.021675998188675008
TCN2,-0.014674275765019793
CUBN,-0.036199858723434286
TIMP3,-0.0036063922485020587
PIGF,0.0092181415655836
CRH,-0.03954794885898609
BDNF,0.04126917781385568
CCL5,0.001292806013788884
GAD1,-0.03928453630505647
COL14A1,0.015982907895979857
HLA-A,0.0603615404675247
FGF18,0.06716811154830439
ADM,0.054675417237309856
GNAI2,0.01193262036253425
COL11A1,0.02079327406713197
NUCB2,0.01691882030203777
CXCL1,0.02765522733125809
VCAN,-0.02590696470846519
MMP7,0.0823340108790061
PTPN6,0.004978828443531173
PTGS2,0.0341861955486004
CD58,0.018590256739600214
TNFSF14,-0.0094166165100963
CNTN4,-0.03444446195723569
INSL3,-0.026983280789767965
MFNG,0.04410196902830869
ICAM1,0.0504567001901585
PROS1,0.0793662781249831
CLCF1,0.10962496459738376
PSAP,0.05409454291137952
EFEMP1,0.10120515384457782
C1QTNF1,0.11056272170831365
ALB,0.011021739779127111
EFNA3,0.08148457413517575
DRAXIN,0.09172442775419767
RAET1L,-0.027315782412250095
NPTX2,0.11364907351345925
FGF11,0.009421875812352992
CD59,-0.002288821297328088
COL9A2,-0.06538228168333142
DLL3,0.01632121318990288
LIN7C,-0.0004830344595164134
GDF7,0.010701870843105263
PSPN,-0.009397478159075715
ANGPT1,0.04829085821796183
PNOC,-0.024901122983103086
L1CAM,0.0969230602836249
APOA1,-0.025212691761130706
PSEN1,-0.02543198882874496
CALM2,0.049738746094761276
CLEC2B,0.01995956329124912
NTNG1,0.037358005190619555
LRIG1,-0.04765032000637745
CPAMD8,-0.02630645564218587
NPY,0.003269470793938374
MMP2,-0.06140102297963821
PPY,-0.003983592676895939
ALKAL2,-0.06594247292661189
CSF1,0.035810053243926075
SEMA4C,-0.009901736849620667
ICAM2,-0.014159108758228164
SYTL3,-0.0010053928500748743
IL1A,0.04137912536819355
HLA-G,0.03681414895613999
PGF,-0.001082571082855941
