,UKF248,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,-0.01755367528747229,,,,,,,
BMP1,-0.049111424847711804,-0.024468148595128473,-0.08765386534506237,-0.12452380031046825,-0.046701005278196345,0.005847810145972145,-0.04532992576716168,-0.26221637638158135,-0.03555113091541214,-0.07356431388176819,-0.07393230011016404
NDP,0.006720327317123948,0.001755973428949734,-0.01439272587668311,0.031095425709141488,0.0435604837280409,0.04491036001077883,-0.024283266038206127,-0.06139745310978855,-0.012496662956280111,0.10154435384684678,-0.08836681154848025
TNFSF18,0.03348243567154455,0.02905265751343506,-0.0348846956092459,-0.026066680826123487,-0.018525842723123506,,,,0.018455459104797577,-0.026990928325820524,
IL36G,,,,,,,,-0.043004313178869484,,,
RTN4,0.014305530816442535,0.013481929333239114,0.20409995594210878,0.17045147880733877,0.13920233480991695,0.10598830919749191,0.22703712349682495,0.3794954456922113,0.04433539303105639,0.30016536277314376,0.02778440611477508
HEBP1,-0.03529416750420659,-0.005245148603302591,-0.0771654057662053,-0.04308783891222657,0.01167449979783683,-0.022397416387264234,-0.03181388950928769,-0.06145647057062596,-0.032174023798945156,0.03204151794229321,-0.07321371996239177
WNT7B,0.013991520535423487,-0.01548075034405803,-0.0236255267748169,-0.01182775048507664,-0.028977537534002056,-0.01240904526470562,,0.11865405463829799,0.05057301108588728,0.044340843398661345,0.11022751092338481
PTMA,0.018822663665245307,-0.0368407060264886,-0.2751317143602994,-0.04434295357966347,0.05552942733350171,-0.07460061483302274,-0.26841609302793823,-0.3811496738459033,-0.2092608101795554,-0.15135688221114107,-0.16669763226373133
CEACAM1,0.03220491863497182,-0.011880544784628865,,-0.03430226732004973,0.04655198921765498,,,,,,
PDAP1,0.02708387348121028,0.020155633200460647,-0.13061673067319968,-0.1206278409889851,0.03678087448885331,-0.027313345830137375,0.05488118615679679,-0.2055774578475493,0.0429311307951761,-0.05030693153249537,-0.06496074653865058
QDPR,0.076789803814728,0.049269887333760996,0.26315102103408394,0.09777636301555119,0.09690299046373314,0.013235855346922204,-0.18371493355499063,0.12474471923196834,-0.0877756443444838,0.2430608929403037,-0.10574513620198953
POMC,0.0023056880994318813,-0.021109832629309953,-0.008058846983941602,0.00294309164126609,0.0557725792053474,-0.023627771358555157,-0.042336556294207586,0.10561434209583473,,0.015842822659333327,-0.048967592941137866
CCL18,0.024475700286849266,,,,,,-0.0330602046264279,,,,
CCL17,,,,,0.02704920233447836,-0.0010483610264610632,,-0.0003104750089414594,,,
VEGFD,0.07526467334502678,-0.017016496817811595,,-0.029407114770458764,-0.001893251688379842,0.04308915778097604,0.08751240707136587,0.003469494457063625,,,
TNFSF13,-0.0003868409219691166,,-0.013002875091209324,,,,,,,0.08221493563405417,
WNT5A,-0.06369879076390442,0.020405222914748267,-0.1595035497071533,-0.041488337235427414,0.022960583108986254,-0.05062508701761083,0.08229851170491877,-0.12330865398428399,-0.044201548028028975,-0.14049211467413084,-0.04192818130984958
CXCL8,-0.015246426257501425,-0.015933239020266304,-0.04797068887643023,-0.05847267661636971,-0.040626644217382,-0.019162494939158004,-0.07151904448259176,-0.0939522384984934,-0.017039921398213222,-0.15217625855775146,-0.062130991627664736
GRN,-0.06350978764907561,-0.03741305283316237,-0.145964344257493,-0.15302601903328175,-0.008155973716479163,-0.09023895122726991,-0.1705047291622536,0.031546597155178886,0.1057776597101534,0.07854928012910588,-0.08750031372552658
MIA,-0.009381594132851443,-0.015133282258093468,-0.009169290927641715,-0.050143693546111215,-0.01204523323988168,-0.0039871808068285925,,-0.044423503470037436,,-0.1489109935391749,
COL4A4,-0.01604234418663527,0.028107473128511817,-0.021492522701270753,-0.017297844071321962,-0.02412268223567119,0.017007645096895306,,-0.05593514393954567,,-0.021508156672153673,
TAC1,0.12423490272812726,-0.020950825424074938,0.31068883122716817,0.18360488296094915,0.1364519669797301,0.053533794490680735,0.17063331494031458,0.33976465572370995,0.09547153325412061,0.1938849854860475,0.0276104149455589
RARRES2,-0.005928559449347011,-0.04597084314389171,-0.16090059961096118,-0.1397903368745017,0.13136050186211864,-0.03677587465687346,-0.044412244691191274,-0.21003945519761463,-0.03377010395919692,-0.12019077998640426,0.046316868184680074
FGF7,,-0.019206263144139115,0.015791138184163032,-0.02150329226414673,-0.016381640170676073,0.01566128161807152,0.023957985354481473,-0.07547961587592672,0.1752419019049141,-0.00853692045216513,0.032617452471652146
HBEGF,-0.02805101017249023,0.028087939494507046,-0.11503806226711095,-0.021232209044524844,-0.11693817616872292,-0.02567889160884771,-0.0781881039216526,-0.10047036195262991,-0.04181716662883408,-0.12184225526143812,0.019397146492877496
CSF3,,,,-0.018300786085304086,,,,,-0.037074281347873474,-0.041194606506187684,
PI3,0.00046195479686035227,,,-0.02060692667628384,,,,,,-0.05732623378495648,
PCSK1N,0.059885006314556996,-0.015926180008495473,0.13877556954164133,0.1543895597618739,-0.034129088109511145,0.13142565561973793,0.28644412917783807,0.39835776587438954,0.14358225823561907,0.2772913511390416,0.11554697926163186
NTS,,,-0.052912340698394386,-0.022493867525373766,0.03582848975239971,-0.07493539068734273,-0.048656372300844,,,,
SFRP1,0.023997337965070458,0.006254548578886264,-0.05894796402255378,-0.03131768127518849,0.032293022883961096,0.039770924713596535,-0.05462833752530313,-0.01016260627064074,-0.045646917078266624,0.010187139027656694,-0.043009907530625946
CXCL13,,-0.028728176559367668,,,,,,,,-0.0776967039107743,
MICA,-0.06578308334371465,0.016724777453813813,0.008269233735385302,-0.05465225513979489,0.006530459548751034,-0.0013187709997789312,0.003177363405316812,-0.11708234859568822,0.09353292483550676,-0.06412785531404977,0.04683944323193698
