,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016955642299783226,,,,,,,,,,0.04657630792349352,
BMP1,0.03959022244970837,0.054300259351150265,-0.044051929918198555,0.007646106517046316,-0.005218846025814148,-0.008826353993597751,-0.019935074632935496,-0.029615375358342064,0.10844855300101332,-0.004377607121539481,0.06986359269610048,0.05540412294077632,0.04687637029708687,0.07180915952896022,-0.059109389252412485,0.015323024503479624,0.18731889445996383
NDP,-0.08081163138608852,0.026491289973767203,-0.049671731535485764,-0.030891238165192115,0.04496656874807123,-0.0059199664133292125,-0.01587563546200076,0.03221469031717263,-0.0364092351416522,-0.018641683231900918,0.1306620308315715,0.02086632901096355,0.04755784367781146,0.037578337245329295,-0.009814899066223431,-0.013202636170725899,-0.09517052293041244
TNFSF18,-0.025285683347032496,-0.0010059808914078194,,,0.04502625674219629,0.006194909985222748,-0.013134252820001887,,,,-0.0290710958246395,,,,,0.0017655467438378025,-0.06003093031145498
IL36G,,,,,,,,,,-0.012063446676939213,,,,,,,
RTN4,0.06729820837683549,0.07764068766632204,-0.004927556464839508,0.08219043265616967,-0.030218620125519177,0.01511402296754935,-0.0176262481367746,-0.06817976577372382,-0.0255895041209376,0.04557723369555203,0.05569776016965863,-0.018055407497992403,-0.05332541738481737,-0.009428710213843158,0.07036188450228444,-0.03964661798651611,-0.04504266917674916
HEBP1,-0.00841638189628198,0.0444510724148265,-0.023592203738974304,-0.035706423624039405,-0.001124353619436032,0.07802535916210228,0.036820269458056124,0.006547551684703436,0.05022020301554442,0.012251197789257954,0.014419349142415175,0.06475845907762871,0.06267225581142663,0.06821509709813463,0.04077667558444562,0.011601811264211798,0.06928225641957593
WNT7B,0.02181075528649963,-0.00863314024296242,0.06472362319825682,-0.03549191432362737,-0.05974978471638673,-0.0009338396923063,-0.02285451048105024,0.013064013011429539,-0.03176315393586306,-0.013259118106433859,0.014654212507892058,-0.015293624209695789,0.013588037562183892,0.04080084519017,0.02372521104064197,0.040554860964735664,-0.011830047441936047
PTMA,-0.0282409450217227,0.001824792434733423,0.0640729105998293,-0.04680110906967644,0.027748727636260573,-0.052319176958254346,0.023278153115059513,0.00590500246306592,0.14797989352410856,-0.045937674524314,0.02601771089806885,-0.06666026814656982,-0.013225985050824953,-0.0036963951052435312,-0.0467769361112267,0.09725541020704084,0.10831733886225628
FASLG,,,,,,,,,,,,,,,,0.0009022368466773583,
