,MGH258,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,-0.014863845628345078,0.07164221792966712,0.06767191374794829,-0.013233202201390848,-0.033482845819235996,-0.027188964221272555
NDP,-0.010123532372643657,0.0826297484884748,0.09895849583371483,-0.022396535823774502,-0.02805648190507835,0.028891976002946636
TNFSF18,-0.026663112269794342,0.06562788850909582,,,,-0.015018574137260352
RTN4,0.007768234048923227,0.01348225631322306,-0.031001505890816107,-0.007785533489699748,-0.08471017692967314,-0.027972427562703482
HEBP1,-0.002005508015684321,-0.05969441280923551,-0.030706317931357918,0.039056058304501005,0.018247317565054554,-0.02008206752631954
WNT7B,-0.02348936679778979,-0.034440351375697516,0.05870679517026671,-0.04136335132515797,0.03111692757507252,0.10646827726515905
PTMA,0.05222408685346281,0.07234840605504005,0.15115258455004088,0.0560844496037937,0.041818674924176374,0.04131125587336982
FASLG,-0.023489373438173613,,,,,
CEACAM1,-0.032615200590553096,,0.057599575293529985,0.015004510018546479,0.009818674580623635,
PDAP1,-0.10435593214505683,-0.003696764924527045,0.08278142638678662,0.07003177930479973,0.00015799143293766303,0.06450227410225298
QDPR,0.07465903760098289,-0.05013287173028134,0.09564828656559413,-0.01694065047238373,-0.03772670249132725,0.038905104307866305
POMC,-0.02081825024832149,-0.027485680133521546,-0.024728355012737614,-0.009924697104185925,-0.017586238554737406,0.0006403243214505351
CCL18,,,-0.037005153737758714,-0.042415320019093726,0.036151401580403635,
CCL17,,,,-0.016443616558208494,0.07501120097449339,
VEGFD,,,-0.015125959223945456,,0.04487489014541758,
TNFSF13,,,,-0.031552830306102564,0.07555890280737887,0.012174768878433604
WNT5A,0.004401713805505026,-0.048203586908118976,0.06963827116837346,0.009339285707167142,0.02395142903770318,-0.0038819358103069123
CXCL8,,,-0.07756565190335929,-0.09245975069798697,0.03491990061831938,0.0002004310384242435
GRN,0.05365227615197902,-0.012961299550306433,-0.020557526385039285,0.06288936052103059,0.041839311500841844,0.0057684235539715144
MIA,0.09414752958094479,-0.04641632296174917,0.015157875775233155,-0.0873510376714182,0.11686320179588947,-0.02829937235888601
COL4A4,-0.027203556606312813,,,-0.021282554077340844,0.02488444559830346,-0.03826180498611558
TAC1,-0.0036393919571025245,,,,,-0.04056299335177261
