,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.004958390911750207,,,,,,,,,,,,,-0.019733526850763093,
BMP1,0.08679641301210976,0.11296994606653091,-0.0018302243372718611,0.0903854867851165,-0.0016738079392697026,-0.029972937368041793,0.0660337777148095,0.16697975193327916,-0.017096042831474378,-0.023348808024712706,0.07306958722805657,0.04704034448691975,-0.025617214273329265,0.05652642496549778,0.10185145555331225,0.03053082259856308,0.2310718749834548,0.15290339596006047,0.16152721394953987,-0.07580001326000702,0.11251510622353507,0.13949390915854562
NDP,0.061413662996937304,0.03310220124051597,-0.01513716725458631,0.11337396223286954,0.10702091686120137,0.08372235855931026,-0.0020449173624336333,0.052739114592986296,0.05167383752843137,0.026742667492691583,0.04911821012117988,0.014631230915662286,-0.026107239015629877,0.14194149966362246,0.04122356933977024,0.07428799426114996,0.09389063781587918,0.07027624846525089,-0.06273434664312588,0.09937662150185671,-0.013621875136604598,-0.03733126960505862
TNFSF18,0.04343899420515165,-0.0063047049131901185,0.0029826222866918646,,,,-0.010352980186119186,0.0890575098899908,-0.013749101051254693,,,,,0.07830065345424103,,0.18120629432706986,,,,-0.03947957751932804,0.06720722519322973,0.05798494871647278
IL36G,,,,,,,,,,,,,-0.01664519492895137,,,,,,,,,
RTN4,-0.07407920702617762,0.04769096311058954,-0.02920915062920254,0.13278998298558028,0.027446573200996183,0.08721791002459643,-0.10821292218971935,-0.17909971819621015,0.004245726741483384,-0.021314672144832993,-0.0699164294584645,-0.014349375058383127,0.03982110709900613,-0.01728107101176316,0.09077183355412308,0.01957192702714114,0.019854688424059096,-0.01565396208407331,0.03672596188360712,-0.07872751042395401,-0.04360593699026858,0.0012420699290192755
HEBP1,0.006147130755532699,0.03636686109916053,0.02072691345879916,0.07254582570961726,0.0573205349872105,-0.030312015604393398,0.05765681452641045,0.08181182175965848,0.021964252907224223,0.037327048364100356,0.03756417812127567,0.05546260564497505,0.025251284930847277,0.015209868521826986,0.013625414043780254,-0.11065226124604259,0.008919743821238465,0.0245008979757727,-0.046546699439267765,0.03407939086999869,0.004590690359174229,-0.018695409344647588
WNT7B,0.1095542141613952,0.00126781371648313,0.04794350353954995,0.029042618105727305,0.0016123940732089483,-0.04491317657764835,-0.02910921421847602,-0.05828296441493995,-0.010318869067668084,-0.029140056321166095,,0.09102788459056733,0.055785914796913624,0.08187746160713555,-0.024485109570232658,,-0.030783488606394863,0.021414972367978048,0.025223539584002207,-0.03947953658197185,-0.0589985671161843,0.10741661947623954
PTMA,0.01128087710000027,0.004711192516950579,-0.05432431979192153,0.006478214559881501,-0.040216129778512966,-0.017812274677704736,0.1823131540993477,-0.17725283692960048,-0.022810377950727,0.020821409929290692,0.09338158375224447,0.06290958480924731,-0.0610492167387171,-0.0012162370239520023,-0.031701871449021944,-0.10938285318567162,-0.15005689475926046,0.034493926087979784,0.1031307569754723,0.009816497633679892,0.1806669393702268,0.1103535640818285
FASLG,-0.027098474488583667,,,,,,,,,,,,,,,,,,,,-0.03583005537600966,
