,UKF248,UKF259,UKF266,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.006614816905751362,,,0.05989147616497799,
BMP1,-0.022723767818116095,0.01608705996495477,0.011756869706747188,0.02137078537765057,0.07597847027597306,0.08225792562101078,0.042772122455099114,0.008313166615628564,-0.05250398479836615,-0.07063195071347522,0.04429985279161167,0.08564165315245006
NDP,0.048868789681965445,-0.0058957092448634505,0.0072531353296219625,-5.7788866890736175e-06,-0.0688634366705889,-0.04259214524662931,0.04889980941395875,-0.016203311643250617,0.045569283954172056,-0.017481553509011566,0.06715637996705635,0.031927810201204186
TNFSF18,0.03148116345492256,,-0.01413067525562529,0.09211400897319251,-0.04155880655725696,,,-0.023237728233075763,,-0.03819603933152837,0.06863991371412088,-0.022123553827350973
RTN4,-0.0071143566283682,0.012768925406663616,0.07403921663136653,0.05406146785735182,0.025517660179946746,-0.006557840354287333,0.03386332783192925,-0.030642485703071806,-0.02453834997542895,0.017809677138073687,-0.015179726910736824,-0.03666144761726031
HEBP1,-0.015602768611570056,-0.05750343944455889,0.0161877131001583,-0.0179424826358306,0.00617643168300663,-0.014340355300054928,-0.009775498634913617,0.02355161537686255,0.04303958081722619,-0.06601603024112523,0.012034559486659813,-0.004101965854622083
WNT7B,0.030327302799293132,-0.03014978816174999,0.058460444104992064,-0.030520095349847606,,-0.02723584155609114,-0.03232381986887871,0.013849309820117676,-0.038632291906929676,0.07276171559622502,-0.022927747256071548,-0.05489107315929565
PTMA,0.01983214588755446,-0.05078820070788344,-0.04834588695893864,0.01556207434704718,0.012786242270090276,-0.0025295555088916777,0.023260585003083745,-0.021913247680848683,0.11454554659947208,0.06300533958305406,-0.02435565349465746,0.03950763807988348
FASLG,,,,,,,,,,,-0.017673827456848902,
CEACAM1,-0.021128992807348854,0.020263156238524607,,-0.016745996129576765,-0.029222894136514767,0.02713201448923782,0.01368221187084716,0.0006242467327484937,0.03685014646741285,,0.09490479313732411,
PDAP1,-0.028312116865186775,-0.012059447072272092,0.0037634344881656567,0.017734297185929705,-0.06514520604920135,-0.041722176194792744,0.01014975474561518,-0.029785255223507966,0.06019758393559477,-0.0839314736373807,-0.024928569684455955,0.012272036843599704
QDPR,0.02631200002197903,0.007471854008995557,-0.056472277730656384,0.034034778235936244,-0.05160921306102048,-0.010691681279100178,-0.03161677280652091,-0.04238608596989414,-0.046482604704214746,-0.07533222828882098,0.08983649077012175,-0.04590671999162015
POMC,-0.04206278188717049,-0.004538516403556366,0.0035865711528360595,-0.012354528249030876,-0.0038715551411547945,-0.02278192668346672,-0.005882675059907534,-0.023850812288848104,0.0067079444670454106,,-0.03321379577147707,0.031226668663247758
CCL18,-0.026366986671240926,,,,,0.029527148740910045,-0.022659287865469623,,-0.02235479554441052,,,
CCL17,,0.023102640216086857,,-0.013279517579130084,,-0.027966024759870617,0.13186712345684162,-0.03517340858648335,,,-0.016019339472068683,
VEGFD,0.02538939011429227,-0.022481450012794682,,-0.014148202783512946,-0.039727884193121496,,0.048827899691219874,-0.008541475796785934,,,,
TNFSF13,-0.019897380572105803,0.006851215548265898,-0.013703807172811357,,,-0.01874880338330888,0.034455152760621936,0.020680945225338136,0.03806988671540272,,0.04073875438810191,0.09529441970949938
WNT5A,0.0015011987101772248,0.013892208925886287,0.03437571146593441,-0.060862749922966475,0.03414539097353598,0.052091357434637074,0.00798708134490622,0.02535257836186401,0.0014558426572249467,-0.08356965264787228,0.05332319094761689,0.08204834065136865
CXCL8,-0.04587466977109787,-0.0007580466096072365,-0.019492776885962508,-0.03732512761533439,0.15340779538527874,0.015127826070695396,-0.005484479408462758,-0.06667247917732148,0.028472241751836297,0.04031005213668837,-0.02997955696266552,0.03742176147690662
GRN,0.0035228161269479264,0.028009494784000243,-0.05439315169331327,-0.05369054806274752,0.028153309086371498,-0.05270710905816224,-0.008220204779779972,0.019797985216355615,-0.016543380270931832,-0.0332721965917367,-0.023905530971031486,0.04299957400666278
MIA,0.05344620139272331,-0.04248985582185883,-0.024779126301311724,0.029826874872416052,0.05024531909806375,0.11778528812445697,0.017233005385227984,-0.012905293718562685,0.03149968097884906,,0.03445512358624375,0.03229266431740081
COL4A4,-0.010569348454280777,0.01885565601821917,-0.013038567085030301,-0.013864227203243833,-0.031107715733359433,0.050215493936835755,0.008581703763087116,-0.0014350109503682039,0.021460706012748687,,0.10799685663537237,-0.043691328847883536
TAC1,0.008177579764413648,0.06210821503910344,-0.06676843999087857,0.03776516570277835,,,,,-0.044237708760562704,0.02259022144826586,-0.0017823645429391936,-0.010942530985721637
RARRES2,-0.044232871088790066,-0.012702274802925316,-0.007483144262580438,0.03948323434269437,-0.04866315260343219,0.03363380172821928,0.016371537130746072,0.0031538067332459456,0.05619601434728646,0.03965619799790395,-0.03691267519798954,-0.03676479937476352
FGF7,,-0.0018804399939690518,0.03583151771637631,-0.002478504551335657,0.02329393040964711,0.006121863489543739,0.0029428646395185045,-0.025810476624514484,0.10025466872840122,-0.10941986093738656,0.04754469792521146,0.029649592978949597
EFNA2,,,,,,,-0.03355673869323206,,,,,
HBEGF,0.015596873208408506,-0.018774371943176098,-0.06198205779149201,-0.05685138240660108,-0.03590957433626893,0.011890769109081689,0.02321872345326337,0.05534669379374864,0.04446510214263583,-0.009008305361351492,-0.07082591773063943,0.08241207975941173
CSF3,,-0.024051411309436884,,,,0.04367953727629106,0.055463386604322665,,-0.036759609362974614,-0.03432952129770401,-0.016865893189293178,0.053052672638298326
PI3,-0.002827533799669698,-0.009814507191823018,,,,-0.026177333399642608,0.047638126059694405,-0.03989988919641197,-0.006186793307653741,,-0.036643982756621424,-0.0004625513566663775
PCSK1N,-0.010204587496105635,0.03570835490751105,0.008344253173404334,-0.0006467323344653868,-0.018478228177185422,0.15785201325027923,0.011075144242001175,0.032702225148334034,0.012948302460111985,-0.08614847717767761,0.01850002778130022,-0.023782753047019024
NTS,,,0.09970231741997788,-0.015838267966539643,,0.017285683234301217,-0.040882518256076326,,-0.004537333196722735,,-0.024976087959613917,
SFRP1,0.04071177415368539,0.046817158907498754,-0.0036318163751837447,0.054820013218021595,0.0924207694110487,0.07140007718615086,0.060878720021713593,0.0011324867226764734,-0.024492453804871677,-0.006283030892955822,-0.006902625768334953,-0.0023992612685688063
CXCL13,,,,,,0.0021850838663211155,0.024376429709350014,,0.01832639362575586,,,0.04982846512445123
MICA,-0.006403687225419922,-0.014467032284181546,-0.01225071695437321,-0.008401560483875905,0.03289600172773536,0.028865444349519934,0.030889015344346186,0.028264228106135957,-0.040416920532396226,0.13206423755968844,0.015295376315832606,0.09295996950089834
TG,0.011958628255245046,0.011689166641347604,-0.01837256161100748,-0.013378611417638507,-0.0004625756655970394,0.025164035601516928,-0.018251805301887452,,0.04779910770611868,,-0.00635850519932007,-0.028292149270760805
ADA,-0.0028224114429008422,0.014582426127931222,0.07346983883362057,0.018690262263048665,-0.021244141354542403,-0.03223524418731394,0.05079955721696961,-0.009476743544378602,-0.021309908513162664,-0.005531894994648398,-0.01664250989627697,0.010881112940203849
LAMC3,0.0068479066920384855,-0.04168561668363954,-0.020116172814555522,-0.0003426802983443483,0.024540970619793375,-0.06501315493582817,0.05369429443429037,0.03412097795691384,0.044003781693975806,-0.06747986106005217,0.05997681699873249,0.12912193758948687
CCL7,0.06719514885136045,-0.01373736069315961,,,,-0.05959469157124547,,,,,-0.017673821172246817,-0.056266968968175186
NGF,-0.01689263234766863,-0.0126500623974922,-0.017532351610695128,,0.010212005026778957,-0.02268490411304674,-0.02110894958718296,,-0.006464005659669713,,0.11317691170976547,0.0995812577612162
TNFSF15,,-0.015297223017537985,-0.021288118526434217,,0.04350478366313213,-0.008842451021187485,,,-0.02282708632978117,,0.07917851323796582,0.021680691259238133
