,UKF259,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,-0.018439175398378856,
BMP1,0.0314657973091383,0.06197675605168451,-0.061425154152373165,-0.01757092423137384,0.01905178617419403,-0.07114737588154307,0.07811191311940353
NDP,-0.0055530264529572385,0.06510872841186068,0.04687991280977796,0.017079365635599603,-0.030702108567241787,0.012479588268822011,-0.034296261082209505
TNFSF18,,-0.025257711380729422,,,,0.1690690285520783,0.03434514993396633
RTN4,0.05530264240267612,0.05697378697203684,0.0887521087596412,-0.006202570285891771,0.006059229754629739,-0.002083395218201299,-0.06632707666198812
HEBP1,0.027821572174288312,0.00551609619652463,0.030148963931186438,0.03468265219190147,0.015715040123469592,0.006867797022428505,-0.019007820899613934
WNT7B,-0.022753993461543644,-0.02780627494091156,-0.016567674818687407,-0.02990650933994064,-0.03444587892164438,-0.03976398623635436,0.07446962358118542
PTMA,0.01324874011521044,0.043478526134024795,-0.006273485828849194,0.0275034938440957,0.05239660471147185,-0.08080787103623131,0.03330349103704642
CEACAM1,-0.02627433897835939,,-0.04178470431389035,0.14106016432955779,0.007665576405047603,-0.027324001124397288,
PDAP1,0.019895108266676814,-0.02985574567291142,-0.14787583731242918,0.008644556957198945,0.034383804793983806,0.00825592552006399,-0.011389769683277465
QDPR,-0.04459634605444533,0.03500096810385,-0.04624415494760647,0.06494791469954343,0.0322330793384507,-0.08016589707899274,-0.12561898690903744
POMC,-0.024467730499159894,-0.04298631642876809,0.003326565574281206,-0.01763903740770979,-0.027096882056582828,0.019867175323606087,-0.045453528434044495
CCL18,,,-0.03582819945019732,0.03136960986565289,0.002983239471162682,,
CCL17,-0.015228931843954545,,,-0.011889055321331289,-0.024089345133438588,-0.024310987623443452,
VEGFD,-0.01696671180085197,,-0.0403644716057252,,-0.016687424666688527,0.056913418916895823,
TNFSF13,-0.0105045763524009,,,0.051516453330002376,-0.026184294571540197,-0.026070390253607908,-0.03331248963796965
WNT5A,-0.04739445493130582,-0.03531950133648234,0.05248379249142995,-0.01915390720034357,-0.01515231631113308,-0.0638657297236456,0.07054952652652025
CXCL8,-0.02299427313450072,,0.07428083317075108,0.02048061774239849,0.057398649488793994,-0.018422489042382226,0.09570099786058518
GRN,-0.012634783763406389,0.08449921896321291,-0.003330274644087886,-0.008136242962373441,-0.02961250528238998,0.0017344788457800716,0.02605967630150428
MIA,-0.0220940904042125,0.11145882222906002,0.006961407144524271,0.007298830180303236,0.035259594814039355,0.013147998601659187,0.05804300374488253
COL4A4,-0.027967888273024665,,,-0.017735419230430958,-0.026719176118944542,0.018008924434195984,0.03217699849434351
TAC1,-0.021334250896310462,,,,,,-0.017750506826746566
RARRES2,-0.008981328472514608,-0.06168766724027203,-0.05886038068569874,-0.044745038954571645,0.009896517869536695,-0.03565002667854461,0.128406912687504
FGF7,-0.026994694677178792,-0.05512188969532022,0.07962012366919592,-0.02301796048194702,-0.0162726981601854,-0.06130515676152381,-0.010327119199796411
EFNA2,,,,,-0.01586028037187858,,
HBEGF,0.013491657159853699,-0.08553109823279754,-0.10487130701472942,-0.052157086689078605,0.08562355503858946,0.03463077608917205,0.18245399812686197
CSF3,-0.018151558901170695,,,-0.005260534501134259,-0.016565891874586944,,0.07665947486719166
PI3,-0.012772057298406839,,0.028788366509324648,-0.02653141543466695,0.008318063728491093,0.02800040907743309,0.04529058824731254
PCSK1N,0.025297218933053374,0.07608316447147931,0.011183280402800606,0.08037443797682442,-0.014809695961945507,0.03651162486627604,-0.10001833002211048
NTS,,,,0.0720086508048367,-0.019322741932027813,,
SFRP1,-0.013287831686745421,-0.015507479076392458,0.036174330637344244,-0.020273043185904213,-0.023233218934261148,-0.07929038021673687,-0.01804039745324451
CXCL13,,,,-0.02670525584958979,-0.04074958156631523,,0.2402264034096412
MICA,0.010088647018946115,0.04104756883688308,0.09158734613972266,-0.02107719166542981,-0.04145920913233111,-0.0016057799064444665,0.024862376204547683
TG,-0.014339675637560076,-0.032368936522709016,-0.05661160060594716,-0.01579758208786333,-0.023798068982382476,,-0.00632499067462174
ADA,0.008220090480867066,0.09600719942985549,-0.03491040679768388,-0.015533167343875628,0.053606246890549485,-0.03889888947497717,0.15290423631005712
LAMC3,-0.008659376281961782,0.06561251865723157,-0.03544509983289185,-0.04208115071576811,0.030628761931940595,0.10016312542681913,0.02323534508200952
CCL7,-0.01036756257503593,,,-0.017818953492030692,,,0.05552844626459203
NGF,0.026860334796070612,,,-0.020579464768210463,0.03617931310718807,,0.06373561913766873
TNFSF15,-0.011544787998292559,0.02232502353922772,,-0.01737147875882441,,,0.08297702063669073
HMGB1,-0.0010884716668042055,-0.047770299957554996,-0.007657044322529464,-0.01482795756313107,-0.008153276202808429,-0.0883553426609889,-0.12241664925369647
ITGB3BP,0.028063850944863473,0.03627640625941456,-0.019863011536133554,-0.035714426023247973,0.03963493266957617,0.030542712563688797,-0.013791898098512308
AANAT,-0.01050457747353434,,0.12262787423913628,-0.01563225009622637,-0.021343641692851682,0.04232520826264583,-0.023913210777194934
RELN,0.0469412071366818,,,,,-0.008573380263124673,0.00011342965752038355
IL15,0.019969464125864658,0.016815917399196852,-0.056239099561291,0.0009852540173778785,-0.03869582386983944,-0.03744910650880985,0.09704653659957446
UTS2,,0.003648340762632147,-0.02843858256257492,-0.01331200504362101,,,
BSG,-0.01954536655562424,-0.009065933868778554,-0.05136368744436548,0.010674625554851143,0.008988296703563626,0.02381540571239166,0.13181819264464684
ADAMTS3,-0.006704326564728199,0.03238566925229494,-0.036412012889384705,-0.04703681740138641,0.034013817811350204,-0.04659444817974246,0.06854083735789065
CD34,0.032475695625883295,0.05939181455447214,-0.054886541774007834,-0.012713261611250113,0.09225236054941151,-0.0024185164037041204,0.07933062338722519
CCL23,,-0.0020069424221882954,,,,,
PLAT,-0.028806821264243897,0.021591564044700577,-0.05999349854386491,0.10544802920560456,0.04281936558049924,0.04929261596222816,0.02356893594444673
NTF3,,,,0.026432787087350963,-0.05943965526294435,,
LTA,-0.013287831065119765,,,,,,
CKLF,-0.019005150518399273,0.06374709759028897,-0.09763923415181272,-0.0350548853888311,0.010381339731143175,0.004393672679097308,-0.04318615091335475
CD24,0.017181145339552763,0.004722192523379926,0.00846693439321068,0.04179793550565952,0.002744104559558913,0.0329008544298036,0.07171775168900392
HSP90AA1,-0.028116602873436668,0.02768654974311015,0.009975851628297654,0.0009914865986554832,0.02594916620842614,0.013201052090970552,-0.09972001500126942
BMP4,-0.031002105013136497,0.025548376434441057,-0.036876836641923774,-0.043817141346418044,-0.04414676557535978,-0.03234646267514391,0.01916154002309837
SCGB3A1,,0.009690414671674046,-0.04036443236781587,0.005901962757380736,0.025905502287898584,,-0.0051978081654297115
IGFBP4,0.02036278509957623,-0.016737861262233412,-0.12961586127824667,0.009844050307726048,0.008388102812512226,0.01215262711375597,0.0937907481818685
RSPO4,-0.005283320994116788,,,,,,0.12352334501582878
LEFTY2,-0.02969050287793887,0.08557364053309144,0.029221829897856842,-0.015126273677599333,-0.018236472856214932,0.018761496845772215,0.03915496561964674
PF4,-0.009045494093556969,,,,-0.01453704501919044,,-0.02362103017251524
ANGPTL2,-0.023027900048644648,0.050524938070773295,-0.02116103147269314,0.020454825904661883,-0.0007053628825106037,0.002846351637463093,0.03673383414027477
LRIG2,0.017672563763955283,-0.01815948664722733,0.007885368396025215,-0.01242402113083948,-0.044070525860227173,0.015287850792384351,-0.0063460333176046215
ICOSLG,0.02990816788282465,-0.05650803093066802,0.08600408241094518,-0.04175980932133117,-0.027827698176263026,0.011170187784904159,0.027631244590294993
WIF1,,,,,,,0.027806835744059004
NPPC,-0.014031792016072058,-0.02487458429902331,0.22832618794730009,0.006588863587236693,-0.027505063739887394,-0.02852947411459666,0.05192929494380818
LYZ,-0.017741346501293467,0.012875466657170574,0.005839907634567883,0.012477300589176092,0.036916944287042494,0.006410727914989752,0.043113432962675315
EREG,,,,-0.024537843465966103,-0.02605227984910584,,-0.02719480305223576
SPTAN1,-0.028083972621101447,0.045586715024701095,-0.030961955739058532,0.023779153812195412,-0.012926605521273466,-0.04786442686661433,-0.09689876216347384
LIPC,0.001862811305758537,0.030487273617769102,-0.03635573501207719,,,0.010791255386618707,0.04351766265065701
COL8A1,0.027697355932582293,0.04336479959038613,-0.04507310172804704,0.04352260158595912,0.01822605120692996,0.002862987551811336,0.10861409963288537
GSTM2,-0.03987479498004375,0.15147122434195842,-0.04470449719526883,0.021438750481514942,-0.025977593101771328,-0.0504088132847762,0.01599571663093735
IL4,,,-0.034752612949143634,,,,
SPX,0.13825825434223646,-0.010492163799081562,,0.005726271227330657,-0.018049599495879757,0.05238236761434176,-0.0396526731458823
MFGE8,0.04250739949077035,0.040025958455155726,0.05238410707543173,-0.030605353203559407,0.017678389319304967,0.04039592668283725,0.11246207344295747
TGFA,0.05603909225718965,-0.05412248043406403,-0.0322278503767072,-0.031074517269918143,0.0078006870307816304,0.007835262469082883,0.07534522538179833
SLIT2,-0.021521742108051033,-0.021021415426297124,0.02663597982931517,0.022274569724958965,-0.0319731691305671,-0.03014819444489388,0.05764458562006612
PLTP,-0.07439236434452909,0.017120146423600376,0.02836812836154555,0.025155526509428733,0.035729092533783424,0.06179374621210958,0.06461014747095194
APOD,-0.02893061789063621,-0.06667273763852441,0.09789016143345818,0.01955847519517706,0.015254632202708068,0.017996496718818734,-0.07016362326503885
B2M,0.005156613753221206,0.06858997112686069,-0.09176837212236354,-0.028205414294090122,0.029799690963743092,0.091362666855343,-0.05914875902123707
OMG,-0.010006103093529155,-0.07507165643879815,-0.07300596849483906,0.020463317169869655,-0.04428994627736521,-0.010845667797890092,-0.09519040820267359
CXCL3,0.009103999877588084,-0.025635753610066956,-0.033255612123278884,-0.060287194699966344,-0.012377514340144745,-0.02117665473147821,0.09380912865785565
CXCL10,-0.018283803721203074,0.09201435115727996,-0.07490569545611417,-0.01840035543117454,0.06725285941676347,-0.028529471012486044,0.051001414517592526
RSPO3,-0.010504576697364997,,,-0.04047356604393002,0.06682705304872548,,-0.04463460704793169
CORT,-0.02355731983921757,,,-0.020318322539860146,0.010923027371972429,,
NCAN,0.05010383303502895,-0.0749731661941155,0.034271579831898324,0.02649693363255479,-0.00034162966747110175,0.05404791207793505,-0.11833953501334865
PRG4,-0.010367564190666659,,,-0.0195166850794267,0.10418064744028487,,0.043529123112492074
ZG16B,-0.01203282619368474,,,,,,0.08154638577418809
