,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.032840988555292674,,,,,,,,,-0.02504957359690483,,,0.007696691245485971,
BMP1,0.061351262267681096,-0.013991965104312052,-0.03574856465569206,-0.020604931630880754,-0.025687298570894766,0.006798477811481378,-0.004834115277514882,0.1380398362215217,-0.013031540878011184,0.0038814453529633173,-0.036313574505659724,0.030447218152559328,-0.02503495454398569,0.03486557448794195,0.028415622684750008,-0.017864571902512685,0.010334601618661258,-0.01177919977339964,-0.0664755109464095,-0.012160202389653318,0.005973863267124162
NDP,-0.025476727113031967,0.014700382960072141,-0.004965380431520405,0.00033138492964087654,-0.0547905354457938,0.029986236715142542,-0.0024505714603058203,0.013006103286531644,0.05894165849356332,0.019493623169582842,-0.057424428117222176,0.1446555141173065,0.09953588703284731,0.0637257374977151,-0.0038197135427135,-0.050712540307879535,-0.027773939991306052,-0.02583201530453942,-0.035114217912682766,0.11258153979333732,-0.02619017891334891
TNFSF18,-0.019279987219288242,-0.02233792677542917,0.0021055988856533443,-0.023987541182656995,,,0.029744222575861387,0.00463368908170053,-0.03260938367556679,,,-0.02739621869940403,-0.06466806258219389,,,,-0.025833183099548636,,-0.03551430752955024,0.02512761069673282,0.011716118850034755
RTN4,-0.03650308945146792,0.08059275657971131,0.017514844937418006,-0.005556585829521528,-0.04783121097326816,0.008564110541142766,0.005631062815433705,-0.19868382744604013,-0.05357241408274059,0.06659501331034344,0.02485963091062772,0.10850249293105858,-0.0767560900185658,-0.08402415735068991,-0.007131050789402105,0.002923062439423761,0.12347680606781995,0.020495044602547606,0.01839687287917198,0.025345027726892486,0.18384349561069036
HEBP1,-0.033248950215898326,0.039224214803469576,0.06909396842380212,0.01028794421459672,0.01097262592164169,0.011025964950589355,-0.004320780228305458,0.11551142051395527,0.0035547930177846987,-0.055968292655647886,-0.007313165813993906,0.06284625569726579,0.05260384410590132,-0.023946053841242657,0.04234602921315082,-0.014217409218260563,-0.01966227748675962,0.04361320083108729,0.020010094795016958,0.01152894864242134,-0.008277724065903349
WNT7B,0.009994466745144657,-0.00026521275818571513,-0.012522516044369218,-0.041444725881963455,-0.0007284387618741408,-0.04654155088247539,0.048615258139325324,-0.07344553394915067,0.042482804257328775,-0.015025370441825232,,0.16951358934949015,,-0.0306248468759787,-0.0032375735577833283,-0.019167561032165922,-0.011491590752316774,-0.014814439625680452,-0.03551427070388116,0.01590562631170008,0.00026193429658959345
PTMA,-0.021499174058876174,-0.0775356289694553,0.0010128870951124557,0.021761964501955586,-0.02989693476087438,0.0016509752976977625,0.04144572303639881,-0.10594570447251066,-0.0423993629688722,-0.016854779468361638,-0.043005325199405635,0.0006066866493617671,-0.05805878258923864,-0.18763012347337915,0.0022268169724504916,0.026085002068710023,-0.02443847688837107,-0.0322519898352362,-0.08268844342690426,-0.006776741293082977,0.02965992986483386
FASLG,0.01053945349115934,,,,,,,,,,,,,,,,,,,-0.0031300526802014246,
CEACAM1,-0.02358391789291431,,0.0013594622416110186,0.022776680081911894,0.005338160285643317,-0.013333701638005518,,0.044441170655046186,-0.020065722336267224,,,,-0.05559727167452465,-0.012244314942857838,-0.041199501364162464,0.05503242940455655,-0.007601611285182159,-0.03462655169266007,,-0.03094309209331896,
