,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.027003684614534357,,,,,,,-0.03235446359074103,,,-0.02184505703845631,,
BMP1,-0.03376696180981885,-0.010168072930654387,0.022892532274369153,-0.04986047188096262,0.04339305241433114,-0.015880131435724306,0.12369208914986597,0.030471918720294346,-0.06777049400282936,-0.028454488693820574,-0.029417465636119074,-0.06590780855797848,-0.14679109318992312,-0.048028613698311476,-0.07744657829197664,-0.02496071544817445,0.05029208548426365,-0.035642871945330584,0.039007535491804586,0.022439192444144142,-0.01200121193535802
NDP,0.06274413843016412,-0.021551950155239526,0.02352923236893177,-0.04803782126844593,0.05633673994444318,-0.0018842085389855201,0.00866146676352055,0.006357450847685745,-0.02366214118249066,0.04455966907256959,0.054069246939958904,-0.05084556227740018,-0.038539068942942664,0.02748187472453633,0.07300595866628716,0.040886304124661196,-0.06044657905779008,0.041978140920299556,0.03584603224586096,-0.08338644656672245,-0.01224191852069068
TNFSF18,0.05118579740640369,-0.023852452680355907,-0.044152335807394145,-0.007723705440797962,,,,0.03411051529901934,-0.05529913389832594,-0.03752240974336456,,,,,,-0.033366587211311576,,-0.05017250641346094,-0.02485704575318636,0.0028048908396285923,
IL36G,,,,,,,,,,,,,-0.004182831206724443,,,,,,,,
RTN4,-0.01776196838373118,0.21489872584540776,-0.019760247257034864,-0.01345145276278785,0.027585014644865413,-0.012280573019597844,0.061592453368317,0.04499062141677123,0.10031571167254227,0.07814081271087132,-0.03621410004955774,0.16794401646537382,0.22003259955858545,-0.09502446873528321,-0.021999603289849387,0.03261454662747214,0.051826739630874245,0.08665128467948284,-0.02827387980626834,0.16951668987059776,0.11329393669617982
HEBP1,-0.005532192085937631,0.007438258548250415,0.011452835779983664,-0.05810079639709129,0.020973877505289874,0.016367015420163666,0.037580056250758234,-0.040754349743788686,-0.058025039403992694,-0.018999423899619207,0.037240465599540196,-0.018201043552695622,0.008219857089938179,0.053031389261682105,-0.007612253450761444,0.012608812767439921,-0.016258585763892656,-0.09545549614227268,0.017503021958595957,0.048087100877075434,0.0022875548161651682
WNT7B,-0.022365588511755522,0.31291695472686537,-0.021221163549528074,0.04967096412870412,0.028274411356644265,0.03062694780424491,0.031559696043205215,0.0216210220823259,0.06916143734042904,-0.003679281423830763,-0.04368898505081727,,0.19711699122479995,0.0404927834894039,0.028096644178462367,0.015898485115086528,-0.021474596588231084,-0.05017245438834074,0.03679279923415881,-0.029917530499348925,0.13926991227417623
PTMA,0.008508685713743445,-0.027287940468784064,0.07415410461721209,0.02116974108821097,0.0755871106573775,0.011265277054158276,-0.05331322719722823,-0.0523781117830957,0.04219330708137872,0.004377233602599795,0.055583250711011375,-0.1809252844402247,-0.18720590123489336,0.011520300914792057,-0.025614506316485496,-0.002909723080461765,0.00912409936501124,-0.030087194804043454,-0.06101804123572922,-0.07941870330490074,-0.05192246944693676
FASLG,-0.022365594834450102,,,,,,,,,,,,,,,,,,0.024326987395627706,,
CEACAM1,0.029723169546203094,,-0.0030714870753681942,-0.020160209201385035,,-0.027406321170941564,-0.02636119622119998,,-0.0499822812437185,-0.015957204611647794,,,,-0.005174100834860412,0.07675792607200613,-0.04794430230380062,-0.001806311366896985,,-0.026360869242458722,,
PDAP1,-0.0360007695322533,-0.007979233032164593,-0.028164258733885044,0.00033214933690321947,0.06361146486703093,0.028154545720138185,-0.0035907228473908656,0.043476120842643226,-0.08922030219138075,0.007439346995749376,0.03734963512155347,0.010803552888852019,-0.11621266658508674,-0.05435447915037052,-0.03675466233614268,-0.0006731334715944712,0.02756232494929658,-0.020864946999390194,0.039628511290542685,-0.03017950174902698,-0.09336488962464971
QDPR,0.01965807572952032,0.12757514536519513,-0.048949065542330215,0.010061035611333983,-0.013945355625687831,0.021089111990518487,0.020875710572906287,-0.061177612344169366,0.007744008383491544,0.033677571017944365,0.030051891523666954,-0.15765537711031488,0.018264429424556538,0.09312154019497396,0.16195601011826563,0.008172351495848619,-0.0743876724290169,0.06503471144950511,0.032128113656695316,0.037438197479927965,-0.0375735227159788
POMC,-0.04584197610456411,0.13414720557009155,-0.015425097670837865,-0.026930420787162256,,-0.022806609384448676,0.09496455460302436,0.014388505462146631,0.031740110249354296,0.022037525724001646,0.016498087726864237,-0.05890079377092198,0.01738014929470279,0.06421083400739527,0.04608592985625497,0.051752742805812754,0.011299175248186421,,-0.007736795419482484,-0.03961064410708832,0.15289801361211636
CCL18,,-0.031988100293830646,-0.03506833097472959,,,,,,,,,-0.016486345008982026,,0.015932622772395294,-0.03491975406006622,,3.2494160399497345e-05,,,,
CCL17,,,,,,-0.023901051228135208,,,,0.02132882068935413,0.0018012413684489372,,-0.025471656825906224,-0.061847644854829686,-0.019901480100102287,0.010212819656491567,,,-0.017172611802428437,,
VEGFD,,-0.036041239397125606,-0.024828018034332072,0.029159587967197788,,-0.026628410454548723,0.06650476749009525,,-0.04962149120077328,0.008976520345996821,0.002125777396297317,-0.046491295546728637,-0.014571780362353695,,0.01694839499835451,0.04580716110955264,,,,,
TNFSF13,,,0.02451401089309512,,,-0.0164864102158458,,0.0579427397471556,,,,,,0.05268024510685836,-0.022289551590568283,-0.013235238356498069,0.02122383198829283,,-0.012286582226299797,0.008532242820625095,
WNT5A,-0.029298064809206024,-0.06976133706770409,0.016813283946756612,-0.005467996868225793,0.02695687615040375,-0.009800308450087662,0.15276366220849646,-0.008571422283288615,-0.010238724525363653,0.05449197055193222,0.014118584448765913,0.08109222003530114,-0.06484073130664539,-0.0360659953833063,0.013807677585582954,-0.022537607746808595,0.03765912056049072,0.01887117436450618,-0.004750089288737449,-0.009266771370962453,-0.08897835968520709
CXCL8,,-0.1143493802156607,0.020209347827463732,-0.027037264513310302,-0.03579065996580644,0.03063310785353124,-0.09488625348043542,0.05416072621046635,-0.0208561994002924,-0.06292808820938237,0.02690623575386641,-0.03798151533961416,-0.04423658141483603,-0.18596588752462173,-0.22327656796593465,-0.051676160875511204,-0.0029908680016563537,0.02596679252190185,0.01852327455580977,-0.11816720883418805,-0.03444433182642843
GRN,-0.014197203411123765,-0.06259059239650352,-0.02812792114404979,-0.035921526617202555,-0.046109133412734836,0.010016700887636806,0.012239235957720406,0.003087942549301424,-0.05870226891997795,0.007385948183189093,-0.026540893028151876,-0.08336994089098805,0.03290400642713947,-0.020561112860618146,-0.046809962951799164,0.005467583649593438,-0.02267236509618958,-0.07459459316227897,-0.0028195136865852184,0.08648494446780468,-0.015238711981073006
MIA,0.03424611420286488,-0.018474706239498633,0.002210585524214991,0.014100695419475399,0.040010726541400775,-0.0011622376572518174,0.03240580435697869,-0.015342881462545584,-0.016567912077475114,-0.02792126020374479,0.0195355429260468,,-0.02847853123853488,0.24434169647540063,0.1996227959230588,-0.007641351996915225,0.08270948141748022,,0.04459564430572121,-0.05601276343536603,
COL4A4,-0.025902084051507505,-0.03628179740504154,0.06877582157465915,-0.027396144150684868,-0.03442386434785683,-0.005262230051501152,0.10666819533323502,-0.025452783640313892,-0.026056851265676216,0.0651492281240266,-0.0011590675748127317,,0.0007166544066548744,0.1596582390565363,0.04379695552531192,0.043154207448779264,0.04764582691297079,,-0.03343695707334683,-0.041998516673865574,
TAC1,-0.02236558266625021,0.29274676300436187,0.07629597281125247,-0.0053951667123177,0.06186284110077447,0.01102090319972093,0.005518809689285152,0.05546728003760548,0.17789539477566288,0.1009412813929095,-0.009796825653809776,0.16979797687939363,0.13758584704377386,,,,-0.04113076608171453,-0.045596388812350695,-0.02257514439895731,0.19662981295258225,0.05689966480509607
RARRES2,-0.0030355863675862343,-0.009503777243740819,0.018351155577472286,0.0006369098478240264,-0.03254583605988916,0.026138411610583594,-0.10222824529612319,-0.011416612735739781,-0.08951786998633135,0.0446248763566855,-0.006584247152560128,-0.02176288994892443,-0.07819017044309882,-0.12801037617211636,-0.13476076329691275,0.014516756639164118,-0.04441940465232753,0.04390197307168015,0.006968098174903156,-0.050754379834449144,0.09404377142829444
FGF7,0.0258923180634517,0.015174450351498366,,-0.01092037600783034,-0.0015631462603298756,0.08926061258276316,-0.054164067570490984,0.05116795599563918,-0.017380272288226147,-0.029751551264701998,0.028339283728772095,0.07545098105896669,0.04269021502461754,0.08564136131772249,0.01418683162259214,-0.01153580461924397,0.042443938627350804,0.006789122171902722,0.08128913666479456,0.08709057558533438,0.01752687214165631
EFNA2,,,,,,,,,,,,,,,-0.04390878260752629,,,,,,
HBEGF,0.05653797039024298,0.008222607855320349,-0.013089458168325024,0.04101560254540998,0.07072555140047632,0.02588506668640023,-0.008090150253017727,-0.011190103918032697,-0.015862284700219723,-0.08615222518510268,-0.010070751649851307,-0.06653714027582663,-0.003565381527543349,0.022056759065443937,0.02566271807616772,0.043165670663350246,0.02475085440468456,-0.005174002715007215,-0.007494016341132602,-0.027435565104026186,0.08751999312716008
CSF3,,-0.004363304356737876,,,0.04182958957691979,-0.028487969058684646,-0.12249013106294744,,-0.038824184288228515,,,,,-0.13652220283288852,-0.15703434707182895,,-0.019537529303065886,-0.04509363163364348,-0.018080111039906154,-0.018711277378228783,
PI3,,-0.042981165375233436,-0.027621900893447068,,-0.008451918765313047,-0.01814542372223728,-0.1042042504142913,,0.028434187344038426,,,,,-0.24780967798058734,-0.25927959709317006,-0.03624449612896348,0.007973255565192397,,-0.039282074761668,-0.033871215928677666,
PCSK1N,-0.022709573839296292,0.22830232036879555,0.0602191310847962,-0.00429483440829545,0.019800652684262496,-0.022920690081842898,0.10762455591866064,0.05212217040739691,0.09335323586488779,-0.07921633462811534,-0.0016583478236445598,0.19425314442066785,0.21928622276321272,-0.011835881708442016,0.040467709264393345,-0.023236715681821715,0.10316160813429837,0.05973440744061672,0.029242975937086215,0.1083155653730544,0.05126263887365826
NTS,,,,,,,-0.04978179157709924,0.061778655443227366,0.021697313729627153,0.005231098927062492,-0.0012507190191481023,-0.013916769154583264,,-0.04060828318226916,-0.013999076960416515,,0.09219740700805455,,-0.02677417902414733,,
SFRP1,0.028050141619104754,0.12686798570449803,-0.0022759939462687205,-0.0035506825662486173,,-0.020854591057994393,-0.008693202699755645,0.0453838757260668,-0.015570077436189784,0.013646246624875532,0.0050364828556868765,-0.03650630722015918,0.02239643502703543,0.001111658054230441,0.07253019028904863,0.03416653263325682,0.031199568186647243,-0.006421358190814596,-0.026152014934452527,0.003508231092052327,0.07910840058586305
CXCL13,,,,0.05095916695962028,-0.017496108896520823,,-0.009892517431050107,,,,,,,-0.040353451567870964,-0.04556061807301937,,0.061652408769220825,,,-0.011782908140414003,
MICA,0.04525835722843555,-0.024570462292465935,0.021125868640128106,-0.016148745543171434,0.004135159016867402,-0.010122786628573795,-0.02811252078060982,0.04392607895826163,-0.025032535980722904,-0.006561980702870908,-0.02118594574461481,-0.015964226925036254,-0.05728524608641305,0.04161004643368105,0.07822438529499265,0.020691399147199946,0.08958362421519227,0.06508622439340797,0.03685489553840437,0.10959861321063245,-0.04932851493798173
TG,-0.025902078214373132,0.05222429282392161,0.05793026002850737,-0.014899171893736188,,0.05365455575397392,0.05605709524359738,-0.015489393549046099,0.05658770183510836,-0.047146962475947504,0.008618423158624187,,-0.02091294935455775,-0.005660733191611537,-0.0274950273384217,,-0.055447783173423,,0.03703304459771656,0.08265818192404192,
ADA,0.015775707641590468,0.14045354654094072,-0.008599719385246151,0.0320596282843949,0.11248110184352128,0.049616628300068036,-0.005441323615793215,0.000551898473560541,-0.04851933844697439,-0.034724731764699666,-0.023788408172762135,-0.09637681546011509,-0.06231660751022933,0.015017764725041204,0.04010227182682112,0.006171837598705852,-0.0671410374497002,0.0005315709729962477,0.01423188167084617,-0.02517085321915068,0.09263838347455523
LAMC3,0.015717208295865294,-0.020602004783355034,-0.005494689055794745,0.018264196496835586,-0.020606449760756783,-0.04668207647703285,0.0439904718304624,0.0392920765390224,-0.05850252984419916,-0.05085856366468277,-0.022472291201607892,-0.00882732834832366,-0.0064236066573618664,0.09667945284401565,0.08832673431574946,0.008642132664183514,0.02200314635769761,0.013737660698096874,-0.015119906447741322,0.025895852472115177,-0.11715027022503055
CCL7,,,-0.0223064209941589,,,-0.01627137390566227,-0.03090914596940404,,,,,,,-0.08616948769753914,,,,,0.003538551240037385,-0.07497851523606645,
