,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.028530497534874324,,,,,,,,,,,,-0.04339597764646834,
BMP1,0.0068166287177211715,-0.0009012525442088549,0.05188621281560604,-0.005379350344389793,-0.012196987038847504,0.00026546978721136825,0.0037074000440946767,0.09992942703039266,0.02294561882547967,-0.013269522911611873,-0.0545333119057015,0.0025651389424275906,0.08172078537529387,0.011276044543772398,-0.02049286645255742,0.07082626128432541,0.02417751585839012,-0.06610075705293157,0.029666517053932268,0.08871537510081169,0.07232131242460647
NDP,-0.06972019794577873,0.04140448748075595,0.009220849795740707,-0.018863269621190327,-0.03791177468669875,-0.031774273601100925,-0.001970503645273793,0.019113585614772513,0.0006286808397457432,0.010732399245200789,0.007782455524397407,0.03989934995597953,-0.0749571041419998,0.04555927085250253,0.021144139735445912,-0.05994744556265347,-0.017688246575616323,0.10246364904767921,-0.004506214278868048,0.012241519208468997,0.0030960532069174685
TNFSF18,-0.019279977268013643,0.07599335158247168,-0.03123043518975285,0.08717355918555995,,,0.016868410886070752,0.019943786944937668,-0.015563762103519308,,,,-0.02634636455571908,,0.036442037821362086,,,,,0.01789554965565769,0.031931242044469864
IL36G,,,,,,,,,,,,-0.016310183710523108,,,,,,,,,
RTN4,-0.05226819061063416,-0.1024003193544068,-0.00916390273972255,-0.012578352156234696,-0.04971535778560685,-0.05514892665267598,0.023476330780288743,-0.11883714243526451,-0.0141228069655537,0.05341926157156472,-0.026908323424849355,0.020106021884230503,-0.07613292346454047,-0.05217250021427203,-0.07294712166329248,0.004626155342685595,0.02068547874754982,-0.029187575799527993,-0.002142823248430953,-0.021191989959081836,0.03305954077196865
HEBP1,0.0999218592671902,-0.03691860451167112,0.007400745077203531,0.07472403945038904,-0.05387585337910063,-0.01731776146270343,-0.03376560844774167,0.04736572770123498,0.005725931728111918,-0.004494649483965631,0.014240376745905971,-0.009108137949072878,-0.004769416498191289,0.12052603327949833,-0.07842433497657501,-0.006520942253117298,0.01487798507381427,0.009796101859725468,-0.052224287794736354,0.036778676676849816,-0.0136695825567161
WNT7B,-0.016985056107439733,-0.04407192828965138,-0.046217618431136774,-0.014775010582194175,-0.017085041777399154,-0.01568341197685191,0.05823504461744211,-0.015022773419130147,-0.04461207527548262,0.11319403316221506,,0.058295788837920116,-0.029004775828135834,0.004094137518942959,,0.0096615603605813,-0.004317672004330499,-0.009578386648969704,-0.03373735194074557,-0.0597692576701265,0.06365816054997939
PTMA,0.033259968372238775,-0.03164751950734806,0.0002508709516539366,0.010340760230358383,0.05793998510381744,-0.0060700218989216325,-0.04340429993322774,-0.08035490027723036,-0.012518846803093986,-0.015466645931520537,0.013314401930436546,-0.06399885235392654,-0.07733798808815627,-0.005183418351555994,-0.08519120967511651,0.06142646123817529,-0.012472091977912039,-0.040321158132147615,0.006474725693022854,0.06422241124250125,-0.011654814703204746
FASLG,-0.01698506090907158,,,,,,,,,,,,,,,,,,,0.07731655976787223,
CEACAM1,0.0552532238733839,,-0.019877316106432102,0.04486429502753929,0.10503772098596796,-0.013897370133242257,,0.014133440604007444,-0.013473155413981037,,,,,0.049457245308513746,0.061291020768348976,0.06562313148010501,0.018314856043101627,0.0758016140632134,0.012096950386465459,-0.026403911221820696,
PDAP1,0.0513167490700544,0.04307389736505996,0.03348575521647536,-0.05363885912908087,-0.012823288758816264,-0.015116480660553612,0.026596419218381545,0.08675580700700124,0.03157397713528079,-0.01713061330026343,0.00016599344987380351,0.01591129029480486,0.0023773741441723405,-0.02262521750894235,0.037391136837513855,0.03810094991060542,-0.045539116642352453,-0.034479879090945485,-0.007433807116586926,-0.013302102093371215,-0.0117789821021577
QDPR,-0.02157064203635652,-0.035464256088112635,0.023356556595891084,-0.06287493255579596,0.010770115036337213,-0.0010938925727472554,-0.026059771970286028,-0.0915418801761583,0.04159969968803514,0.01278459341483188,0.03287436797709125,0.013874520219464613,-0.05319780613013715,-0.02869807085642748,-0.01465273139039266,-0.09221434387462492,-0.012977420884351387,0.0471832225179164,-0.022804362077287286,-0.015485538604925023,0.013552355318902164
POMC,-0.028922200235476682,0.022079468311698876,0.005557633208544707,-0.020147473058766692,-0.029895390232832348,0.0005794735156134806,0.013525006684757332,0.03185232342082172,-0.018058958791607897,-0.024511562535272643,0.013333634823543494,0.0689152622665435,-0.07100259480159668,-0.0688580105014392,-0.025598341968446844,0.014432951246818634,0.0547949931724925,0.041059356323462644,-0.016298052360706628,0.10325810804887678,0.0012788640541138026
CCL18,,0.04380265861487368,-0.024805012411952237,,,,,,,,0.01590727489317293,,,-0.041947714174337694,,0.21409926177881652,-0.0329244872833156,-0.03271272027491054,-0.006670215533573008,,
CCL17,,,,,0.01252908099644501,,,,-0.019411041514495273,0.00019159429614287046,,-0.014899815865521405,,,,,-0.023633445140880886,0.03463638893178856,,0.04975590949490543,
VEGFD,,0.09900557868417717,-0.011270427474689532,0.023852875607740565,0.0356884002331148,-0.013296216899980695,,-0.028405260509160327,0.005873957618598652,-0.017416586037941793,-0.02374400966176634,-0.01596859416009376,,-0.04725878899018479,0.03357668438845371,,,0.000756813037284818,,,
TNFSF13,,,-0.018718664298289087,,-0.012834799259227989,,-0.020101146429375768,,,,,,,,,,-0.016532003003700016,-0.01667301836476866,0.03401756936695472,-0.01385508554604125,-0.009218593869926413
WNT5A,0.039301723802931676,-0.02164450286955027,0.0027344241299182034,0.020614133174933286,-0.022421984591614603,-0.03782165523203916,-0.04160172405370343,0.12491250455704427,0.010531657954066758,0.027459452022862887,0.10070886569145542,-0.038654425768160354,-0.0199272719813854,-0.06945995170000015,-0.06821127087439463,-0.013595247594700188,0.03896585466795283,0.055734909791736835,0.09224383996567877,0.10787163547186929,-0.04010467139893631
