,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.012090982414049605,,,,,,0.03359711638819497,
BMP1,0.049886718511234385,0.05114408303758206,-0.01730024757384931,-0.0032363809311836116,-0.05424040208310221,0.040497379745792116,0.1275794515552293,-0.005195940708773994,-0.018726397307810647,0.049093847089680814,0.054009271364568956,0.0009536989169456206,0.05002264957835034,0.06414870367519837
NDP,0.09094133731010862,0.00327799528977822,-0.02004064360428699,0.02355340207456151,0.004409718615467383,0.07884228305184829,0.05841619861561955,-0.02446841075401384,-0.030586200846895936,-0.03639885042533596,0.031529565436264353,0.02451112099916375,0.026448808556985812,0.10988652400327295
TNFSF18,-0.00217280816667727,-0.015221081168287047,,,,-0.011638507539788278,0.03649906175288238,-0.019597322358320148,,,,,0.019036786089748917,-0.02634856786256706
IL36G,,,,,,,,,,0.04964203078114764,,,,
RTN4,-0.010542248427908634,-0.043886165774766936,-0.011094540187919237,0.014312813674540101,-0.005050975925009831,0.00733796892352812,-0.1683329567728523,-0.013513246313873139,-0.015981379473174667,-0.021453608025620206,-0.07008763482470678,-0.06499549169265492,-0.026258763772992598,-0.04467292916989885
HEBP1,-0.040920137427192464,-0.010667517519317094,-0.009572825828332254,-0.029404036252920162,-0.011375886759625836,-0.014673724466908275,0.0693909870447434,-0.023782170532829654,0.04313784786134877,-0.009482902414561395,0.09718160742403138,-0.026901138959698433,0.0430422768088016,0.08775415609929253
WNT7B,0.039353511766709925,0.017833145286300065,-0.03783819802186116,-0.0020150960309967512,-0.06383772034013606,0.011558586765621121,-0.022023593029663044,0.016837690028926513,0.06416836496806957,-0.021184517059784334,0.0965633852669809,0.05348275599777951,-0.029296539447695315,0.03805726302536786
PTMA,-0.09043226522838402,0.047027214644595604,-0.04069172520427631,0.02497092435165848,-0.04816349409741955,0.03126092137973402,-0.0713302701399876,-0.00648306652685495,-0.016326610813794332,0.04877286866567146,-0.045776275132190784,-0.042148472164704,-0.005408369847786687,-0.062102035258685434
FASLG,,,,,,,,,,,,,-0.019403850629880735,
CEACAM1,,-0.03044512377546363,,-0.044317944158838045,-0.017345623685766656,,0.024263200280853058,0.06764944475883461,,,0.000532403484219392,-0.018081022350347035,-0.026997608244567532,
PDAP1,-0.04077577909077495,-0.0011244894424582888,-0.03444240080012271,0.014134792682921796,0.04169708189206588,0.01830341266108965,0.12407460403350312,-0.04389466264298879,0.029785420642268443,0.028033807155940234,-0.009071278276468553,-0.039109881800197664,-0.022343433730246717,-0.06032742800430913
QDPR,0.030940094880755536,-0.026366537504140298,-0.03997576639338522,0.03378794767395404,0.010784014274950281,-0.02756009760101868,-0.1784223010010705,0.016578479481822433,0.03924298689966421,-0.009264275207080758,0.004960288428789424,0.0485315564749919,0.032042828268952994,0.040768624086302475
POMC,-0.047302085796118554,0.007595669170559629,,0.04445235580915539,0.017795091968822105,-0.018882836555069817,-0.022650140190135018,-0.02273918314484732,0.0022915817827838794,0.04999688246061979,0.02548024254234388,0.029998507124522105,-0.000370498781921081,-0.026486268195586693
CCL18,-0.033596599366986404,-0.03799263789387666,,,,,,,,,-0.011595880368317551,-0.0246136552832682,,
CCL17,,,,0.010091223234667678,,,,-0.0016908567907541671,-0.017659669556180504,-0.017607487398416003,0.13568661071296714,-0.0261010908790733,-0.01758741116287852,
VEGFD,0.024314813812675418,-0.0008758030024279089,,0.006448423626471014,-0.01659531066526972,,-0.02797843513324292,-0.005197956649851773,-0.012953581185357292,-0.01887048960751913,,-0.018081022350347035,,
TNFSF13,,0.0179066296587972,,-0.005349251260444574,,-0.011286924383962291,,,,,-0.012389093516609268,-0.028370993417646307,0.029444281901342535,0.0076374894289881305
WNT5A,0.047401517768094925,0.0033715980348507837,0.02221778018676694,-0.012802017280420035,-0.05029411620779469,0.03799075578633621,0.14248410450595592,-0.007685890100543872,-0.06308435557214218,-0.029048463183204868,0.05230336077601112,-0.001347592800230127,0.05225458383356404,-0.0422176096748999
CXCL8,-0.06134080707229811,-0.033614223815238035,0.03887145101469489,0.017004495457479975,-0.007314996774720971,0.007375661659585641,0.048729597134565567,0.051671853815507575,-0.012062938040239732,-0.0014859963280839435,-0.01034611797068411,-0.07979275193297264,-0.031483370112571706,-0.04366043215906321
GRN,-0.017975551313855583,0.005753158151509602,-0.031930313259762345,0.03990341247599112,-0.03313501691573903,0.022133153149031297,0.14204688805485235,0.01686410038209808,0.015362293110034756,-0.02740362698864868,0.03352342322016522,0.04440467798310563,0.06759918430464704,0.03753279466598362
MIA,0.013957741564101532,0.002935786069603007,-0.006827486586665938,0.009988905587993044,-0.011306738794203547,-0.0025724495994127183,0.09209942008737598,-0.000473998251009271,0.061105624740692734,0.025960142389545738,0.0557127949387075,0.06982508306262857,-0.03112117697206001,-0.00010110241486851467
COL4A4,-0.03810620201057824,-0.022065130448017823,-0.038370969115752794,-0.011047634613683773,-0.09115960196272503,-0.010739009890327101,0.031819693469771225,0.01811034472325033,0.04592945326771582,0.001703498576149292,0.021444789190437276,-0.028950543911900335,0.01797066554431139,0.08348189957629785
