,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.013031606308121252,,,,,,,,,,-0.004152451205231065,,-0.026554070712033452,,
BMP1,0.04240501733994474,-0.0006371171703715752,-0.02540047428477489,-0.02800729005889432,0.11666715747363707,-0.05464353783302007,-0.04321265347264188,-0.03075779037993038,-0.02680513805279915,-0.025742670199188234,-0.0614693985187569,0.052737668850457345,0.04552164644443735,-0.0005405482981532893,0.11462970900202171,-0.04752478005662606,0.0340557468409618,0.01663589291087221,0.03152472516670311,-0.04864495909103472
NDP,0.1342746481339095,0.0037140270930354708,-0.03238782994287429,-0.012909346016102403,0.07622588557539968,-0.07572977103673648,-0.017707410557824266,0.02499496507786292,0.0005623981099463357,-0.06315354030744891,0.04379625687715186,0.01543942814712909,0.04240832073160209,0.10498259180594605,0.05763087984805537,0.012467327989895386,-0.03499433438159503,-0.00625636808116379,0.02001392080603416,-0.03804912850378016
TNFSF18,-0.016996899190547025,-0.0035305369508014323,0.04181109826226352,,-0.013436969409188393,-0.021290314672223375,-0.01468254223438605,,,,,-0.04352264470347991,,,,0.029187613906198513,,-0.03555101258567308,-0.020540606689388934,
IL36G,,,,,,,,,,,0.03210441516285904,,,,,,,,,
RTN4,0.010698678452288713,0.019969423970235708,0.0068394794092979235,0.0172127018743684,-0.0433100990204512,0.13438890138138587,0.10175546429922293,0.0067478989131257,0.15614258294877312,-0.0008793228982250203,0.1346353086942318,0.1702071234633736,0.0441509956621918,0.0307954347846868,-0.04633782274848255,0.04080121258884334,0.023538524686020794,0.031411610175284384,0.07008313512282167,0.08118666373588555
HEBP1,0.07081226733898083,-0.04784555555620139,0.0133894852994464,0.021214948353890165,-0.008721176060629728,-0.05762749750933235,-0.01738962817823722,-0.03218825021934045,-0.047664261946843575,0.0774285384268857,-0.006388101968262869,0.08408229786104651,-0.04961103939346605,0.019192294338793037,0.006737269052395941,-0.013304519679337648,0.014243278624917238,0.02289273197889749,-0.04145501603179011,0.025423116203048747
WNT7B,-0.04468660149906477,-0.03376457008042769,-0.02345585554265897,-0.02275398784766775,0.023881705027061485,0.10016585747060228,0.001091579911978934,0.034589984383982926,,0.06215301653639907,0.06533954943272445,,-0.046267578429705844,-0.00504481532751273,0.02210820480345348,-0.033804196103276674,-0.040258110604939744,0.07982584955938878,0.11172241049612007,-0.0075481956788531115
PTMA,-0.10978581698470258,0.001383117056221995,-0.024737210929782982,-0.04306145904003921,0.04461539400037619,0.08260443439570037,0.0384980891382147,-0.02340179634505601,-0.13951570660622997,0.047957754743565895,-0.10140290439205113,-0.12495245842825292,-0.038089878757296865,-0.07581342469725957,-0.03845998578943675,0.04826898554179486,-0.005018946522740121,0.018529914429426298,-0.020550953127324398,0.012417676988715574
FASLG,,,,,,,,,,,,,,,,,,0.014776282568286642,,
CEACAM1,,0.04232997780087712,-0.018000958354276817,0.008752075819406013,,-0.02801684150299203,-0.023092141053373174,,,,,-0.030603805644867543,0.17298494072854154,-0.030441309788000675,-0.02144293044746792,0.09629987296640043,0.03138486272502494,0.0200434354786727,,
PDAP1,-0.04200810149875153,-0.022121992159595563,-0.010847573091341215,-0.024527463290786106,0.025444385228632658,-0.08116903756542998,0.026613479476820984,-0.028419079938409194,-0.054210356190978394,-0.069634291304291,-0.043324308677097446,-0.04312250940690234,0.05527653371650092,-0.024765663769172604,0.0378418348718611,-0.010100347309440885,0.02385493231187679,-0.004755176214092062,0.030440859432107635,-0.01713563555152041
QDPR,-0.08859782508750237,0.029311764567342028,-0.016817670635673253,0.02715367304210754,-0.0005607996209074073,0.052471187526445064,0.05738949061246995,-0.036941255761502916,-0.0955825843330708,-0.03678552543341836,-0.020971746388986474,0.0861308114534637,-0.11847752445524243,0.06250013105851368,-0.020908572278109078,0.030876770565035162,-0.06249375869959191,0.0012398077635523638,0.026072231657785935,0.021821314894116945
POMC,-0.029358803906775675,0.001680078038329449,-0.03198483107589523,0.089462284814525,-0.0019891950612393222,0.08228368207968102,-0.017036460940691438,-0.03785728569711027,-0.052160093193387706,-0.03215892549538598,0.06216476712863796,0.052572922834485246,0.03788436173064662,0.01262708480458035,0.06422154035953344,0.04827927672379116,0.008166932816973624,0.032795499865986434,0.012470165260295816,0.12705735748343405
CCL18,-0.004207791261569916,0.02527771009611448,,,,,,,-0.06317000965081909,0.025200985246796006,,,-0.02941957756122179,-0.015280241792622195,0.0205133763985413,,0.06932690951696195,,,
CCL17,,,,-0.015228928086665365,,,-0.018311988769447476,0.052844602491615426,,,-0.022013747023142724,,,-0.02159663589377649,0.14924995070051159,0.06170558191017001,,0.05722739239798394,,
VEGFD,0.001969479081753679,0.03438261203800112,-0.025782761321637444,-0.01696670761481691,,-0.02401865934683191,-0.019509875184526584,0.014833735057722734,0.20130142063916998,-0.021727870039496146,-0.02359281452390196,-0.04160520312767007,,,0.016340424807316404,0.02132588340672419,,,,
TNFSF13,,-0.023808188881333663,,-0.010504573760706916,0.041703429092587334,,,,,,,,,-0.00841307856818624,-0.033646174800977646,0.02746112793416304,-0.030004649577174154,0.02893926576062893,0.00024263688565988821,
WNT5A,0.04398731667202757,0.0049032340280734145,-0.037798753871953535,-0.02141692406248276,0.0327639828505125,-0.08069976421977333,-0.023331642952698975,0.0061553774133537185,0.02158308866006337,-0.0025989858195000362,-0.028788106370557655,-0.08449885367349981,0.12540146148205197,0.004545905198112632,0.0476531062646052,-0.057562953675801776,0.023575726737757544,0.05962517489112284,-0.013694528414543498,-0.07455363863288895
CXCL8,0.005440113125413818,-0.023492149000731596,-0.02414144950858092,0.03892091640287753,-0.011661233185483734,-0.04775835071575565,-0.09290667568792271,-0.021617771451558337,-0.062412961183298345,0.016884296779780192,-0.013092349616417066,-0.03149193821587016,0.19612889016837132,3.3587936855039796e-05,0.0820622121158338,0.026656167085105317,0.005199692095953454,0.03050888096764175,0.013767846474493708,-0.07455518986182016
GRN,0.04114952071948412,-0.06093639503184203,-0.005534515189031226,-0.030921569634397194,0.002900753562889737,-0.07641372873735879,-0.00039201719205644403,0.003762325354261619,-0.0770916085616711,-0.03048282670475186,0.005618998585869695,0.02866486324159637,0.006434069949386023,-0.01768570586479344,0.008019532438433319,0.04135995265788804,0.010659303805744142,0.035599430608793184,-0.002767641388175372,0.07222367438475734
MIA,0.006033327564234618,-0.019600375238629477,-0.022929384858168072,-0.001784539820390476,0.03692039409218815,-0.04095554096608812,-0.035992456155665604,-0.015363196298018184,,-0.0294668952488391,-0.03231144069161283,0.013167322100047035,-0.01763625578082011,0.012162145029369855,-0.007052201494966297,-0.013343216445472605,0.011372822512925164,0.006149029050380524,-0.011580832642484265,
COL4A4,0.020266778741678107,0.009736835391698707,0.09012315119458103,-0.036703773321019116,-0.010800653512807767,0.013053086913461043,-0.019118282823908168,-0.030408511540954992,,,-0.031343296196182355,-0.03257769343146452,0.001192701718687184,0.0313172768747089,-0.034333484439685445,-0.06841877514394645,-0.04645299979172457,0.12016133690308012,0.07941264882230961,
TAC1,-0.04860720551718757,0.019413313287642238,0.056628524932416296,0.050177458475358386,0.029659555636147885,0.04776958643242519,0.11405111318704936,0.05443697339836869,0.13812080283716913,,0.06422647208872148,,,,,,0.012545298190931033,-0.011925026921874736,-0.00620142883659718,0.15677501403610403
