,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
PCSK1N,0.05050236572629403,-0.06724447266061151,0.03609412068998787,-0.02327195109045799,0.04538777026912472,0.09286469428060364,-0.07939496651003265,-0.032959066800931226,0.009743271438923876,-0.02872064893550531,-0.07058709074446297,0.02364361158627787,0.02874744955768075,0.07691489324812234,0.046560297495766276,-0.031108142951215,-0.017061777772315802,0.03870755373301145,0.01141174147307236,-0.1294952051172676,0.1678721386584177,-0.062305504125640315
NTS,,,,,,0.08110067355263871,-0.01417310882492296,0.042238237441669206,-0.0022237269586241086,0.02785316184685602,-0.024853224012313796,,,,,,0.10313675809195848,,0.10878367542725385,,0.034088939656348315,
SFRP1,-0.023986292822944157,-0.012570479739907449,0.009537040112494554,-0.05588663052545097,-0.007548580635398636,0.0055840333567721235,0.03641129128562585,-0.008740130589393902,0.06092993143389005,0.02265533229423921,0.03694397753840281,-0.012179950426256613,0.029660836062922774,0.04515990513925292,0.0014047313743637683,0.126142438872574,-0.024031342229262252,0.004258667710999298,0.005893923686062209,0.09878229952176844,-0.0397499568579531,0.014885427377518128
CXCL13,,,,0.007299639840195488,,-0.03806076750312501,,,,,,-0.022642858003250953,,,,,-0.04223929180852576,,-0.05265236837701057,,,0.21272681382601102
MICA,-0.015501905110520223,-0.005261719029661488,-0.01902777355697369,-0.01414096639524812,0.033168110478781196,-0.0027157594721732396,0.030930620359614316,0.08093297909871403,0.03834402394824327,0.03297200239870439,0.08270905592402383,-0.012225482499831304,-0.005987314188877492,-0.056724689176788114,-0.036211872968240695,0.13178702382420615,0.07757278015822675,0.0065734421876900056,-0.00818081334290497,0.07297547843864068,0.063272133850239,0.047900807005711636
TG,-0.019091805086996358,0.04602677049338775,0.09554945234686384,-0.02061548153986169,0.03335789897587322,0.07107011855559342,-0.016359503803593602,0.02386584631660801,-0.042056152951721666,-0.005089991714997964,,-0.033067066293220856,0.04632854764194106,0.11117965082019789,0.017145701684541794,-0.020657003423418297,-0.024668071219097316,,0.0026744914654228593,,0.04946626364900839,-0.010919148155801788
ADA,0.005625899354104514,0.03981446769004731,-0.021075960476586462,-0.010417392952542228,0.025391942433421952,0.05059223363848183,0.05067683913724985,0.1199459825839919,0.0011744487540462374,0.024346829893863383,0.019648192568689583,-0.059560713418016234,0.026129389438317642,0.009446183408116083,0.07271783089042588,0.06697089115315202,0.012542058337406172,0.03744794779452668,0.020609615021159145,0.11244503525882242,-0.002938206526200491,0.11138755974152699
LAMC3,0.10330386391269848,0.030520546355223967,-0.010651902559677118,0.028500021520721577,0.024768177549436925,0.014091657644756988,0.0880662605664974,0.07374418156286955,0.05205234051770473,0.013343056677053655,0.05788135956416162,-0.007831864618608913,0.09971424413305435,0.02721945946446655,-0.0029894869385635727,0.12476102282871525,-0.03396898257534127,-0.02143810826635558,-0.008320536162919376,0.060253342744229686,-0.03297793374602654,-0.031260739985287785
CCL7,,,0.07000288687691406,,0.033702710177335456,-0.014911469467603269,,,,,,,,,,,,,,,-0.028797428601923778,-0.021175992273598506
NGF,,-0.016273199317866152,-0.027339903005559146,,-0.026878217909660752,-0.019961093143692796,0.0313569853889649,,,,-0.024853240376512823,-0.029725092481970333,,,0.03435810104983418,0.03535034640979142,0.008876589963489128,,-0.015414997369713145,,1.1256300489984141e-05,0.046287448043423704
TNFSF15,,-0.013506749722011942,,,-0.04460345777013223,0.07065953568975153,0.05944713021194138,,,,,0.01114503869348675,,,0.0003881316186309546,0.14697981959258757,,,-0.02004417273019001,,0.012484995847607447,0.038293959849903594
HMGB1,-0.031704565545159595,0.039628292272680665,-0.00819800815686133,0.03955118367989025,-0.027722986289007927,-0.025964742791247334,0.05163969306580408,0.15026886920440508,-0.06732403471753134,0.015164120861238698,0.05160473212415253,-0.009472408240406146,-0.011831803602232306,-0.16418083965192198,-0.06059073232573809,0.047887592074987176,-0.040919573587875416,0.008146876715308908,-0.023000175047243814,0.06087479304754014,-0.029366326803315915,-0.10142603659055877
ITGB3BP,0.0411885849491475,0.06227012484964429,0.019764178584156293,-0.03745366174521556,0.000411522562381779,-0.01455347070792065,0.07664268332164287,0.1425326175980815,0.04977386167546349,0.005404233492954924,-0.04090737732961343,0.004826605737220702,0.00448625882434032,-0.008940212432305281,0.059626015729726804,0.06374592885118338,0.04711986676496246,0.024886643218398376,0.025525858207154976,0.11113856231598637,-0.0027079144890587844,-2.2000626274150797e-05
AANAT,,0.13550952953452436,0.0060601600952430775,,-0.03180207413343744,0.015878138857156034,,0.018722301105493583,-0.0026981631138112494,-0.03731273640275626,-0.023365701025456063,,-0.025170579127922896,-0.05195581505058118,,-0.04345642972411132,0.016132857476537383,-0.03887650462140703,,,0.02430944821634248,0.01486096403241972
RELN,0.012901241050519777,0.01436603144534721,-0.035729657182356545,0.009213933395079858,0.02605487965379908,-0.042906097578200575,0.03873433890934919,-0.10146798256366209,-0.03137033557929475,0.01170096966660244,0.002017603849283727,,-0.027866003656398214,,0.0870190964708358,,,0.006527806739578983,-0.008649097061215217,0.017847147680117356,,0.020050690133522647
IL15,0.0033968259681731675,-0.04021384410007429,0.029073057147800674,-0.0262638080833021,0.01990009471374171,0.021823691131893905,0.013724054533840459,0.025333757215242086,0.07494216877380584,0.005438991130287018,-0.03647504448332766,-0.03485117886089956,-0.023344548775905787,0.16857336415673158,-0.008270228595075235,0.04362208801231301,-0.03008843200913943,0.0029527088111537514,0.04892458175046396,-0.031502650953444886,0.08670331031642697,0.14170564344069714
UTS2,,,,,,,,0.11949733568829543,,,,,,0.07017627246154633,,,,,,,,
BSG,0.04643137209348102,-0.0006514030373934638,-0.01174420737463329,0.028057730738212966,-0.0008923965818146503,0.00839361514535664,0.004928645438520801,0.002999797008663222,-0.0032073711301184994,0.05072000663937498,-0.0039406518138458335,0.014194974364223343,-0.007698242021137383,0.04548739526591488,0.024910890939854487,0.06238879295142683,0.003091639316608433,0.06082063940968452,-0.06600051720129464,0.102518532717744,-0.024753660624453222,0.01365799755362141
