,UKF248,UKF259,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.01303893802232522,,,,,,,,-0.007128054742004602,
BMP1,0.024020890579345436,-0.016562597504638836,0.011300937863434628,0.007652242144177325,-0.00977417127964202,0.0755859923764793,0.06548310269620196,0.05902571264369849,0.022916551117549255,0.01458028138300262,0.07269289165990916,0.027289392463743345
NDP,0.03364595881111385,-0.00284403305841333,-0.08518936110012769,0.024417036396231363,-0.0017053367253092838,-0.09000565724363518,0.11496061596029644,0.04795219485456362,0.002784054424871433,-0.022436240534929347,0.06624907247199929,0.026079873116063676
TNFSF18,0.007313957656763349,,0.040866182250747646,-0.012622087828840181,,,0.025952693106333004,,,,-0.029733188831317148,-0.006087744032160385
IL36G,,,,,-0.017771280665030226,,,,,,,
RTN4,0.00857758730313745,0.005685034907750516,0.004657661451713048,0.05120254790598233,0.05311290429182696,-0.11156161105865631,-0.07017822672444182,-0.043676636475956196,0.11978065303068894,0.07764155428056489,-0.040174542957513215,-0.037392244749523414
HEBP1,-0.017008601519594775,-0.03087597711440163,-0.016184434120111398,-0.01963810335919744,0.02644009293277654,-0.020576046956865292,-0.007372039201037189,0.06369878200573925,-0.010616083439787732,0.03187720100575628,0.0195395946645401,0.047384760383878295
WNT7B,0.06586043569173819,-0.022753995280856167,-9.531903338863908e-05,-0.02850057771049942,-0.0195326854381227,0.053510771604607286,,-0.006282485164159348,-0.030854026514591182,-0.019886364395545916,0.024781219323684253,0.00555499750285104
PTMA,-0.05975370719690112,0.014726003634976918,-0.017699374965260087,-0.010420843017617509,0.025295598017559068,-0.11100634918809633,-0.01741387449304217,0.003258397975426327,-0.05644698782828708,0.03351052526588566,0.040613275922683115,0.03953566114353903
FASLG,,,,,,,,,,,-0.021005325935194243,
CEACAM1,0.009200207895427479,-0.015383125891642938,0.03598505453160407,-0.019851537143821478,,-0.01606511805517046,-0.04017290754799277,-0.018212109444312678,-0.014947339398639204,-0.02099887348064519,-0.02922582591800305,
PDAP1,-0.015528659191901275,0.0053638504826478625,-0.02053116678063495,-0.008882520642886084,-0.07278141424406537,-0.07203558734947446,0.10135829947015676,0.03984207011904923,-0.04815802743653943,-0.015248060767412608,0.031927017813298146,-0.01523510921613364
QDPR,-0.06087281705716842,0.05057884299393616,0.04784062045628615,0.01376205680769941,0.05546168314534405,0.08095456228019762,0.028358461549431984,-0.0904000321721443,0.050833896606915105,-0.06511738103953543,0.028250022652878657,-0.07171049300955212
POMC,-0.023903968913424157,-0.024467732455495543,-0.032844948377131415,-0.014645672585392311,-0.011418850386683931,0.04031099108256161,0.07334219534580935,-0.024246888930224343,0.0164016851734539,0.06694473189657796,0.01525621395368328,-0.04465677037382709
CCL18,-0.0276409907168887,,,,,0.11754358233053058,,0.04568415900374353,-0.036500413004232714,-0.06729749452774735,,
CCL17,,-0.015228933061595151,,0.05529496254907242,-0.016234569413992126,,,0.15500683887493283,0.03470839934517555,,-0.019038968650049212,
VEGFD,-0.0018160542625684421,-0.01696671315743807,-0.021843718801216983,0.11660708399902762,-0.017399090879760982,-0.040364287524966756,-0.0357694447324669,,-0.014947339398639204,,,
TNFSF13,-0.004360377692239375,-0.01050457719230214,,,,,,0.11589123948297689,-0.023453920883073232,-0.007497967243608686,0.023307316907206048,0.007026543427505782
WNT5A,0.05886536551649591,0.02477681623397938,-0.00593792193325208,-0.056324199950683614,-0.009251129792539869,0.03374813171646466,-0.02297634432347808,0.006369572029879802,-0.010958796105634138,-0.021126494608449366,0.044854409782569805,0.08197787391508492
CXCL8,-0.007483804704933825,0.04249612896335947,0.05261077057423735,-0.0030230356924071406,-0.052312408756278725,-0.10989614188935323,-0.050393817947315074,-0.007644482276153983,0.04874388109085282,-0.025598539788381554,-0.008062036242246648,0.00380562568902593
GRN,0.022790325978524213,-0.01679959508154455,0.01863459793784665,0.0014912245588747206,0.03903303647001626,0.10493892983495949,0.05384570317630983,0.11894273103984372,0.014131419560695907,-0.03783999243429408,0.010779424779678363,-0.04603702291609865
MIA,-0.004803347894516573,0.04464766010067007,0.041715918968898875,-0.030941504238178496,0.005087872940486057,0.0015118305294216001,0.09730497238057663,0.03237364530975401,-0.03391094957117027,0.02535560040152939,0.054062529082421804,0.06359733575432316
