,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.015031582840456708,,,,,,,,,-0.017771222317598846,,0.013047656038449373,,
BMP1,0.057612191252356025,0.024799234855534914,0.03151239391455627,0.0071756273689438975,0.06912625272458159,-0.0042130858974979415,-0.023753383352945124,0.03744947740069797,-0.005690033709799717,0.08016307719328641,0.01861118281051225,0.0377650067042323,-0.010924993086266299,-0.07159439959571487,-0.04028497534985344,0.0754309181027672,0.055525961694574265,0.023928865699854522
NDP,0.020551620213176868,0.007980889326914495,0.012075233318495924,0.10907909982443498,0.0049159923721806215,0.026597156643976178,-0.008023097177140368,0.008570619807702818,-0.01682496570495152,-0.007106813152951436,0.07356187548525579,0.017982521713303765,0.11760060945637388,0.04381451388454808,0.008685708732017036,0.004853064332760304,-0.017625167462080565,0.14436245726167965
TNFSF18,-0.02360610628953138,0.07046221452867274,,-0.020842224691119075,-0.022321449257595435,0.0023669337446659403,,,-0.023342039010287564,-0.061588170495590545,,,,-0.018327147895644883,,0.04110447343799434,-0.008368075518913031,
RTN4,-0.013314106027641309,-0.009809511656248831,-0.0019143129116731235,-0.0038912937497671794,-0.053923868496558766,-0.008783611545372733,0.03387628151158969,0.09376784086807428,-0.08384809119071512,0.003190882279261645,0.006991175616512062,-0.04199680581227468,-0.03498871851527576,0.08919009887456626,-0.013322141404489295,-0.050464844719838406,0.039458508628764793,0.07867117529870092
HEBP1,0.03664278465497926,-0.03306978402770384,-0.022915374525526274,0.005399287251731302,0.02500133430894335,-0.04397462673449421,0.04463556693923972,-0.008223438306892287,-0.030168541100553614,-0.028152805639867665,0.023716339898240513,-0.005300890227124447,0.04944377482389612,0.025437348100794635,0.02689432587835315,-0.017887157924680052,0.028150301027274467,0.06519755801959974
WNT7B,0.024820444433043373,-0.01674759309991317,-0.020761530897275636,0.03954757701150194,-0.024324997237031087,0.002400992876119297,-0.015630376014053687,,0.03323691431705443,,-0.010980582068878593,-0.017911156603806152,-0.017496700692962913,-0.024758629038051812,-0.028986524990188212,-0.005356900365933242,-0.057998611431097594,-0.03791665199413625
PTMA,-0.011684693630071036,0.07358302183229118,-0.02562700633383874,0.014258793262952272,-0.07207503192470302,-0.051262350015081976,0.0336628389043686,-0.10451822996531386,0.13131831546827938,-0.13042644168737094,-0.029019042808684583,-0.06271226594809164,-0.018536829677743793,0.04443878912944078,-0.02509559258135524,0.027266968238104768,0.05569437617866046,0.027315139996943218
FASLG,,,,,,,,,,,,,,,,-0.020145823140020478,,
CEACAM1,,0.06163387325988487,-0.009040854091752395,,-0.0013455428533231909,-0.024308839784512707,,,,-0.0433069362560891,0.01696710904040917,-0.029190087505158214,-0.026506982354449694,-0.026334198145903886,0.05833766109098956,0.09263560319811488,,
PDAP1,-0.019418422434266044,-0.07260634520123224,0.0020656097460959783,-0.022150793002955915,0.054698301919660436,0.030436431995474397,-0.022004859816687098,0.01940024341243638,-0.05483605900640727,0.07120033782093056,0.0413372639351584,-0.08039677328892433,-0.03336482083452213,-0.035968016516567364,0.03000052105434175,-0.013467893252310877,-0.07377045443338831,0.04877361421380651
QDPR,0.030520533350963473,0.01452096170712815,0.009438415160421751,-0.030925800167115367,-0.041696310672551466,-0.054161060301395815,-0.025700606673361416,-0.061454384217504786,0.0385292858052159,-0.011512913821377327,0.006414121834950196,-0.06485395535326414,0.07825192070084534,0.04169990171591332,0.020623765843511603,0.024346608308525027,0.029636364072616748,-0.010206373666504356
POMC,0.17859800015710622,0.03856692811423613,0.0040548032504039095,-0.010260254376270272,-0.027178852688718606,-0.017934092752386072,0.0028424256307931044,-0.028714851501083098,0.09800517600326633,0.028912009531056642,0.04041748865865829,0.0028938097289630932,0.04008902622090268,0.009876136094065516,0.016559260403611654,0.0016047289728230874,-0.013999004745999228,-0.012823647365442645
CCL18,-0.0316577295280935,0.00017861902866136588,,,,,,-0.07739410547074943,,,-0.020824167696198766,0.09394143788356601,-0.019810797296204326,,-0.023247806218166262,,,
CCL17,,,-0.020512772605594053,,,-0.019276826696295907,-0.019346023874007544,,,,,-0.02070895424496057,-0.03826449312199455,-0.023430330070757475,,-0.018259925905250607,,
VEGFD,0.04848194524377678,-0.00012768101440389747,-0.02285349390237671,,0.02238567213259799,-0.020537828388468956,-0.01419054247128381,0.017376947639783622,,0.006168493727712651,,,-0.026506982354449694,-0.024711766469233464,,,,
TNFSF13,,0.0731868659186636,-0.014149251453931679,0.034079594090183976,,,,,,,,-0.039737372663430234,0.030195939107057045,-0.025125998917726065,-0.004385205137068492,0.05660273409197325,0.02447060095737075,
WNT5A,0.014725658585792566,0.012853960983833831,0.01196119849172869,0.007760096836128082,0.07175522973538859,0.012743490721624789,0.020674072120779114,-0.0029559644575611445,-0.00989455523045506,0.04141518369817215,0.15804022186420014,0.003247236626835267,0.06618559510928593,-0.048454008004364,-0.022619556593498825,0.0562644808984377,0.04589771669180215,0.09149455222809448
CXCL8,0.006791450041768478,-0.024915663571547328,-0.06283683230392363,-0.0035535421420721702,0.024575155545592187,-0.035368048333782195,-0.013214850174559308,-0.02629897199774427,,-0.03361139776288725,-0.036664225853449216,-0.0036026006595147116,-0.11160771780576821,0.06169300080336186,-0.027731637544068082,0.0068321639856420095,0.000156491824018405,-0.011229163612412095
GRN,-0.03121044904317619,0.037524965072419994,0.015362806055673056,-0.002446411476060715,0.058461994287942944,0.059351949688162715,-0.023010131194308094,-0.1009121483185206,-0.008180431965754173,-0.06048226842462211,-0.026109624829486203,0.0034691019804864733,-0.0498381412954719,-0.03321325191915909,0.06636421432254183,0.0885286070554417,0.037241178543581534,0.0035790000105033384
MIA,0.04442617615021746,-0.04804706067962519,0.058820060247043476,0.0032856503183010767,0.035836323486643784,-0.007034456010150148,0.053865622737043865,,0.018900064578368462,-0.03680648385113995,-0.06605795106358295,0.05409701220038624,0.10077734048746421,-0.0707098022771706,0.04104038736904808,-0.05068075369422032,0.08653936263070142,
COL4A4,-0.03590708164884094,-0.01328048340148665,0.009828229871255905,-0.019231405429705053,0.036595220739359516,0.03565035203512068,-0.005912030151269651,,,-0.0034308495284929084,0.1325051238839365,-0.0204510024456253,-0.042441823352413165,0.10020763876354424,0.10711269896370264,0.08832545921140177,0.028376288674349607,
