,UKF248,UKF251,UKF259,UKF266,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.0409468266225659,
BMP1,0.0038542621849933234,0.012190442075780222,0.08630507545216809,-0.04697508203564388,0.07762863363093253,0.01580574707382642,-0.06273226507641097,-0.0011919704599871414,-0.039572653134445,0.1709703341833901,0.0821255834292966,0.017962370009806883,-0.14230887444919843
NDP,0.0030601111095666616,-0.0032928677564281945,-0.009647704695886094,0.0337153978313974,-0.05662061376910161,-0.0006492144298028227,0.03488068261659989,0.016686496160735954,-0.05804040242943809,0.003036771572192856,-0.020013031856741158,0.08401014015910516,0.13068991419315953
TNFSF18,-0.013869114912392202,0.07314906941552564,,-0.028862721943512252,0.011154285068456516,,,,0.051088080201905736,,,-0.011459314473761244,-0.024925692759757416
IL36G,,,,,,,,0.060076240093109246,,,,,
RTN4,-0.03061426714385644,-0.0327468458370904,-0.05513554440386111,0.12391698534582792,-0.09076756103618479,-0.24989555388521534,0.018457232264716992,0.08107940818504454,0.11186925975938941,-0.045559108309780105,-0.11189599585028452,-0.1549259976724395,0.2633826069039098
HEBP1,-0.047004977713830845,-0.029012691488290193,0.005035202904357749,-0.015790168405051527,-0.005069988457703189,0.0027011519501961095,-0.03381466671334767,-0.021991311713731802,0.014317317256742602,-0.047689189578271826,0.004192401260938102,-0.04621002884276508,-0.061073759310849414
WNT7B,-0.019322139215175487,-0.043262048493599034,0.0052485518265623,0.03743630351008185,-0.017919359313361482,,0.015206749179416876,-0.022875267543472858,-0.04071359221290228,0.06430842899237692,-0.026327699160500567,-0.12485429248937976,0.005745354737577794
PTMA,0.1070600897509858,-0.012382742169986327,0.03948730187772969,-0.10042928502057502,-0.09078961448028489,0.23167639529168635,0.02277063259340639,0.05344857252275913,0.03929557206193849,-0.06627758860992951,-0.00039163413182571557,0.015310995855209834,-0.2560431672172651
FASLG,,,,,,,,,,,,-0.030238935686006784,
CEACAM1,-0.028236274270364747,0.042562808718858806,-0.006946695809740278,,-0.019163053598270523,,,,,-0.050301095244367496,-0.01747407683499428,-0.0148612746999306,
