,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.08233953518898514,-0.09584611483730812,-0.0012599269155911777,-0.02463371504069648,0.04675596292424128,-0.035837811528624516,-0.042374262423989714,-0.1536489493610008,-0.014955737464977765,-0.08394882386843572,0.004421882568894877,-0.017290379786726894,0.015744643609090954,-0.04093597752779741,-0.028947419249584383,0.13873645143649477,-0.027531624863096786,-0.01640200826090223,0.013693452395451802,-0.0387934665069267,0.00953478657322821,-0.12301804509188578,-0.04396377578845229,0.02312974502696233
RARRES2,0.06119493341248979,0.06381041395871356,-0.04063549100541436,0.04149842901719319,0.03890847685914827,0.022257394925017996,0.02430095689710796,-0.37140806798605125,0.12180876198028474,-0.00449382614831778,-0.11945607820759295,0.021792274208021357,0.029746524957257253,-0.02129883299946279,0.028382982496738648,0.03426969855814338,-0.08698364138737298,-0.07847572488127542,-0.013444623924829075,-0.0022319630386405495,-0.08544885692564802,0.07489913552210918,0.03195418554474802,0.00238127230376665
SEMA4A,-0.012447650826003454,0.0405665846605845,0.013693380412040004,0.013236164191372723,-0.026653025151655844,-0.014363324755232398,-0.045120488766348964,0.23545417663145912,0.07777325793666824,0.030158969728195203,0.2038997644864408,-0.01750150505906854,-0.030962972199021006,0.019329355634642966,0.0010418934610310388,-0.03621183136647936,0.10244905450010658,0.18369212332755264,0.001536074864116302,0.018176107504800226,-0.04018820140189141,0.057111663247879335,-0.0014932905745685008,-0.00928378309980625
GDF11,-0.05104984523885669,-0.039780115038924084,-0.062407452299757325,0.061845157834661525,0.03536632437903652,0.052491267608222855,0.09729611610761357,-0.20392588907142747,-0.03957642295159778,0.02973717115810047,0.07075886222196569,0.020300584521989178,0.08715137146474165,-0.020792339354504037,-0.10077795241026384,0.05293672482645613,0.0035070730008075254,0.024185155691893157,0.04976905102241547,-0.05579870848410055,0.005041223044077128,-0.01805864942516978,0.07704921900308531,0.10936569537908228
GPC3,0.06520298826145862,-0.035925592226120746,0.04654282494077581,-0.02253437613939712,-0.02788695618169919,0.03692316713483116,0.17367494422178184,-0.06953132990596118,0.001897626682236852,0.024454515584308043,0.02333482409186617,,-0.06348357195673174,,-0.007970280550731918,0.1392555260101736,0.12452543607213704,0.2513780194497643,-0.01280644200240736,0.026759130440619852,,0.044173338930319515,0.017005748467555894,
OSTN,,,,-0.023913218309447246,0.1405342998156038,-0.024346002343510396,,0.16503806416245773,-0.013772968455935387,0.02717794125835632,,,,,,,,,-0.0306023039169228,,,,0.05996250480009471,
GRN,-0.06176082522113132,-0.08857055610336391,-0.07500511656182836,-0.012030278717456627,0.005045088773669679,0.01986720658514042,0.06616237120908443,-0.28643026240423064,0.02711406254909119,-0.012618611053019433,-0.24848904566089866,0.044849159693254655,-0.007370547381538191,-0.04907132515197782,-0.009147970311577092,0.12643448722076098,-0.03734859646404477,-0.04781886188808582,-0.0006143524440172732,-0.12012152799447608,0.01316084635184746,-0.09365561821873418,0.029057937120799137,0.003091055570804929
CALM1,-0.018417018078894298,0.04909693345459838,0.06828820691034879,0.027990958762763505,0.0424540278600941,0.018410850518325948,-0.13217078460415577,0.41306688094577254,0.06984827810078124,0.03884909370469347,0.4099684114211556,0.02302009745671478,0.012758368548331279,-0.11684536638708551,-0.05618848318703122,0.02567976852508668,0.17435550243409026,0.1250892086552287,0.10461577504471631,0.17317242782096787,0.019578237530218513,0.10811525605289347,-0.12324147191166358,0.17442324559243372
ANGPTL4,-0.0030467030148139075,-0.030957760779850595,0.023051069164120672,-0.037159509042123486,-0.0525155907419005,-0.07292778341446876,0.023942026886709256,0.07870454538567558,0.07256861481336502,-0.030399897215851294,-0.045722254832826104,-0.0017808858384955818,0.017689376761998065,-0.00489624532494206,0.04447295433007081,0.0644055545181947,-0.12178665918490006,-0.2577898511602212,0.023033277928429283,-0.11478378991114416,-0.06845011343428997,-0.021673844085807577,0.06807323381395362,-0.10424911665676287
BMP8B,-0.017299607460155634,0.019735635502866344,0.08759111375885448,0.06806575717303084,-0.027541111058578656,0.01923436825969254,0.16113937363010922,-0.0005350162256850036,0.03604353542889023,-0.01708313193207974,-0.1202099941124865,0.08510511134049319,0.03508996028869141,-0.08410171451982298,-0.020349275695203218,0.02550576739285053,0.024871444823354693,0.0024502658642067228,-0.003661788062778662,-0.03994886348235233,0.011837324385261952,0.003290764610702686,0.1076062726789467,-0.15688217118529357
TNFSF4,-0.03998363704054064,-0.04196719094363433,-0.03690412260849059,0.014705420882711508,0.04151700866025408,-0.028879323229235244,0.02724740249834768,-0.03134489813844493,0.0073037899332266286,0.014112740247450378,0.03169613490598379,0.0454335884022523,0.0772496314596965,-0.04979433677072984,0.020057875914287798,0.0390481677181118,0.005084687756620272,0.08082673418430956,0.08014572181275922,0.022230431996896262,,0.0473496003303692,0.012624273415691374,-0.033629423663072824
