,UKF260,UKF266,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,-0.012238776209594864,,,,-0.016190498171518658,
BMP1,-0.000512731352458996,-0.013536038146845841,-0.018038580254256035,-0.07768355216788785,-0.03277008416505726,-0.07289455266079266,-0.020801046799831177,-0.03325724699073614
NDP,-0.02700551546173236,0.017722414385050973,0.04223235935588619,-0.027815625896086826,0.04495936940211962,0.03766449204961419,0.08406679519424509,-0.013027675912584842
TNFSF18,,-0.012941576234799223,0.02344160275526088,,,0.0942155445846766,0.004797975284453287,-0.026674480643402637
RTN4,0.001851232177814141,0.024958123392854015,-0.006534970080039291,-0.016994910671655032,-0.03898115500963679,0.025884707095528637,0.012119138080735113,0.036077880791813496
HEBP1,0.029734028316256798,0.02047272455062581,-0.058927170632706825,-0.014102604334950747,0.07350726550377835,0.05989862016201286,0.052238636690499315,-0.013285300929402706
WNT7B,0.01879147921689649,0.06508513120882659,-0.025709584284603217,-0.011694952536030302,-0.020817813593162635,-0.03264738589401287,0.0324893106170281,0.015303423050237916
PTMA,0.016053889031368444,0.002487044215993113,-0.03030230696655409,-0.023921981512279127,0.018268902849123005,0.039793074607829375,-0.012241427068291573,-0.01801478177337757
FASLG,,,,,,,0.04487304158492812,
CEACAM1,-0.0038812388292868436,,-0.008243702652324988,-0.020334241754943826,-0.02026357055825354,,0.022732472426401643,
PDAP1,-0.00026812555721905955,0.040101602396555254,-0.01914916720645645,0.00262027364539461,0.02405647321224832,-0.011249255968193903,0.058495670310720935,-0.042663204324095365
QDPR,0.039772174441755945,0.019107654839084658,-0.038236021688026034,0.052821626155059184,0.024615988492737172,0.08788619722720858,-0.0067650348757639246,0.04292881516257647
POMC,0.009191008179087098,0.021377128908529636,-0.002714399276354426,-0.029519398572068478,-0.019067385714029432,,-0.01411038539363649,0.011516275850987787
CCL18,,,,-0.001795081334817924,0.011925260179158603,,,
CCL17,,,,-0.0144261603201664,-0.00037764835363980804,,-0.012727508081025579,
VEGFD,0.015093635769032929,,-0.020503233126476658,,-0.02026357055825354,,,
TNFSF13,,-0.012550629182658887,,0.0032496278098285867,0.08646511850812924,,-0.020738412096095955,-0.02901803010047372
WNT5A,0.019877587212612142,-0.01576265217345802,-0.0021049882486668535,0.011198208189654295,0.011741539267845887,-0.07142974967691361,-0.030427489669759465,-0.006436514550114509
CXCL8,-0.007615595332896119,-0.01785245598912131,-0.011925040377194279,-0.05628815425620926,-0.03591091007379582,-0.03817034117502182,0.05406782572880622,0.004682716607747283
GRN,0.036594429376696935,-0.029218738231517206,0.008429642924850097,-0.08721603476345287,-0.026324039405085205,0.009561261178526964,-0.05217250685336171,0.009372802546420032
MIA,-0.007537403261536007,0.06357593191611229,-0.024090997377802965,0.07867590112656368,0.03439369444150076,,0.07303804966983936,0.011850842179880663
COL4A4,0.025824577767328313,-0.011941369175283387,-0.0120604055293461,0.07807786899275695,0.0816613518059301,,-0.03737669017310045,-0.03243204248492981
TAC1,-0.02256292276196823,0.06908943683993882,-0.015952997265070216,,,-0.06096840340442131,-0.01673160356000226,0.028823028197810463
RARRES2,-0.058382808805915794,-0.029687978060229832,0.030723549051209872,-0.029587113052328452,0.0013611704825428974,-0.024690836123376924,0.028136583280192196,0.006865077922916973
FGF7,-0.020534226502828257,0.007963539736601374,0.01222826914781342,-0.041495669659092335,0.07980073572355552,0.0849832021666932,0.032805232675153756,-0.021609896744680626
EFNA2,,,,,0.02460290645152576,,,
HBEGF,-0.04465021354757732,-0.03785178105418486,-0.014252198114213991,-0.052683804283586544,0.034348574537119134,-0.06451293570062432,0.016613000784874838,-0.014041185809085468
CSF3,0.023403568346527633,,-0.01275967691606748,-0.0646863492162664,-0.019575079225979373,-0.029342578736752757,-0.01340010255945482,-0.03411479795328437
PI3,0.014342168000960241,,-0.014367564616998533,-0.014873171928450057,-0.04423960869181324,,-0.029113971114043288,-0.055613917409931726
PCSK1N,-0.01921117462068517,-0.00988553536724219,0.028027126440298714,0.004587364036725269,-0.005104233634195025,-0.010258608512884508,-0.00325862974875491,-0.03542653498987251
NTS,-0.0057840751663215464,0.061472089814811615,-0.015683177808797525,0.06641016467878132,-0.023463641175272443,,0.1301390650096704,
SFRP1,-0.02361677110266888,-0.04436658253220462,0.009924543707458024,0.03352964916912456,0.0463052233327253,0.03303132100896733,-0.019382606748629627,0.025533578163723647
CXCL13,-0.007922935488689338,,,0.022308132881997428,-0.015098825007359028,,,-0.027671735257514842
