,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.0845537869655368,,,,,,,,,0.09153707901260946,,0.0035946787751175244,
BMP1,0.004832906627236284,0.1123560600398248,0.025206738709507712,0.005817622700152297,0.0575491885448018,0.12096079906342948,-0.036844042121500664,0.011430685992907768,0.018855790422550537,0.06610596564633119,0.03321315341311877,0.0009467250996369333,0.15842508037701314,0.001127786973525167,0.016500401808346544,-0.07032570647406632,0.25670513356133884,0.12574351187660396
NDP,-0.006095587796483992,0.02831628342108494,-0.03307108026426869,0.011948099589718991,0.029561434647723667,0.074080657503689,0.0012989403838575854,-0.027541487098220088,0.11095079898412169,0.005232881756338171,0.06899860692145714,-0.009131974720734862,0.13984647422014929,-0.0060731122336630024,0.0015711913938167203,0.023573463408034952,-0.03596019936426095,0.005721005271854997
TNFSF18,0.08466877548247718,-0.004246797162887008,0.0011944831785687074,,,0.14547101651035538,-0.03214341411682197,,,,-0.04601394887679873,,,,0.00838712287024682,,0.14047895702109842,0.021362938001009184
RTN4,0.06077409640121156,-0.04273689173242262,-0.04405848788734416,-0.0033491909792581396,-0.02304234370350512,-0.12435606226827024,0.0031098710762776744,-0.059712208700199686,-0.0922087347855592,-0.0672117761892154,0.031732117839468055,-0.06057503795550341,-0.09291435203396507,-0.04035408683477541,0.032165535586040406,-0.045499033767623064,-0.10626395912686647,0.026769545694145046
HEBP1,0.01893555290091856,-0.017729228521824767,-0.003102863371519667,0.023060486879777367,0.08245424071305227,0.06630284069203728,-0.010988928443294787,0.012317875657850757,0.07891280351233614,-0.01777981878419103,0.10738805778684456,0.04791818652873335,-0.031395893906052866,0.0196497523543325,0.002642230742530097,0.02768298151489371,0.05070419944703772,-0.013949626781514467
WNT7B,-0.0417100527253369,-0.03592231912307765,0.02698238351134476,0.027633548770301473,0.04482292467958941,-0.02715497199078119,0.009233125925667251,0.014135169967561926,,-0.0018028597869586907,-0.02161461261415505,-0.04883841977172599,-0.05077879275128501,0.02787622020581989,-0.03880916743181951,-0.02233890984864436,-0.04607287683846188,-0.04018446717052977
PTMA,0.01499613379497469,0.046331219003028244,-0.027641148597648307,-0.0036908330461128966,-0.03758177047857829,-0.04324646161100653,0.05274637609945433,0.04690720209092739,0.10769759706630869,0.11286960480561914,0.04156546782963004,-0.10576898865757922,-0.05409116070005584,-0.004034505379509257,0.03614338205712844,-0.015125782758128413,0.20251408864519854,0.05779650043894934
FASLG,0.06154821998741472,,,,,,,,,,,,,,,,0.0554560019981957,
CEACAM1,0.0055509882061513935,-0.004541454529787975,-0.033273263308594384,-0.024781151437754036,-0.025789599963111278,-0.01648758868670299,0.02408824034100449,,,,,-0.028119031233431565,-0.012080092604482845,0.012626926432574043,-0.026667893109128597,-0.014826659356958415,0.04445598125723779,
PDAP1,-0.10191537286849861,-0.04762238621320423,-0.02323609320996649,-0.023990365834629237,0.02288167330331713,0.0690691403149007,0.06292622581555085,-0.021523285342801513,-0.03305763275140953,0.04492729352024686,-0.01923299747522503,0.003075401128420416,0.06084104815490366,-0.006340027156022818,0.027197275616844114,-0.051489546934456225,-0.0907864012761181,-0.08751462692543728
QDPR,0.1023416279487942,-0.0434709795896411,-0.001152995549791918,-0.027353183333008246,-0.004481615021397036,-0.13343590502869132,0.06962707280960685,-0.06327835182188497,0.006541472900985691,0.034028272567784644,0.030913035598100918,-0.1427682677568599,-0.035894241630403334,-0.022744212052450773,-0.01947826359687317,-0.046887534675181496,-0.005089153999661245,0.015344171970519752
POMC,0.0012027709211737895,0.07971917242288211,0.050282064895062185,0.014398990295379062,0.037866752238540705,0.015233113539412564,0.017902164446605053,-0.038993253425670386,0.0259024687095576,-0.004772377903853159,0.09796277903629703,0.04820929839184753,-0.03019287701948599,0.045035438006921134,0.0415851585273155,-0.024254466994514078,0.07968394817624513,0.06218935454403651
CCL18,,-0.04859617805975138,,,,,,,0.06538123594008939,0.09125453935805171,,0.26418965338320344,-0.043111230771806196,0.012276732583126183,,0.08063480270508835,,
CCL17,,,,0.058475513924880866,,,0.040627917733929556,0.062360010758912204,,,,,0.33293085283646134,-0.020664308970592345,-0.023727228540495787,,0.018145277852496478,
VEGFD,,0.018563492471411886,-0.012703858903627697,-0.02542703423901021,0.06473373689082344,-0.025745111557683352,0.043061902691462435,-0.025110949680767304,-0.03224933114584456,-0.009589104185005318,,,,-0.022878829688304948,0.055862095440271584,,,
TNFSF13,,0.07811425141053764,,-0.027750781378682424,,,,,,,,,-0.016404120263229148,-0.03589924916374501,0.016391422919488627,-0.016649344737564884,0.08276941717396388,0.07853896570590542
WNT5A,-0.0368519186624073,0.0082929459250631,0.027824311003978627,0.008177717002698714,0.018767684188207505,0.10758928773551155,0.011944520174220088,0.08313361884331244,0.04195808314946531,0.03280208729713664,0.03108872613672335,0.05671920613294064,0.09316760218351784,-0.060458458725821854,-0.02522031795396185,0.04251682490941045,0.16084257611076191,0.062108868077413726
CXCL8,,0.016759536664775157,0.020639348667929904,-0.038115350061259504,-0.042339897333447084,0.053811019995108955,-0.03588020026497274,0.02810956428958248,-0.04482099197164535,0.013149692131828686,,-0.05467592422351898,0.1081758649718819,0.038705410354782234,0.010476545419284642,0.06542754927131252,-0.033758955996932204,-0.031729344756913865
GRN,0.07848376707176033,0.153648530471019,0.03467527287016857,0.05800003625667138,0.013826483766836754,0.12249844214728967,-0.00143826763546768,0.020311421935894386,0.06666886664336148,0.013323283541687384,0.0925692825571747,0.19656994619052248,0.12647648323917618,0.08897414014874479,0.08891319164959396,-0.01067358113874413,0.2522918715781083,0.14076460989346462
MIA,0.013378345672766434,-0.023792363480010768,-0.009623281430770765,-0.006213177805145306,-0.028197296517770677,0.017493079823117555,-0.01865094405937346,0.04363061764902632,,0.001792481139318541,0.136148902596632,0.009263945594270634,0.00034320535349590715,-0.00293609885909135,-0.028407386844377228,-0.05098913677251423,0.03356307289125624,0.028638828591529282
COL4A4,-0.03813611053817272,-0.008967269874650092,-0.04001733080984508,0.056245333385856223,0.008025315831002003,-0.015143781659632975,-0.015171420317482615,0.009504115913879787,,,,-0.03926229497714165,-0.018861144737643103,-0.03663258363990954,0.17226291704481372,-0.0298808431720513,0.18093433503879702,0.03918244275375624
TAC1,-0.03037095563968397,0.00017437137596255684,0.014659790670198547,-0.04919520460322056,0.04398910358580566,-0.08266627428027747,0.016625842362886317,-0.045784310827380104,-0.047408719136900083,,,,,,,0.0354280600127697,0.01896433569248439,-0.005169473357902825
