,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01433720929681369,,,,,,,,0.1557588629146621,
BMP1,0.10019815839950327,0.05696857196937236,0.07119230330097258,-0.03591040754479932,0.1294267913484175,-0.003758052133186826,0.03281563124343482,-0.05827818810031141,0.06205074817657109,0.09074911936149087,-0.06291358813857852,-0.03274462653492242,-0.005303842077144966,0.018829823742605053,0.07621710240400795
NDP,0.026817987420540666,0.003807012276908746,0.004889069968243241,-0.0514194387294823,-0.0048919155133404345,0.03447803862536557,0.03292646072642134,0.006009494986445508,-0.024950402076693443,0.050659306189324585,0.024799528242280756,0.1670009926622215,-0.02917608464424988,0.1263424032833257,-0.02610271951324003
TNFSF18,-0.036717592453812786,0.03210146034008795,,,0.0017338590300952608,0.14241573283901815,-0.015456149267333663,,0.006555423264109133,,,,,0.03452408452845175,0.01806338184547628
RTN4,-0.013264997171795594,0.01976204172825386,0.04125972990629969,0.012345447145026611,-0.2167490530231622,-0.03603726717745694,0.01802750444620196,-0.05963062555790063,0.02174143826302578,0.011646896250076007,0.00260306644817611,-0.06368633039793223,0.08513107212601073,0.011488538735693811,-0.20849057893781428
HEBP1,0.07955908083934747,-0.004061432099634336,-0.034893772141728716,-0.005862891191199687,0.04072334723049487,0.06188984232622902,0.02574111462582295,-0.04564324833046503,0.03933401801832414,0.020608415433536514,0.08145955792503955,0.0812035154018612,0.03316078996244634,0.03322486705134629,0.04482498051132289
WNT7B,-0.02947749188000139,-0.01572678068022923,-0.006457937169552888,0.027757824747417732,-0.020614035298822445,-0.04688256144325375,0.013893294474311126,-0.024388824768235298,,0.011954901319362403,-0.010199543560413792,0.04183575643130798,0.027655240337455554,0.02737597154372866,0.010927811429877917
PTMA,0.037538017264393556,0.004555403535751719,0.12257852799697412,-0.010930925129761725,0.24551391890486945,-0.03929485734979217,-0.011790811091549188,0.020238317118260647,-0.00880522402555419,-0.052739475992958605,-0.05858521954283129,-0.020954924353375582,0.05722493169409692,-0.10440792104230104,0.08909394124436669
FASLG,,,,,,,,,,,,,,-0.02960568857100375,
CEACAM1,0.04181162744397817,-0.03158205677754214,,-0.019513514498794432,,0.06929195366137628,0.058855229258813986,,-0.018363750094942302,-0.0257541225754311,0.06889501044074811,-0.01672611797189639,0.04912282757133343,7.92473807499957e-05,
PDAP1,0.03819736709653091,-0.0030390017174149785,0.022210813676571066,-0.028143221578181377,0.07813948766240131,0.028883864244250834,-0.009481234362520493,0.06950619234497855,-0.06600408224186197,-0.02612184707893592,-0.0382761366192553,-0.00699075159371269,-0.04934647155140268,0.036234741828997136,0.06279692864645389
