,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916inf
IGFL3,,,-0.01553328758342969,,,,,,,,
BMP1,-0.02404683549274314,-0.04194298491360433,-0.11025905808455226,-0.02264294433436199,0.016728950284732966,-0.04970950566603864,0.018643867652281907,-0.05702088356793512,-0.061962113132074836,-0.04346686007548136,-0.05096929434071074
NDP,0.09502224888628005,0.033667584150749066,-0.02484914758012318,0.004840586831764983,-0.01462932900791861,-0.05521160110992068,0.014704226424638778,0.06343372856975306,0.10814834187181421,-0.005122732719602325,0.05072713421544139
TNFSF18,0.056434385885638004,-0.027339501659420774,-0.023066465739321196,-0.011814522190969127,,,,,,,
IL36G,,,,,,,0.021694907841907578,,,,
RTN4,0.05772856916011947,0.07252950355550142,0.12790894787984614,0.007268031968867698,-0.00018608264685608604,0.1564784748248939,0.04541010040575912,-0.08840722159350729,-0.08384260755171684,0.07291246328145164,0.05234182789052163
HEBP1,-0.013940039728269906,-0.0436138122894338,-0.007451227682805868,-0.022457311800356497,0.04380950385600329,-0.03408372422187273,0.029841139750728097,-0.020007041388488463,0.0660319298633167,-0.03208188513118844,-0.006396865481359068
WNT7B,-0.005342178713512629,-0.010546704994745413,0.10950166427209189,-0.025527926941818626,0.04503685878566857,,0.10091146023387403,0.03694392950945532,0.04307987703273455,0.02570372917012349,-0.04128128949500097
PTMA,0.01957124382697227,-0.07538718876047584,0.05977251217298557,0.021505280569266354,0.020863375925458016,-0.24899885866467336,-0.09312213929302421,-0.09138502973324276,-0.06065178995669008,0.06001320253066881,-0.09757378807595962
CEACAM1,0.019988075341528463,,-0.03035415514529214,-0.0185814287850727,,,,-0.03310637650948436,0.01862735881267855,-0.026825840544052414,
PDAP1,0.028032207281516834,-0.01095085522087368,-0.09853078104627028,-0.04998906726189704,0.024759607402813605,-0.025028436709137965,-0.05023136252196178,-0.04463429060291911,-0.06433802772653016,0.04494227547643423,0.0763506271446992
QDPR,-0.0028176662329071687,0.007767774076199016,0.06216078604035387,0.00566479989616572,0.05194716581490811,-0.20427738771673665,0.0014171937601280236,0.12230236950516081,0.15363275145660069,0.027221769281265927,0.12449411962061839
POMC,0.030755310146641842,-0.023807075191996062,0.026557532537548223,-0.013708637279993094,0.025698364268898165,0.08620639074327387,-0.019332459845294005,0.021906403321694058,0.012668042992719161,0.03805024219351164,0.01860517543843893
CCL18,0.011876898378856754,,,,,-0.09883417336718346,,-0.04118343014032153,-0.0006320432077221085,-0.03153509468168186,
CCL17,,,,0.022477920709493792,0.08618115328122916,,0.04480932217066333,-0.030761201677331797,-0.05403556520032733,,
VEGFD,0.07759904460045908,,-0.026022423409783616,-0.01569890619969094,0.060486764200368894,-0.01531144592433294,0.008088499038918584,,0.008418078774444704,,
TNFSF13,0.07257131636088447,0.03162666783161993,,,,,,0.002448208933361241,0.03764149663630961,0.021347852301598646,
WNT5A,-0.052772932385982775,-0.07197530211645843,-0.08780021947153831,-0.08858854417004651,0.006663720368027056,-0.01863381964532832,-0.030425835204679133,-0.001490024454684396,0.006537464387082831,-0.0022300140557494448,-0.08149699644124955
CXCL8,-0.0424604093328023,0.06561019766117161,-0.014771995854508483,-0.01137218411885698,-0.027187947666064062,-0.03974107300192129,0.008287000021711882,-0.1019925918022763,-0.1846646523385848,-0.07854705318497837,-0.08616218699487019
GRN,-0.0583494921402525,-0.05243543044279411,-0.05308619655483851,0.027859554257517207,-0.009185243437782813,-0.15257058553646344,0.050220230904124835,-0.029606290166794315,-0.10220288506531514,-0.06486478914146215,-0.040474898355986624
MIA,-0.04830304348232701,-0.00971053755962473,-0.04437226960116983,-0.028961855867351824,0.04247782708421539,,0.01435259290037233,0.1867355206609218,0.27538777022864325,0.034019547959279126,
COL4A4,-0.003501955954974551,-0.025226531641914872,-0.015306901952602982,-0.015383805683684575,-0.0030941886329217496,,-0.029439392338430074,0.13004119107300874,0.037487639640421844,0.002449235484667767,
TAC1,0.10372516946173188,0.06476110735793761,0.10049376717320685,0.03099843504471409,-0.013886054134013908,0.1895239974479446,0.0944007089977477,,,0.05310535589314587,0.22358077444444813
RARRES2,0.010793383248554096,-0.006693908382811832,-0.09272263160458948,0.09047252436721803,0.003536620504655205,-0.010438501178521535,-0.026641805200086063,-0.03965687804106207,-0.05757487206944805,-0.025330315487050305,0.028339310511475972
FGF7,,-0.0427437327293714,-0.04362233996187064,0.02504502889502019,0.02974810372132757,0.023460745142031524,0.04437637776658571,0.04967146060193884,0.08882817663917883,0.0791498722003843,-0.030653610982775924
EFNA2,,,,,,,,,-0.035576692076219316,,
HBEGF,-0.04009095337080135,-0.045778263055366024,0.013921818719734571,-0.06111493074382078,-0.033222312498681884,-0.1370566141824191,0.007076188934143423,0.04967036719294351,0.012377031106628513,-0.009232251454075536,0.03595014139783487
CSF3,,,-0.016194407644576612,,,,,-0.04951735451406066,-0.10593887452733533,0.02422162105382283,
PI3,-0.038286678297019476,,-0.01823511675083851,,,,,-0.16126825167186076,-0.2356289440466012,-0.00614915259745982,
PCSK1N,0.0438199757697825,-0.029606101103100368,0.03473081136074748,0.04097962728971181,-0.03381824448999158,0.20200281613103596,0.05440836073004971,-0.03615623378100107,0.046840258190951736,0.0649592391547729,0.08508198622127612
NTS,,0.017734728827271205,-0.019904875042582287,0.014542532841014621,-0.0005895450332488916,-0.029034737808728197,,-0.04486432345648547,-0.03297500682647134,0.07887833935240396,
SFRP1,0.05231910500188914,0.02528236473700052,0.03890119971991512,-0.032631620542623946,-0.01125719173116193,-0.04894817483089527,-0.039130653447569295,0.04668155825852769,0.04922179860725245,0.029651412999293695,0.12419969187264296
CXCL13,,,,,,,,0.009252638459035506,-0.047632392712522696,0.0027570487760956047,
MICA,-0.0542187486233956,-0.008060715071101721,-0.0738370927274431,0.0038922011635228074,0.008732995074289355,0.01672675609039532,0.0403852324179873,0.08401246471918238,0.03564767536640239,0.07427311392307315,0.10159330917435609
